"scenario","family","baseline_risk","mismatch","precision","n_trial","n_emulation","operator","agreement_probability","agreement_mcse","n_used","n_attempted"
1,"logit","lower","aligned","small",500,5000,"direction",0.739700000000001,0.00438820198163977,10000,10000
1,"logit","lower","aligned","small",500,5000,"overlap",0.987,0.00113279668203621,10000,10000
2,"probit","lower","aligned","small",500,5000,"direction",0.8262,0.00378956357371251,10000,10000
2,"probit","lower","aligned","small",500,5000,"overlap",0.9843,0.00124318363508968,10000,10000
3,"logit","common","aligned","small",500,5000,"direction",0.889,0.00314147845586914,10000,10000
3,"logit","common","aligned","small",500,5000,"overlap",0.9849,0.00121956866751059,10000,10000
4,"probit","common","aligned","small",500,5000,"direction",0.9863,0.0011624827468026,10000,10000
4,"probit","common","aligned","small",500,5000,"overlap",0.9846,0.00123143641474681,10000,10000
5,"logit","lower","observed_z_shift","small",500,5000,"direction",0.747,0.00434752689457005,10000,10000
5,"logit","lower","observed_z_shift","small",500,5000,"overlap",0.9702,0.00170043675228317,10000,10000
6,"probit","lower","observed_z_shift","small",500,5000,"direction",0.8718,0.00334329085772901,10000,10000
6,"probit","lower","observed_z_shift","small",500,5000,"overlap",0.9502,0.00217542392349757,10000,10000
7,"logit","common","observed_z_shift","small",500,5000,"direction",0.9446,0.00228770788361096,10000,10000
7,"logit","common","observed_z_shift","small",500,5000,"overlap",0.9517,0.00214410137751721,10000,10000
8,"probit","common","observed_z_shift","small",500,5000,"direction",0.9981,0.000435497377485326,10000,10000
8,"probit","common","observed_z_shift","small",500,5000,"overlap",0.8751,0.00330622021486922,10000,10000
9,"logit","lower","hidden_u_shift","small",500,5000,"direction",0.757,0.00428916538431056,10000,10000
9,"logit","lower","hidden_u_shift","small",500,5000,"overlap",0.9761,0.00152745288347345,10000,10000
10,"probit","lower","hidden_u_shift","small",500,5000,"direction",0.8827,0.00321793513151735,10000,10000
10,"probit","lower","hidden_u_shift","small",500,5000,"overlap",0.9651,0.00183535714605783,10000,10000
11,"logit","common","hidden_u_shift","small",500,5000,"direction",0.9406,0.00236383645210027,10000,10000
11,"logit","common","hidden_u_shift","small",500,5000,"overlap",0.9707,0.00168654541698251,10000,10000
12,"probit","common","hidden_u_shift","small",500,5000,"direction",0.9959,0.000639030387371115,10000,10000
12,"probit","common","hidden_u_shift","small",500,5000,"overlap",0.9454,0.00227209160027129,10000,10000
13,"logit","lower","measurement_mismatch","small",500,5000,"direction",0.727100000000002,0.00445472147887426,10000,10000
13,"logit","lower","measurement_mismatch","small",500,5000,"overlap",0.9864,0.00115829105315389,10000,10000
14,"probit","lower","measurement_mismatch","small",500,5000,"direction",0.8216,0.00382868252548925,10000,10000
14,"probit","lower","measurement_mismatch","small",500,5000,"overlap",0.9849,0.00121956866751059,10000,10000
15,"logit","common","measurement_mismatch","small",500,5000,"direction",0.8959,0.00305405496433389,10000,10000
15,"logit","common","measurement_mismatch","small",500,5000,"overlap",0.9839,0.00125866493704331,10000,10000
16,"probit","common","measurement_mismatch","small",500,5000,"direction",0.9862,0.00116665852296669,10000,10000
16,"probit","common","measurement_mismatch","small",500,5000,"overlap",0.9796,0.00141371279204276,10000,10000
1,"logit","lower","aligned","medium",2500,25000,"direction",0.9374,0.0024225422330863,10000,10000
1,"logit","lower","aligned","medium",2500,25000,"overlap",0.9872,0.00112416296604956,10000,10000
2,"probit","lower","aligned","medium",2500,25000,"direction",0.982,0.00132957766891525,10000,10000
2,"probit","lower","aligned","medium",2500,25000,"overlap",0.985,0.00121558535890184,10000,10000
3,"logit","common","aligned","medium",2500,25000,"direction",0.9975,0.000499399579489197,10000,10000
3,"logit","common","aligned","medium",2500,25000,"overlap",0.9875,0.00111107985754634,10000,10000
4,"probit","common","aligned","medium",2500,25000,"direction",1,0,10000,10000
4,"probit","common","aligned","medium",2500,25000,"overlap",0.9847,0.00122749406278302,10000,10000
5,"logit","lower","observed_z_shift","medium",2500,25000,"direction",0.9785,0.00145051211595757,10000,10000
5,"logit","lower","observed_z_shift","medium",2500,25000,"overlap",0.8923,0.00310016646379064,10000,10000
6,"probit","lower","observed_z_shift","medium",2500,25000,"direction",0.9993,0.00026449573871721,10000,10000
6,"probit","lower","observed_z_shift","medium",2500,25000,"overlap",0.705,0.00456065565001307,10000,10000
7,"logit","common","observed_z_shift","medium",2500,25000,"direction",0.9999,0.000100000000000017,10000,10000
7,"logit","common","observed_z_shift","medium",2500,25000,"overlap",0.7396,0.00438874812571966,10000,10000
8,"probit","common","observed_z_shift","medium",2500,25000,"direction",1,0,10000,10000
8,"probit","common","observed_z_shift","medium",2500,25000,"overlap",0.320699999999999,0.00466768997824136,10000,10000
9,"logit","lower","hidden_u_shift","medium",2500,25000,"direction",0.9775,0.00148310315200799,10000,10000
