"precision","delta","cutoff","wrong_definitive","decision_rate","indeterminate"
"large",0.01,0.5,0.0942125,1,0
"medium",0.01,0.5,0.4400375,1,0
"small",0.01,0.5,0.4375,1,0
"large",0.02,0.5,0.0840187499999999,1,0
"medium",0.02,0.5,0.2987,1,0
"small",0.02,0.5,0.6249625,1,0
"large",0.03,0.5,0.06411875,1,0
"medium",0.03,0.5,0.21179375,1,0
"small",0.03,0.5,0.55988125,1,0
"large",0.05,0.5,0.00693749999999999,1,0
"medium",0.05,0.5,0.07853125,1,0
"small",0.05,0.5,0.2776375,1,0
"large",0.01,0.51,0.0907812499999999,0.99271875,0.00728125000000002
"medium",0.01,0.51,0.4343875,0.98803125,0.01196875
"small",0.01,0.51,0.4375,1,0
"large",0.02,0.51,0.0813249999999999,0.99470625,0.00529375000000002
"medium",0.02,0.51,0.2876375,0.97785625,0.02214375
"small",0.02,0.51,0.6246875,0.9997,0.000300000000000005
"large",0.03,0.51,0.0619625,0.9958375,0.0041625
"medium",0.03,0.51,0.20515,0.986525,0.013475
"small",0.03,0.51,0.53254375,0.9538,0.0462
"large",0.05,0.51,0.00655624999999998,0.9992125,0.000787499999999992
"medium",0.05,0.51,0.0759125,0.99429375,0.00570625000000002
"small",0.05,0.51,0.267475,0.979175,0.020825
"large",0.01,0.52,0.0873250000000001,0.98563125,0.0143687499999999
"medium",0.01,0.52,0.4236375,0.970875,0.029125
"small",0.01,0.52,0.4375,1,0
"large",0.02,0.52,0.0786125,0.98956875,0.01043125
"medium",0.02,0.52,0.27729375,0.9559,0.0441
"small",0.02,0.52,0.62404375,0.99905,0.000949999999999986
"large",0.03,0.52,0.059925,0.9916625,0.00833749999999996
"medium",0.03,0.52,0.19800625,0.97224375,0.02775625
"small",0.03,0.52,0.497975,0.89881875,0.10118125
"large",0.05,0.52,0.00623750000000001,0.99846875,0.00153124999999999
"medium",0.05,0.52,0.0731625,0.98870625,0.01129375
"small",0.05,0.52,0.25736875,0.958,0.042
"large",0.01,0.53,0.0841500000000001,0.978775,0.021225
"medium",0.01,0.53,0.4119125,0.95416875,0.04583125
"small",0.01,0.53,0.4375,1,0
"large",0.02,0.53,0.0760874999999999,0.98410625,0.01589375
