"scenario","family","baseline_risk","mismatch","operator","from_precision","to_precision","n_complete_vectors","signed_change","signed_simultaneous_lower","signed_simultaneous_upper","flip_probability","flip_simultaneous_lower","flip_simultaneous_upper"
1,"logit","lower","aligned","direction","small","medium",10000,0.1977,0.1838,0.2116,0.2501,0.2366,0.2636
1,"logit","lower","aligned","direction","medium","large",10000,0.0626,0.0487,0.0765,0.0626,0.0490999999999999,0.0761000000000001
1,"logit","lower","aligned","direction","small","large",10000,0.2603,0.2464,0.2742,0.2603,0.2468,0.2738
1,"logit","lower","aligned","overlap","small","medium",10000,0.000199999999999978,-0.0137,0.0141,0.0234,0.00989999999999993,0.0369000000000001
1,"logit","lower","aligned","overlap","medium","large",10000,0.00180000000000002,-0.0121,0.0157,0.0234,0.00989999999999993,0.0369000000000001
1,"logit","lower","aligned","overlap","small","large",10000,0.002,-0.0119,0.0159,0.0232,0.00969999999999993,0.0367000000000001
2,"probit","lower","aligned","direction","small","medium",10000,0.1558,0.1419,0.1697,0.1728,0.1593,0.1863
2,"probit","lower","aligned","direction","medium","large",10000,0.018,0.00409999999999999,0.0319,0.018,0.00449999999999993,0.0315000000000001
2,"probit","lower","aligned","direction","small","large",10000,0.1738,0.1599,0.1877,0.1738,0.1603,0.1873
2,"probit","lower","aligned","overlap","small","medium",10000,0.000700000000000034,-0.0132,0.0146000000000001,0.0273,0.0137999999999999,0.0408000000000001
2,"probit","lower","aligned","overlap","medium","large",10000,0.00319999999999998,-0.0107,0.0171,0.0252,0.0116999999999999,0.0387000000000001
2,"probit","lower","aligned","overlap","small","large",10000,0.00390000000000001,-0.01,0.0178,0.0273,0.0137999999999999,0.0408000000000001
3,"logit","common","aligned","direction","small","medium",10000,0.1085,0.0946,0.1224,0.1105,0.0969999999999999,0.124
3,"logit","common","aligned","direction","medium","large",10000,0.00249999999999995,-0.0114000000000001,0.0164,0.0025,0,0.0160000000000001
3,"logit","common","aligned","direction","small","large",10000,0.111,0.0971,0.1249,0.111,0.0974999999999999,0.1245
3,"logit","common","aligned","overlap","small","medium",10000,0.00260000000000005,-0.0113,0.0165000000000001,0.0248,0.0112999999999999,0.0383000000000001
3,"logit","common","aligned","overlap","medium","large",10000,-0.00190000000000001,-0.0158,0.012,0.0257,0.0121999999999999,0.0392000000000001
3,"logit","common","aligned","overlap","small","large",10000,0.000700000000000034,-0.0132,0.0146000000000001,0.0295,0.0159999999999999,0.0430000000000001
4,"probit","common","aligned","direction","small","medium",10000,0.0137,-0.000199999999999978,0.0276000000000001,0.0137,0.000199999999999933,0.0272000000000001
4,"probit","common","aligned","direction","medium","large",10000,0,-0.0139,0.0139,0,0,0.0135000000000001
4,"probit","common","aligned","direction","small","large",10000,0.0137,-0.000199999999999978,0.0276000000000001,0.0137,0.000199999999999933,0.0272000000000001
4,"probit","common","aligned","overlap","small","medium",10000,9.9999999999989e-05,-0.0138,0.014,0.0271,0.0135999999999999,0.0406000000000001
4,"probit","common","aligned","overlap","medium","large",10000,0.000599999999999934,-0.0133000000000001,0.0145,0.0278,0.0142999999999999,0.0413000000000001
4,"probit","common","aligned","overlap","small","large",10000,0.000699999999999923,-0.0132000000000001,0.0145999999999999,0.0289,0.0153999999999999,0.0424000000000001
5,"logit","lower","observed_z_shift","direction","small","medium",10000,0.2315,0.2176,0.2454,0.2523,0.2388,0.2658
5,"logit","lower","observed_z_shift","direction","medium","large",10000,0.0215,0.00759999999999994,0.0354,0.0215,0.00799999999999993,0.0350000000000001
5,"logit","lower","observed_z_shift","direction","small","large",10000,0.253,0.2391,0.2669,0.253,0.2395,0.2665
5,"logit","lower","observed_z_shift","overlap","small","medium",10000,-0.0779,-0.0918,-0.064,0.1141,0.1006,0.1276
5,"logit","lower","observed_z_shift","overlap","medium","large",10000,-0.8225,-0.8364,-0.8086,0.8273,0.8138,0.8408
5,"logit","lower","observed_z_shift","overlap","small","large",10000,-0.9004,-0.9143,-0.8865,0.9028,0.8893,0.9163
6,"probit","lower","observed_z_shift","direction","small","medium",10000,0.1275,0.1136,0.1414,0.1283,0.1148,0.1418
6,"probit","lower","observed_z_shift","direction","medium","large",10000,0.000700000000000034,-0.0132,0.0146000000000001,7e-04,0,0.0142000000000001
6,"probit","lower","observed_z_shift","direction","small","large",10000,0.1282,0.1143,0.1421,0.1282,0.1147,0.1417
6,"probit","lower","observed_z_shift","overlap","small","medium",10000,-0.2452,-0.2591,-0.2313,0.2738,0.2603,0.2873
6,"probit","lower","observed_z_shift","overlap","medium","large",10000,-0.705,-0.7189,-0.6911,0.705,0.6915,0.7185
6,"probit","lower","observed_z_shift","overlap","small","large",10000,-0.9502,-0.9641,-0.9363,0.9502,0.9367,0.9637
7,"logit","common","observed_z_shift","direction","small","medium",10000,0.0553,0.0414,0.0692,0.0555,0.0419999999999999,0.0690000000000001
7,"logit","common","observed_z_shift","direction","medium","large",10000,9.9999999999989e-05,-0.0138,0.014,1e-04,0,0.0136000000000001
7,"logit","common","observed_z_shift","direction","small","large",10000,0.0554,0.0415,0.0693,0.0554,0.0418999999999999,0.0689000000000001
7,"logit","common","observed_z_shift","overlap","small","medium",10000,-0.2121,-0.226,-0.1982,0.2501,0.2366,0.2636
7,"logit","common","observed_z_shift","overlap","medium","large",10000,-0.7392,-0.7531,-0.7253,0.7392,0.7257,0.7527
7,"logit","common","observed_z_shift","overlap","small","large",10000,-0.9513,-0.9652,-0.9374,0.9513,0.9378,0.9648
8,"probit","common","observed_z_shift","direction","small","medium",10000,0.00190000000000001,-0.012,0.0158,0.0019,0,0.0154000000000001
8,"probit","common","observed_z_shift","direction","medium","large",10000,0,-0.0139,0.0139,0,0,0.0135000000000001
8,"probit","common","observed_z_shift","direction","small","large",10000,0.00190000000000001,-0.012,0.0158,0.0019,0,0.0154000000000001
8,"probit","common","observed_z_shift","overlap","small","medium",10000,-0.5544,-0.5683,-0.5405,0.5788,0.5653,0.5923
8,"probit","common","observed_z_shift","overlap","medium","large",10000,-0.3207,-0.3346,-0.3068,0.3207,0.3072,0.3342
8,"probit","common","observed_z_shift","overlap","small","large",10000,-0.8751,-0.889,-0.8612,0.8751,0.8616,0.8886
9,"logit","lower","hidden_u_shift","direction","small","medium",10000,0.2205,0.2066,0.2344,0.2389,0.2254,0.2524
9,"logit","lower","hidden_u_shift","direction","medium","large",10000,0.0225,0.00859999999999994,0.0364,0.0225,0.00899999999999993,0.0360000000000001
9,"logit","lower","hidden_u_shift","direction","small","large",10000,0.243,0.2291,0.2569,0.243,0.2295,0.2565
