"scenario","family","baseline_risk","mismatch","precision","failure_rate"
3,"logit","common","aligned","large",0
4,"probit","common","aligned","large",0
1,"logit","lower","aligned","large",0
2,"probit","lower","aligned","large",0
11,"logit","common","hidden_u_shift","large",0
12,"probit","common","hidden_u_shift","large",0
9,"logit","lower","hidden_u_shift","large",0
10,"probit","lower","hidden_u_shift","large",0
15,"logit","common","measurement_mismatch","large",0
16,"probit","common","measurement_mismatch","large",0
13,"logit","lower","measurement_mismatch","large",0
14,"probit","lower","measurement_mismatch","large",0
7,"logit","common","observed_z_shift","large",0
8,"probit","common","observed_z_shift","large",0
5,"logit","lower","observed_z_shift","large",0
6,"probit","lower","observed_z_shift","large",0
3,"logit","common","aligned","medium",0
4,"probit","common","aligned","medium",0
1,"logit","lower","aligned","medium",0
2,"probit","lower","aligned","medium",0
11,"logit","common","hidden_u_shift","medium",0
12,"probit","common","hidden_u_shift","medium",0
9,"logit","lower","hidden_u_shift","medium",0
10,"probit","lower","hidden_u_shift","medium",0
15,"logit","common","measurement_mismatch","medium",0
16,"probit","common","measurement_mismatch","medium",0
13,"logit","lower","measurement_mismatch","medium",0
14,"probit","lower","measurement_mismatch","medium",0
7,"logit","common","observed_z_shift","medium",0
8,"probit","common","observed_z_shift","medium",0
5,"logit","lower","observed_z_shift","medium",0
6,"probit","lower","observed_z_shift","medium",0
3,"logit","common","aligned","small",0
4,"probit","common","aligned","small",0
1,"logit","lower","aligned","small",0
2,"probit","lower","aligned","small",0
11,"logit","common","hidden_u_shift","small",0
12,"probit","common","hidden_u_shift","small",0
9,"logit","lower","hidden_u_shift","small",0
10,"probit","lower","hidden_u_shift","small",0
15,"logit","common","measurement_mismatch","small",0
16,"probit","common","measurement_mismatch","small",0
13,"logit","lower","measurement_mismatch","small",0
14,"probit","lower","measurement_mismatch","small",0
7,"logit","common","observed_z_shift","small",0
8,"probit","common","observed_z_shift","small",0
5,"logit","lower","observed_z_shift","small",0
6,"probit","lower","observed_z_shift","small",0
