"scenario","family","baseline_risk","mismatch","precision","delta","truth_class","mean_se_trial","mean_se_emulation","mean_se_delta","direction_agreement","interval_overlap","forced_aligned","forced_wrong","joint_aligned","joint_mismatched","joint_indeterminate","joint_wrong"
1,"logit","lower","aligned","small",0.01,"aligned",0.0325719483948611,0.0106709346612038,0.0342753653340292,0.736773526838529,0.986592302460337,0.229525840714307,0.770474159285693,0,0.0527931898615547,0.947206810138445,0.0527931898615547
1,"logit","lower","aligned","small",0.02,"aligned",0.0325719483948611,0.0106709346612038,0.0342753653340292,0.736773526838529,0.986592302460337,0.440449611028246,0.559550388971754,0,0.0258562875186579,0.974143712481342,0.0258562875186579
1,"logit","lower","aligned","small",0.03,"aligned",0.0325719483948611,0.0106709346612038,0.0342753653340292,0.736773526838529,0.986592302460337,0.618569828067057,0.381430171932943,0,0.0117315434184548,0.988268456581545,0.0117315434184548
1,"logit","lower","aligned","small",0.05,"aligned",0.0325719483948611,0.0106709346612038,0.0342753653340292,0.736773526838529,0.986592302460337,0.855372584354715,0.144627415645285,0,0.001911637460145,0.998088362539855,0.001911637460145
2,"probit","lower","aligned","small",0.01,"aligned",0.0357584830133187,0.0113178966389711,0.0375068512640589,0.828779667394883,0.986107490773991,0.210236670534291,0.789763329465709,0,0.0559439574430566,0.944056042556943,0.0559439574430566
2,"probit","lower","aligned","small",0.02,"aligned",0.0357584830133187,0.0113178966389711,0.0375068512640589,0.828779667394883,0.986107490773991,0.406129714238486,0.593870285761514,0,0.0293993435781011,0.970600656421899,0.0293993435781011
2,"probit","lower","aligned","small",0.03,"aligned",0.0357584830133187,0.0113178966389711,0.0375068512640589,0.828779667394883,0.986107490773991,0.576204530544499,0.423795469455501,0,0.0144969514094093,0.985503048590591,0.0144969514094093
2,"probit","lower","aligned","small",0.05,"aligned",0.0357584830133187,0.0113178966389711,0.0375068512640589,0.828779667394883,0.986107490773991,0.817497656299466,0.182502343700534,0,0.00290189210344893,0.997098107896551,0.00290189210344893
3,"logit","common","aligned","small",0.01,"aligned",0.043004609879383,0.0138185782559613,0.0451702288669656,0.893276752794791,0.986321336446584,0.175207137419523,0.824792862580477,0,0.0620079693305947,0.937992030669405,0.0620079693305947
3,"logit","common","aligned","small",0.02,"aligned",0.043004609879383,0.0138185782559613,0.0451702288669656,0.893276752794791,0.986321336446584,0.342067539173489,0.657932460826511,0,0.0368318097595636,0.963168190240436,0.0368318097595636
3,"logit","common","aligned","small",0.03,"aligned",0.043004609879383,0.0138185782559613,0.0451702288669656,0.893276752794791,0.986321336446584,0.493408416003419,0.506591583996581,0,0.0209431228007005,0.9790568771993,0.0209431228007005
3,"logit","common","aligned","small",0.05,"aligned",0.043004609879383,0.0138185782559613,0.0451702288669656,0.893276752794791,0.986321336446584,0.731673111827943,0.268326888172057,0,0.00592727287963057,0.994072727120369,0.00592727287963057
4,"probit","common","aligned","small",0.01,"aligned",0.0444432330182222,0.0135323149626168,0.0464577712483009,0.986734741588767,0.985549964949988,0.170426998210939,0.829573001789061,0,0.0628709207451954,0.937129079254805,0.0628709207451954
