"scenario","family","baseline_risk","mismatch","operator","precision","agreement_probability","n_complete_vectors"
1,"logit","lower","aligned","direction","small",0.7397,10000
1,"logit","lower","aligned","direction","medium",0.9374,10000
1,"logit","lower","aligned","direction","large",1,10000
1,"logit","lower","aligned","overlap","small",0.987,10000
1,"logit","lower","aligned","overlap","medium",0.9872,10000
1,"logit","lower","aligned","overlap","large",0.989,10000
2,"probit","lower","aligned","direction","small",0.8262,10000
2,"probit","lower","aligned","direction","medium",0.982,10000
2,"probit","lower","aligned","direction","large",1,10000
2,"probit","lower","aligned","overlap","small",0.9843,10000
2,"probit","lower","aligned","overlap","medium",0.985,10000
2,"probit","lower","aligned","overlap","large",0.9882,10000
3,"logit","common","aligned","direction","small",0.889,10000
3,"logit","common","aligned","direction","medium",0.9975,10000
3,"logit","common","aligned","direction","large",1,10000
3,"logit","common","aligned","overlap","small",0.9849,10000
3,"logit","common","aligned","overlap","medium",0.9875,10000
3,"logit","common","aligned","overlap","large",0.9856,10000
4,"probit","common","aligned","direction","small",0.9863,10000
4,"probit","common","aligned","direction","medium",1,10000
4,"probit","common","aligned","direction","large",1,10000
4,"probit","common","aligned","overlap","small",0.9846,10000
4,"probit","common","aligned","overlap","medium",0.9847,10000
4,"probit","common","aligned","overlap","large",0.9853,10000
5,"logit","lower","observed_z_shift","direction","small",0.747,10000
5,"logit","lower","observed_z_shift","direction","medium",0.9785,10000
5,"logit","lower","observed_z_shift","direction","large",1,10000
5,"logit","lower","observed_z_shift","overlap","small",0.9702,10000
5,"logit","lower","observed_z_shift","overlap","medium",0.8923,10000
5,"logit","lower","observed_z_shift","overlap","large",0.0698,10000
6,"probit","lower","observed_z_shift","direction","small",0.8718,10000
6,"probit","lower","observed_z_shift","direction","medium",0.9993,10000
6,"probit","lower","observed_z_shift","direction","large",1,10000
6,"probit","lower","observed_z_shift","overlap","small",0.9502,10000
6,"probit","lower","observed_z_shift","overlap","medium",0.705,10000
6,"probit","lower","observed_z_shift","overlap","large",0,10000
