"scenario","family","baseline_risk","mismatch","precision","n_trial","n_emulation","estimand","truth","bias","bias_mcse","relative_bias","empse","empse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","mse","mse_mcse","coverage","coverage_mcse","convergence","n_used","n_attempted"
1,"logit","lower","aligned","small",500,5000,"psiT",-0.02168278333915,0.000242740389516008,0.000319583676683441,-0.0111950751764291,0.0319583676683441,0.000225991084776132,0.0326004551768602,1.35773485589988e-05,2.00913737265771,0.722599592814539,0.00102129405319536,1.45551567393159e-05,0.9544,0.00208616010890823,1,10000,10000
1,"logit","lower","aligned","small",500,5000,"psiE",-0.02168278333915,-4.21384558546567e-05,0.000107484094762897,0.0019434062129179,0.0107484094762897,7.600653269819e-05,0.0106723585806079,1.74329873405488e-06,-0.707554879162275,0.702326023317392,0.000115518529088829,1.63538517998323e-06,0.9444,0.00229147637997864,1,10000,10000
1,"logit","lower","aligned","small",500,5000,"deltaRaw",0,-0.000284878845370661,0.000337277557225254,NA,0.0337277557225254,0.000238503173312821,0.0343028995190136,1.29138001195377e-05,1.70525368251553,0.7202191706743,0.00113752890588428,1.62280731910505e-05,0.9536,0.00210349803898173,1,10000,10000
1,"logit","lower","aligned","small",500,5000,"psiEtoT_LZ",-0.02168278333915,-4.47518176668396e-05,0.000109186659602612,0.0020639332583302,0.0109186659602612,7.72104880410341e-05,0.0108996858432224,2.74887661628025e-06,-0.173831831726035,0.706361700359485,0.000119207347350316,1.68553521627811e-06,0.9469,0.0022423289232403,1,10000,10000
1,"logit","lower","aligned","small",500,5000,"deltaObservedAlign",3.46944695195361e-18,-0.000287492207182846,0.000337229745257044,NA,0.0337229745257044,0.000238469363455342,0.0343454616465188,1.30163851767092e-05,1.84588438466473,0.721228729366475,0.00113720793872941,1.6191197472195e-05,0.9535,0.00210565310533335,1,10000,10000
2,"probit","lower","aligned","small",500,5000,"psiT",-0.0340687194797627,2.62319032363553e-05,0.000361267766845957,-0.000769970331639187,0.0361267766845957,0.000255467661463321,0.0357791370963724,1.21115596894721e-05,-0.96227679335571,0.701139440132428,0.00130501416733204,1.85308507670056e-05,0.9467,0.00224631053062572,1,10000,10000
2,"probit","lower","aligned","small",500,5000,"psiE",-0.0340687194797627,3.24698414693597e-06,0.000114093117840232,-9.53069031216369e-05,0.0114093117840232,8.06800514149696e-05,0.0113188226938348,1.44805428244232e-06,-0.793116113411085,0.701648479564385,0.000130159388688418,1.83969045790588e-06,0.9481,0.00221825133832936,1,10000,10000
2,"probit","lower","aligned","small",500,5000,"deltaRaw",0,-2.2984919089421e-05,0.000380179343505794,NA,0.0380179343505794,0.000268840834237777,0.0375268223879332,1.1558225238042e-05,-1.29179023278205,0.698669119723369,0.00144521932425825,2.06360586864708e-05,0.9482,0.00221623013245466,1,10000,10000
2,"probit","lower","aligned","small",500,5000,"psiEtoT_LZ",-0.0340687194797627,3.91657825916172e-05,0.000117449707051934,-0.0011496112325232,0.0117449707051934,8.30536370904725e-05,0.011723011723345,3.38159497527573e-06,-0.1869649776023,0.706407026539738,0.00013793207639069,1.97181736225827e-06,0.948,0.00222027025382047,1,10000,10000
2,"probit","lower","aligned","small",500,5000,"deltaObservedAlign",0,1.29338793552663e-05,0.000379504044500402,NA,0.0379504044500402,0.000268363301854519,0.0375127486178438,1.18042230999438e-05,-1.15323100909926,0.699678872992741,0.00144008934188708,2.05709920342629e-05,0.9474,0.00223233599621562,1,10000,10000
3,"logit","common","aligned","small",500,5000,"psiT",-0.0535138369182675,0.000549135190776456,0.000434936166242181,-0.0102615551864681,0.0434936166242181,0.000307561691002147,0.0430081712289123,5.51879568858397e-06,-1.11613021170444,0.699364629178185,0.0018918070670435,2.6645303819777e-05,0.9468,0.00224432083267968,1,10000,10000
3,"logit","common","aligned","small",500,5000,"psiE",-0.0535138369182675,-0.000267744974457133,0.000138998279366838,0.00500328494228632,0.0138998279366838,9.82915406134543e-05,0.0138190202631234,1.10568129739149e-06,-0.581357365921709,0.703076117312696,0.000193257583519095,2.76137461513435e-06,0.9477,0.00222631332026739,1,10000,10000
3,"logit","common","aligned","small",500,5000,"deltaRaw",0,-0.000816880165233588,0.000457643221334688,NA,0.0457643221334688,0.000323618806514683,0.0451737546977009,5.25795524227669e-06,-1.29045380382885,0.69811134499556,0.00209483103622221,3.00307096728723e-05,0.9456,0.00226805290943576,1,10000,10000
3,"logit","common","aligned","small",500,5000,"psiEtoT_LZ",-0.0535138369182675,-0.000276520566558545,0.000143311925748623,0.00516727228849016,0.0143311925748623,0.000101341901743525,0.0142485901300582,2.12468855352854e-06,-0.576382212244686,0.703222594925325,0.000205439005933455,2.939934520578e-06,0.9495,0.00218974313562116,1,10000,10000
3,"logit","common","aligned","small",500,5000,"deltaObservedAlign",-6.93889390390723e-18,-0.000825655757335005,0.00045742253403403,NA,0.045742253403403,0.000323462749224807,0.0451791659615318,5.457438924826e-06,-1.23100066126026,0.698539109941241,0.00209282621847612,3.00329589574953e-05,0.9468,0.00224432083267968,1,10000,10000
4,"probit","common","aligned","small",500,5000,"psiT",-0.0985909464595561,-0.000104697785542132,0.000443617622058728,0.00106194117514716,0.0443617622058728,0.000313700714239435,0.0444438347391412,2.30739383799632e-06,0.185007378398327,0.708469497592306,0.0019677801110421,2.76798145024271e-05,0.9515,0.00214820273717357,1,10000,10000
4,"probit","common","aligned","small",500,5000,"psiE",-0.0985909464595561,-3.29431666367674e-05,0.000136621393853698,0.000334139876122209,0.0136621393853698,9.66107447071128e-05,0.0135329218749512,1.2818043441518e-06,-0.94580729103827,0.700516768705255,0.000186636472432242,2.61315851881097e-06,0.9487,0.00220608952674183,1,10000,10000
4,"probit","common","aligned","small",500,5000,"deltaRaw",0,7.17546189053633e-05,0.000464715037955574,NA,0.0464715037955574,0.000328619586047848,0.0464585236613652,2.24289560840877e-06,-0.0279313840356066,0.706961099545107,0.00215938985367933,3.026369020859e-05,0.9491,0.00219793516737869,1,10000,10000
4,"probit","common","aligned","small",500,5000,"psiEtoT_LZ",-0.098590946459556,-6.20726348008055e-05,0.000144480095526379,0.000629597716928997,0.0144480095526379,0.00010216796381909,0.0143912386117593,2.56341527991517e-06,-0.392932608964636,0.704586969234867,0.000208727958547105,2.91589519199385e-06,0.9484,0.00221218082443547,1,10000,10000
4,"probit","common","aligned","small",500,5000,"deltaObservedAlign",2.77555756156289e-17,4.2625150741323e-05,0.000462807232434174,NA,0.0462807232434174,0.00032727049637031,0.0463038211203186,2.98481995754187e-06,0.0499082021249375,0.707524456113108,0.00214169297030287,2.99436585998032e-05,0.9487,0.00220608952674183,1,10000,10000
5,"logit","lower","observed_z_shift","small",500,5000,"psiT",-0.0310217270360817,-0.000444464645933281,0.00031233979529026,0.0143275274589425,0.031233979529026,0.00022086863099181,0.0312066465581363,1.44345939268338e-05,-0.0875103694815915,0.708033167875826,0.000975661469893377,1.3597302870673e-05,0.949,0.00219997727260988,1,10000,10000
5,"logit","lower","observed_z_shift","small",500,5000,"psiE",-0.0123438396422182,0.000184685076216964,0.000112197885251995,-0.0149617203050262,0.0112197885251995,7.93398525882848e-05,0.0111696034190114,1.73083419047493e-06,-0.447291016897,0.704148160955675,0.00012590517476212,1.75198363643606e-06,0.9492,0.00219589070766284,1,10000,10000
5,"logit","lower","observed_z_shift","small",500,5000,"deltaRaw",0.0186778873938635,0.000629149722150248,0.000331059782571183,0.0336842014775693,0.0331059782571183,0.000234106322843017,0.0331453591011235,1.3612383275985e-05,0.118953875035444,0.709176301922943,0.00109629202515403,1.56941386536065e-05,0.9491,0.00219793516737869,1,10000,10000
5,"logit","lower","observed_z_shift","small",500,5000,"psiEtoT_LZ",-0.0310217270360817,0.000186222333152148,0.000112056956103577,-0.00600296472648189,0.0112056956103577,7.92401956488e-05,0.0112597187457712,3.73547793627621e-06,0.482104255656868,0.711332840242092,0.000125589736107943,1.763447645195e-06,0.9523,0.00213130734526956,1,10000,10000
5,"logit","lower","observed_z_shift","small",500,5000,"deltaObservedAlign",2.08166817117217e-17,0.000630686979085431,0.00033096899428236,NA,0.033096899428236,0.000234042122618247,0.0331466738899496,1.36204677706664e-05,0.150390104733167,0.709400297356007,0.00109569297735318,1.56162506052435e-05,0.9495,0.00218974313562116,1,10000,10000
6,"probit","lower","observed_z_shift","small",500,5000,"psiT",-0.0496148049937308,0.000170505978752102,0.000336968950811995,-0.00343659475782775,0.0336968950811995,0.000238284944713585,0.0335308850932118,1.31602339239927e-05,-0.492656630789512,0.704741339251771,0.00113539626232835,1.6163712663774e-05,0.9483,0.00221420662992414,1,10000,10000
6,"probit","lower","observed_z_shift","small",500,5000,"psiE",-0.0185226339657947,0.00011849892498407,0.000120249598951775,-0.00639752020165704,0.0120249598951775,8.50335586379918e-05,0.0120464055553776,1.3959520227562e-06,0.178342883361426,0.708498388570322,0.000144599242509801,2.01156493911354e-06,0.9511,0.00215658966889856,1,10000,10000
6,"probit","lower","observed_z_shift","small",500,5000,"deltaRaw",0.0310921710279361,-5.20070537680349e-05,0.000357083137827079,-0.00167267360395345,0.0357083137827079,0.000252508533947247,0.0356291473647462,1.23828426611856e-05,-0.221703042163657,0.706426045397187,0.00127495886957064,1.81460522883864e-05,0.951,0.0021586801523153,1,10000,10000
6,"probit","lower","observed_z_shift","small",500,5000,"psiEtoT_LZ",-0.0496148049937308,1.33896090875399e-05,0.000113592276233505,-0.000269871242852446,0.0113592276233505,8.03258852097995e-05,0.0113719232233344,3.89163518819923e-06,0.111764641090528,0.70876097069676,0.0001290193282755,1.80336125454593e-06,0.9507,0.00216493671962947,1,10000,10000
6,"probit","lower","observed_z_shift","small",500,5000,"deltaObservedAlign",0,-0.000157116369664567,0.000352079830225634,NA,0.0352079830225634,0.000248970484306998,0.0352628021446127,1.24992611884692e-05,0.15570083072971,0.7091323694742,0.00123950279386387,1.75851173941508e-05,0.9514,0.00215030323442997,1,10000,10000
7,"logit","common","observed_z_shift","small",500,5000,"psiT",-0.0716714120583398,0.000208967508580557,0.000422535695196573,-0.00291563264318638,0.0422535695196573,0.000298792795380147,0.0421768628591699,6.63862081692096e-06,-0.181538888570665,0.706033235865836,0.00178522926815844,2.48988443499216e-05,0.9493,0.00219384388687983,1,10000,10000
7,"logit","common","observed_z_shift","small",500,5000,"psiE",-0.0353562617781952,0.000151200182310809,0.000142058629225121,-0.00427647535984862,0.0142058629225121,0.000100455642958872,0.0141294818027978,1.05718502340011e-06,-0.537673213735279,0.703379394756112,0.000201809222214197,2.90162528301983e-06,0.9475,0.00223033069296909,1,10000,10000
7,"logit","common","observed_z_shift","small",500,5000,"deltaRaw",0.0363151502801446,-5.77673262697614e-05,0.000445621032624068,-0.00159072248976334,0.0445621032624068,0.000315117410272261,0.0444806701462199,6.2990593623927e-06,-0.182740737589182,0.705991427737905,0.00198558580612867,2.81058691390403e-05,0.9502,0.00217531514958178,1,10000,10000
7,"logit","common","observed_z_shift","small",500,5000,"psiEtoT_LZ",-0.0716714120583398,5.56237804811427e-05,0.000158709922058864,-0.000776094385246178,0.0158709922058864,0.000112230473793396,0.0157687607056208,3.71832356914105e-06,-0.644140573818353,0.70297766259161,0.000251866298764904,3.66167922365715e-06,0.9474,0.00223233599621562,1,10000,10000
7,"logit","common","observed_z_shift","small",500,5000,"deltaObservedAlign",1.38777878078145e-17,-0.000153343728099414,0.000450190371350262,NA,0.0450190371350262,0.000318348582233728,0.0449105980187699,6.29710101902415e-06,-0.240873912809558,0.705577480054567,0.00202653454749336,2.86625815788721e-05,0.9506,0.0021670173049609,1,10000,10000
8,"probit","common","observed_z_shift","small",500,5000,"psiT",-0.128569468272018,-0.000318929772369303,0.000441281332516092,0.00248060271739271,0.0441281332516092,0.000312048625454517,0.0440013276658464,3.62993704475952e-06,-0.28735769319711,0.705158092403927,0.00194719913125706,2.72058160310851e-05,0.9497,0.0021856328602947,1,10000,10000
8,"probit","common","observed_z_shift","small",500,5000,"psiE",-0.0686124246470941,8.88600408423257e-05,0.000136164301345657,-0.00129510130707921,0.0136164301345657,9.62875153331749e-05,0.0136693940362074,1.304415278841e-06,0.388970538667222,0.709957348020105,0.000185396524999407,2.61332486953292e-06,0.9503,0.00217324434889407,1,10000,10000
8,"probit","common","observed_z_shift","small",500,5000,"deltaRaw",0.0599570436249238,0.000407789813211636,0.000460869276480793,0.00680136625419135,0.0460869276480793,0.000325900086051804,0.0460756895735081,3.48646428698424e-06,-0.0243845167049228,0.707010179571453,0.00212395879208104,3.0135447216835e-05,0.9487,0.00220608952674183,1,10000,10000
8,"probit","common","observed_z_shift","small",500,5000,"psiEtoT_LZ",-0.128569468272018,-4.53107181341561e-05,0.000161031580983909,0.00035242206989836,0.0161031580983909,0.000113872216652093,0.0162582652871822,3.89190845982257e-06,0.963209749563343,0.714362359378057,0.000259287822632878,3.67201200924633e-06,0.9511,0.00215658966889856,1,10000,10000
8,"probit","common","observed_z_shift","small",500,5000,"deltaObservedAlign",-2.77555756156289e-17,0.000273619054235146,0.000463997812906106,NA,0.0463997812906106,0.000328112405992095,0.0465336419212254,3.80554464592366e-06,0.288494098229464,0.709229626651522,0.00215279927723295,3.0589126724001e-05,0.9498,0.00218357413430367,1,10000,10000
9,"logit","lower","hidden_u_shift","small",500,5000,"psiT",-0.0286447925719777,-1.1372295005245e-05,0.000320929766162968,0.00039701090439629,0.0320929766162968,0.000226942961370209,0.0317944528726854,1.42680123886677e-05,-0.930184031168424,0.70197367970017,0.00102985628150847,1.47818333948524e-05,0.9467,0.00224631053062572,1,10000,10000
9,"logit","lower","hidden_u_shift","small",500,5000,"psiE",-0.0147207741063223,-5.06909571781396e-05,0.000109595106152188,0.00344349806688284,0.0109595106152188,7.74993178078413e-05,0.0109035750236108,1.71607346065987e-06,-0.510384026914334,0.703707227949002,0.000120101431410942,1.72590490029116e-06,0.9472,0.00223633986683599,1,10000,10000
9,"logit","lower","hidden_u_shift","small",500,5000,"deltaRaw",0.0139240184656554,-3.93186621728912e-05,0.000339973619743691,-0.00282380135230885,0.0339973619743691,0.000240409672729464,0.0336121284920923,1.35131578261754e-05,-1.1331275719781,0.700258293991184,0.00115570658511135,1.66931733543817e-05,0.9461,0.00225820260384227,1,10000,10000
9,"logit","lower","hidden_u_shift","small",500,5000,"psiEtoT_LZ",-0.0147207741063222,-6.57514359550544e-05,0.00011138813315537,0.00446657461626393,0.011138813315537,7.87672427584742e-05,0.0111556667761409,2.7037865265856e-06,0.151303914756795,0.70862793194836,0.000124065078013507,1.77415857576393e-06,0.9515,0.00214820273717357,1,10000,10000
9,"logit","lower","hidden_u_shift","small",500,5000,"deltaObservedAlign",0.0139240184656554,-5.43791409498076e-05,0.000340236469650896,-0.00390542005412716,0.0340236469650896,0.000240595544975128,0.0336649577146015,1.36182743085096e-05,-1.05423516431419,0.700831112775209,0.00115749574904074,1.6674206658731e-05,0.9462,0.00225622605250449,1,10000,10000
10,"probit","lower","hidden_u_shift","small",500,5000,"psiT",-0.0457931410579923,-1.40719976847378e-05,0.000347300815707913,0.000307294877783489,0.0347300815707913,0.000245591041757777,0.0344549039994857,1.26950451231238e-05,-0.792332061600942,0.702490882339876,0.00120605814607834,1.71535406254728e-05,0.9471,0.00223833844625874,1,10000,10000
10,"probit","lower","hidden_u_shift","small",500,5000,"psiE",-0.0223442979015332,-0.000132111424228618,0.000117778238165832,0.00591253414230363,0.0117778238165832,8.32859552851411e-05,0.0116216676615972,1.40160742760055e-06,-1.32584896342364,0.69786797556826,0.000138720715569501,1.97728539756438e-06,0.9442,0.00229535095355808,1,10000,10000
10,"probit","lower","hidden_u_shift","small",500,5000,"deltaRaw",0.0234488431564591,-0.00011803942654388,0.000366377405098312,-0.00503391257966454,0.0366377405098312,0.000259080901987514,0.0363621172217789,1.2036346239829e-05,-0.752293357114386,0.702590843815613,0.00134220373056898,1.90480160799232e-05,0.9464,0.0022522664140816,1,10000,10000
10,"probit","lower","hidden_u_shift","small",500,5000,"psiEtoT_LZ",-0.0223442979015332,-0.000136239932643049,0.000121956790656951,0.00609730201608623,0.0121956790656951,8.62407858323761e-05,0.0120984990349435,3.32013987548224e-06,-0.796839849819497,0.702035398933692,0.000148738275733892,2.11237567470312e-06,0.947,0.00224033479640879,1,10000,10000
10,"probit","lower","hidden_u_shift","small",500,5000,"deltaObservedAlign",0.0234488431564591,-0.000122167934958312,0.000366201377072043,-0.00520997706126324,0.0366201377072043,0.000258956425152463,0.0363830720532292,1.22218205885567e-05,-0.647364179431942,0.703356620149338,0.00134091530725037,1.90722255849563e-05,0.9466,0.0022482980229498,1,10000,10000
11,"logit","common","hidden_u_shift","small",500,5000,"psiT",-0.0659327082030828,0.000196071588235064,0.000421513547793805,-0.00297381365908911,0.0421513547793805,0.0002980699918792,0.0425271124399419,6.23239022904723e-06,0.891448596440458,0.71359914423241,0.00177659748013394,2.4730520024716e-05,0.9501,0.00217738352156895,1,10000,10000
11,"logit","common","hidden_u_shift","small",500,5000,"psiE",-0.0410949656334522,0.000140548599827914,0.000139583811879339,-0.00342009289122033,0.0139583811879339,9.87055953269023e-05,0.0139438059198376,1.08544283567997e-06,-0.104419473147144,0.70644654546473,0.000194836675656041,2.7541941206523e-06,0.9515,0.00214820273717357,1,10000,10000
11,"logit","common","hidden_u_shift","small",500,5000,"deltaRaw",0.0248377425696306,-5.55229884071466e-05,0.000444319064813341,-0.00223542812924695,0.0444319064813341,0.000314196733969442,0.0447547206002849,5.93427151658189e-06,0.726536726679483,0.712404992817851,0.0019739999769369,2.76064703327276e-05,0.9501,0.00217738352156895,1,10000,10000
11,"logit","common","hidden_u_shift","small",500,5000,"psiEtoT_LZ",-0.0410949656334522,0.000114431671927269,0.000143269797541244,-0.0027845666777762,0.0143269797541244,0.000101312111112839,0.0144016973166471,2.08257278030002e-06,0.521516494090224,0.710978612722055,0.000205254917247743,2.94875107329365e-06,0.9519,0.00213977545550929,1,10000,10000
11,"logit","common","hidden_u_shift","small",500,5000,"deltaObservedAlign",0.0248377425696306,-8.16399163077915e-05,0.000443513886788425,-0.00328692980366153,0.0443513886788425,0.000313627358658484,0.0447748341816587,6.09240605538175e-06,0.954751396585429,0.714025736314112,0.00196685563824991,2.75614115015791e-05,0.9493,0.00219384388687983,1,10000,10000
12,"probit","common","hidden_u_shift","small",500,5000,"psiT",-0.117630095447779,-0.000259529244107756,0.000443276052384767,0.0022063167008393,0.0443276052384767,0.000313459175929512,0.044233470255232,3.0136535444065e-06,-0.212361986934106,0.705673188326777,0.00196480744794815,2.79117606138243e-05,0.9505,0.00216909543358516,1,10000,10000
