"scenario","family","baseline_risk","mismatch","operator","probability_range","n_complete_vectors"
1,"logit","lower","aligned","direction",0.2603,10000
1,"logit","lower","aligned","overlap",0.002,10000
2,"probit","lower","aligned","direction",0.1738,10000
2,"probit","lower","aligned","overlap",0.00390000000000001,10000
3,"logit","common","aligned","direction",0.111,10000
3,"logit","common","aligned","overlap",0.00260000000000005,10000
4,"probit","common","aligned","direction",0.0137,10000
4,"probit","common","aligned","overlap",0.000699999999999923,10000
5,"logit","lower","observed_z_shift","direction",0.253,10000
5,"logit","lower","observed_z_shift","overlap",0.9004,10000
6,"probit","lower","observed_z_shift","direction",0.1282,10000
6,"probit","lower","observed_z_shift","overlap",0.9502,10000
7,"logit","common","observed_z_shift","direction",0.0554,10000
7,"logit","common","observed_z_shift","overlap",0.9513,10000
8,"probit","common","observed_z_shift","direction",0.00190000000000001,10000
8,"probit","common","observed_z_shift","overlap",0.8751,10000
9,"logit","lower","hidden_u_shift","direction",0.243,10000
9,"logit","lower","hidden_u_shift","overlap",0.6397,10000
10,"probit","lower","hidden_u_shift","direction",0.1173,10000
10,"probit","lower","hidden_u_shift","overlap",0.9457,10000
11,"logit","common","hidden_u_shift","direction",0.0594,10000
11,"logit","common","hidden_u_shift","overlap",0.8966,10000
12,"probit","common","hidden_u_shift","direction",0.00409999999999999,10000
12,"probit","common","hidden_u_shift","overlap",0.945,10000
13,"logit","lower","measurement_mismatch","direction",0.2729,10000
13,"logit","lower","measurement_mismatch","overlap",0.0357000000000001,10000
14,"probit","lower","measurement_mismatch","direction",0.1784,10000
14,"probit","lower","measurement_mismatch","overlap",0.0657,10000
15,"logit","common","measurement_mismatch","direction",0.1041,10000
15,"logit","common","measurement_mismatch","overlap",0.1361,10000
16,"probit","common","measurement_mismatch","direction",0.0138,10000
16,"probit","common","measurement_mismatch","overlap",0.513,10000
