"weighting","mismatch","v_direction","v_overlap","s","materiality_threshold","s_at_or_above_threshold"
"all_structural_scenarios","all",0.12439375,0.49148125,0.49148125,0.05,TRUE
"equal_within_mismatch","aligned",0.1397,0.0023,0.1397,0.05,TRUE
"equal_within_mismatch","observed_z_shift",0.109625,0.91925,0.91925,0.05,TRUE
"equal_within_mismatch","hidden_u_shift",0.10595,0.85675,0.85675,0.05,TRUE
"equal_within_mismatch","measurement_mismatch",0.1423,0.187625,0.187625,0.05,TRUE
"all_structural_scenarios","all",0.12439375,0.49148125,0.49148125,0.1,TRUE
"equal_within_mismatch","aligned",0.1397,0.0023,0.1397,0.1,TRUE
"equal_within_mismatch","observed_z_shift",0.109625,0.91925,0.91925,0.1,TRUE
"equal_within_mismatch","hidden_u_shift",0.10595,0.85675,0.85675,0.1,TRUE
"equal_within_mismatch","measurement_mismatch",0.1423,0.187625,0.187625,0.1,TRUE
"all_structural_scenarios","all",0.12439375,0.49148125,0.49148125,0.15,TRUE
"equal_within_mismatch","aligned",0.1397,0.0023,0.1397,0.15,FALSE
"equal_within_mismatch","observed_z_shift",0.109625,0.91925,0.91925,0.15,TRUE
"equal_within_mismatch","hidden_u_shift",0.10595,0.85675,0.85675,0.15,TRUE
"equal_within_mismatch","measurement_mismatch",0.1423,0.187625,0.187625,0.15,TRUE
