"scenario","family","baseline_risk","mismatch","precision","p_mean","p_q05","p_q25","p_median","p_q75","p_q95","source_success_probability","source_success_mcse","inversion_finite","interval_contains_zero","interval_contains_trial_truth","interval_contains_emulation_truth","mean_interval_width"
1,"logit","lower","aligned","small",0.872386837742344,0.153901627521523,1,1,1,1,0.0139000000000001,0.00117081855195773,1,0.9861,1,1,0.137677090061716
2,"probit","lower","aligned","small",0.699319858314414,0.0354680970302003,0.298407389328895,1,1,1,0.0646999999999999,0.00246008052706003,1,0.9353,1,1,0.151368284171898
3,"logit","common","aligned","small",0.514393779737201,0.00880069692086677,0.10606867617537,0.408209294223705,1,1,0.1604,0.00366994970716009,1,0.8396,0.9999,0.9999,0.182147672389147
4,"probit","common","aligned","small",0.135333718153913,0.000116388632316489,0.00434299269687819,0.0297549745802538,0.144400331669593,0.747923210569739,0.5877,0.0049227324048167,1,0.4123,1,1,0.187650210627746
5,"logit","lower","observed_z_shift","small",0.904099055556805,0.214950311937039,1,1,1,1,0.00740000000000001,0.000857086611577779,1,0.9926,0.9974,0.9996,0.134733866125048
6,"probit","lower","observed_z_shift","small",0.763006760331391,0.0676513528242857,0.448346055993665,1,1,1,0.0381,0.00191447264815988,1,0.9619,0.9918,0.9995,0.147888474237273
7,"logit","common","observed_z_shift","small",0.529224305511011,0.013127504972154,0.110257111243082,0.43456589430323,1,1,0.1505,0.00357578713367584,1,0.8495,0.9945,0.9997,0.184477332107597
8,"probit","common","observed_z_shift","small",0.0591972267674709,1.74832695670608e-05,0.000666094681036362,0.00570862049515346,0.0354394870453757,0.316690548438577,0.7871,0.00409378002627008,1,0.2129,0.9849,0.9992,0.200760696407381
9,"logit","lower","hidden_u_shift","small",0.896837552694309,0.223748525109189,1,1,1,1,0.0103,0.00100969943512666,1,0.9897,0.9988,0.9997,0.136013517888606
10,"probit","lower","hidden_u_shift","small",0.736861438093668,0.0502746450618724,0.375436613217386,1,1,1,0.0498,0.00217542392349758,1,0.9502,0.9965,0.9996,0.148975765730359
11,"logit","common","hidden_u_shift","small",0.509533467916697,0.00923172870881074,0.102970147415068,0.393584296839639,1,1,0.1582,0.00364946679129807,1,0.8418,0.9982,0.9996,0.182571591644204
12,"probit","common","hidden_u_shift","small",0.0788926346180549,2.33265048969354e-05,0.00113667511617242,0.00983766429571301,0.0613089340241094,0.413586106392297,0.7205,0.00448775990878514,1,0.279500000000001,0.9948,0.9992,0.192780104463006
13,"logit","lower","measurement_mismatch","small",0.902434842054691,0.213455684040503,1,1,1,1,0.00819999999999975,0.000901863257780112,1,0.9918,0.9997,0.9996,0.137811916365679
14,"probit","lower","measurement_mismatch","small",0.765303359382995,0.0558811774066048,0.450267227445205,1,1,1,0.0450000000000001,0.00207314490399963,1,0.955,1,0.9999,0.151425892154394
15,"logit","common","measurement_mismatch","small",0.566083142260659,0.0156907045518065,0.138970969797891,0.539333235125684,1,1,0.1222,0.00327533033126103,1,0.8778,1,0.9999,0.182175030488335
16,"probit","common","measurement_mismatch","small",0.150238424626875,0.000170083994239687,0.00474594823280931,0.0342443332301985,0.158338333618045,1,0.563399999999999,0.00495988951997946,1,0.436600000000001,0.9991,0.9998,0.188886032728306
1,"logit","lower","aligned","medium",0.37930064781161,0.00360782365966587,0.0505105800386216,0.213648549761597,0.718182923171232,1,0.2484,0.00432106597509391,1,0.7516,0.9999,0.9999,0.0616769588195091
2,"probit","lower","aligned","medium",0.156187401644256,0.000197479143052405,0.00560765413452145,0.0373529198004897,0.171835344685461,1,0.5466,0.00497848596786734,1,0.4534,1,1,0.0677474041980595
3,"logit","common","aligned","medium",0.0558997489702072,1.08588273296721e-05,0.00058239611273783,0.005849105092743,0.0397204745847221,0.289687477080072,0.7793,0.00414739328821253,1,0.2207,0.9998,0.9998,0.0814061767563684
4,"probit","common","aligned","medium",0.000520088476525962,3.20168267624388e-11,1.70226353644464e-08,7.61804078748738e-07,1.88223832776765e-05,0.000848098474574989,0.9979,0.000457799036691644,1,0.0021,0.9999,0.9999,0.0839934295362738
5,"logit","lower","observed_z_shift","medium",0.372010127081558,0.0047667007620084,0.0486022465297956,0.189011037878688,0.72610852136072,1,0.255,0.00435883011139411,1,0.745,0.9845,0.9993,0.0640777494688477
6,"probit","lower","observed_z_shift","medium",0.0640393239675437,7.53404235431876e-05,0.00145865242975796,0.00955093784806151,0.0460541985448323,0.316288332375343,0.7614,0.00426248998615667,1,0.238599999999999,0.9787,0.9951,0.0758212027641079
7,"logit","common","observed_z_shift","medium",0.00959929334800479,3.15725742042576e-07,1.94563485496069e-05,0.000256506467888932,0.00256065092063975,0.042410726582859,0.9576,0.00201510050940532,1,0.0423999999999999,0.9793,0.9972,0.092836336201817
8,"probit","common","observed_z_shift","medium",4.01785660450187e-06,2.4979123568733e-16,5.73780251528485e-13,7.60671606894946e-11,4.87154336948616e-09,1.17305682652719e-06,1,0,1,0,0.9766,0.9902,0.113400635212254
9,"logit","lower","hidden_u_shift","medium",0.34061602848873,0.0033876565489134,0.0373388499574222,0.154989848651294,0.581599147261173,1,0.2895,0.00453552996938716,1,0.7105,0.9921,0.9996,0.0626708479962576
10,"probit","lower","hidden_u_shift","medium",0.0628831423845256,4.02845255730264e-05,0.00104351525655295,0.00734294962106409,0.0410967937214895,0.345269847386155,0.7776,0.00415879231933438,1,0.2224,0.9819,0.9987,0.071883605660147
11,"logit","common","hidden_u_shift","medium",0.0176462749748544,5.2444378877977e-07,4.38215486366153e-05,0.000634053233216642,0.00628430886918456,0.0839948217447515,0.9248,0.00263726970921663,1,0.0752000000000002,0.9842,0.9991,0.0865889781511236
12,"probit","common","hidden_u_shift","medium",2.7541053971577e-05,2.87245485640417e-14,4.14685648490878e-11,3.13366928588609e-09,1.52095695704801e-07,1.74341155093902e-05,1,0,1,0,0.9815,0.9979,0.0963574794899143
13,"logit","lower","measurement_mismatch","medium",0.426361609152868,0.0052634333174348,0.0619108240143409,0.259560739584968,1,1,0.2216,0.00415344063481219,1,0.7784,0.9995,1,0.0619475387686547
14,"probit","lower","measurement_mismatch","medium",0.16415633030202,0.000241744983983759,0.00684428580019282,0.0414582888676316,0.180610537289603,1,0.5324,0.00498974085012211,1,0.4676,0.9991,1,0.0680547908712129
15,"logit","common","measurement_mismatch","medium",0.0585079604881581,1.03856456394344e-05,0.000609241475333652,0.00658138952998545,0.0417406672320234,0.303807413228621,0.7718,0.00419693190601701,1,0.2282,0.999,0.9996,0.0821538120081623
