"scenario","family","baseline_risk","mismatch","precision","n_trial","n_emulation","delta","delta_raw_true","truth_class","method","cutoff","wrong_definitive","wrong_definitive_mcse","correct_definitive","correct_definitive_mcse","indeterminate","indeterminate_mcse","decision_rate","decision_rate_mcse","convergence","n_used","compatibility_mean"
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","forced-plugin",NA,0.767300000000001,0.00422573741324125,0.232699999999999,0.00422573741324125,0,0,1,0,1,10000,NA
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","joint-uncertainty",NA,0.0492,0.00216296182129621,0,0,0.9508,0.00216296182129621,0.0492,0.00216296182129621,1,10000,NA
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.5,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.51,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.52,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.53,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.54,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.55,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.56,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.57,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.58,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.59,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.6,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.61,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.62,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.63,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.64,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.65,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.66,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.67,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.68,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.69,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.7,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.71,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.72,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.73,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.74,1,0,0,0,0,0,1,0,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.75,0.9986,0.000373922427514304,0,0,0.00140000000000001,0.000373922427514304,0.9986,0.000373922427514304,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.76,0.9832,0.00128527864454338,0,0,0.0168000000000001,0.00128527864454338,0.9832,0.00128527864454338,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.77,0.9182,0.00274073478518389,0,0,0.0817999999999999,0.00274073478518389,0.9182,0.00274073478518389,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.78,0.79,0.00407328604027729,0,0,0.21,0.00407328604027729,0.79,0.00407328604027729,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.79,0.6752,0.00468323491498447,0,0,0.3248,0.00468323491498447,0.6752,0.00468323491498447,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.8,0.5915,0.00491581036240753,0,0,0.4085,0.00491581036240753,0.5915,0.00491581036240753,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.81,0.5262,0.00499338055679086,0,0,0.4738,0.00499338055679086,0.5262,0.00499338055679086,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.82,0.4733,0.00499311567264503,0,0,0.5267,0.00499311567264502,0.4733,0.00499311567264503,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.83,0.4232,0.00494091259401773,0,0,0.5768,0.00494091259401773,0.4232,0.00494091259401773,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.84,0.3792,0.00485212224794757,0,0,0.6208,0.00485212224794757,0.3792,0.00485212224794757,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.85,0.3375,0.00472880652608169,0,0,0.6625,0.00472880652608169,0.3375,0.00472880652608169,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.86,0.3022,0.00459234416855879,0,0,0.6978,0.00459234416855879,0.3022,0.00459234416855879,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.87,0.2694,0.00443670287863036,0,0,0.7306,0.00443670287863036,0.2694,0.00443670287863036,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.88,0.2385,0.0042618765067906,0,0,0.7615,0.0042618765067906,0.2385,0.0042618765067906,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.89,0.211,0.00408038784388166,0,0,0.789,0.00408038784388166,0.211,0.00408038784388166,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.9,0.1837,0.00387258708011438,0,0,0.8163,0.00387258708011438,0.1837,0.00387258708011438,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.91,0.1598,0.00366438791258193,0,0,0.8402,0.00366438791258193,0.1598,0.00366438791258193,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.92,0.136,0.00342805705283854,0,0,0.864,0.00342805705283854,0.136,0.00342805705283854,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.93,0.1131,0.00316730835003786,0,0,0.8869,0.00316730835003786,0.1131,0.00316730835003786,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.94,0.0902,0.00286482402979153,0,0,0.9098,0.00286482402979153,0.0902,0.00286482402979153,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.95,0.0702000000000001,0.00255496551539889,0,0,0.9298,0.00255496551539889,0.0702000000000001,0.00255496551539889,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.96,0.0534000000000001,0.00224841044628293,0,0,0.9466,0.00224841044628293,0.0534000000000001,0.00224841044628293,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.97,0.0370999999999998,0.0018901630277907,0,0,0.9629,0.0018901630277907,0.0370999999999998,0.0018901630277907,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.98,0.0234,0.00151177794244222,0,0,0.9766,0.00151177794244222,0.0234,0.00151177794244222,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.01,0,"aligned","compatibility",0.99,0.0107,0.00102891052365435,0,0,0.9893,0.00102891052365435,0.0107,0.00102891052365435,1,10000,0.165005262519125
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","forced-plugin",NA,0.5512,0.00497396522233589,0.4488,0.00497396522233589,0,0,1,0,1,10000,NA
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","joint-uncertainty",NA,0.0240999999999999,0.00153367343832438,0,0,0.9759,0.00153367343832438,0.0240999999999999,0.00153367343832438,1,10000,NA
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.5,1,0,0,0,0,0,1,0,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.51,1,0,0,0,0,0,1,0,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.52,0.9994,0.000244887723252305,0,0,0.00060000000000002,0.000244887723252305,0.9994,0.000244887723252305,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.53,0.9963,0.000607180258890775,0,0,0.00370000000000004,0.000607180258890775,0.9963,0.000607180258890775,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.54,0.9852,0.0012075768398667,0,0,0.0148,0.0012075768398667,0.9852,0.0012075768398667,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.55,0.9604,0.00195027289281146,0,0,0.0395999999999999,0.00195027289281146,0.9604,0.00195027289281146,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.56,0.9101,0.00286052744467253,0,0,0.0898999999999999,0.00286052744467253,0.9101,0.00286052744467253,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.57,0.8397,0.00366902400833242,0,0,0.1603,0.00366902400833242,0.8397,0.00366902400833242,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.58,0.7627,0.0042544895190969,0,0,0.2373,0.0042544895190969,0.7627,0.0042544895190969,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.59,0.698,0.00459148213225518,0,0,0.302,0.00459148213225518,0.698,0.00459148213225518,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.6,0.6421,0.00479406479990929,0,0,0.3579,0.00479406479990929,0.6421,0.00479406479990929,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.61,0.5996,0.00490003928948622,0,0,0.4004,0.00490003928948622,0.5996,0.00490003928948622,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.62,0.5605,0.00496351071761312,0,0,0.4395,0.00496351071761312,0.5605,0.00496351071761312,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.63,0.5252,0.00499389526311759,0,0,0.4748,0.00499389526311759,0.5252,0.00499389526311759,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.64,0.4952,0.00500001960192147,0,0,0.5048,0.00500001960192147,0.4952,0.00500001960192147,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.65,0.4666,0.00498908138772165,0,0,0.5334,0.00498908138772165,0.4666,0.00498908138772165,1,10000,0.323006373766051
