"scenario","family","baseline_risk","mismatch","psi_t_true","psi_e_true","delta_raw_true","psi_e_to_t_lz_true","delta_observed_align_true","delta_latent_align_true","summation_error"
1,"logit","lower","aligned",-0.02168278333915,-0.02168278333915,0,-0.02168278333915,3.46944695195361e-18,0,3.46944695195361e-18
2,"probit","lower","aligned",-0.0340687194797627,-0.0340687194797627,0,-0.0340687194797627,0,0,0
3,"logit","common","aligned",-0.0535138369182675,-0.0535138369182675,0,-0.0535138369182675,-6.93889390390723e-18,0,6.93889390390723e-18
4,"probit","common","aligned",-0.0985909464595561,-0.0985909464595561,0,-0.098590946459556,2.77555756156289e-17,0,2.77555756156289e-17
5,"logit","lower","observed_z_shift",-0.0310217270360817,-0.0123438396422182,0.0186778873938635,-0.0310217270360817,2.08166817117217e-17,0,1.11022302462516e-16
6,"probit","lower","observed_z_shift",-0.0496148049937308,-0.0185226339657947,0.0310921710279361,-0.0496148049937308,0,0,1.11022302462516e-16
7,"logit","common","observed_z_shift",-0.0716714120583398,-0.0353562617781952,0.0363151502801446,-0.0716714120583398,1.38777878078145e-17,0,1.11022302462516e-16
8,"probit","common","observed_z_shift",-0.128569468272018,-0.0686124246470941,0.0599570436249238,-0.128569468272018,-2.77555756156289e-17,0,1.11022302462516e-16
9,"logit","lower","hidden_u_shift",-0.0286447925719777,-0.0147207741063223,0.0139240184656554,-0.0147207741063222,0.0139240184656554,0,2.22044604925031e-16
10,"probit","lower","hidden_u_shift",-0.0457931410579923,-0.0223442979015332,0.0234488431564591,-0.0223442979015332,0.0234488431564591,0,2.22044604925031e-16
11,"logit","common","hidden_u_shift",-0.0659327082030828,-0.0410949656334522,0.0248377425696306,-0.0410949656334522,0.0248377425696306,0,2.22044604925031e-16
12,"probit","common","hidden_u_shift",-0.117630095447779,-0.0795517974713331,0.0380782979764458,-0.0795517974713332,0.0380782979764458,0,2.22044604925031e-16
13,"logit","lower","measurement_mismatch",-0.02168278333915,-0.0179967101714945,0.00368607316765551,-0.0179967101714945,0.00368607316765551,0,0
14,"probit","lower","measurement_mismatch",-0.0340687194797627,-0.0282770371682031,0.00579168231155966,-0.0282770371682031,0.00579168231155967,0,0
15,"logit","common","measurement_mismatch",-0.0535138369182675,-0.044416484642162,0.00909735227610545,-0.044416484642162,0.00909735227610545,0,0
16,"probit","common","measurement_mismatch",-0.0985909464595561,-0.0818304855614315,0.0167604608981245,-0.0818304855614315,0.0167604608981246,0,0
