"scenario","horizon","target_c120","shape","alpha_l_key","persistence","rd_itt","rd_pp","attenuation","c_true","c_obs","c_obs_mcse"
1,12,0.2,"early","neutral","transient",-0.0379335,-0.0392735,0.034119699033699,0.0407165,0.0408805784167848,0.000129571060437512
1,24,0.2,"early","neutral","transient",-0.0698105,-0.0731595,0.0457766933891016,0.0739715,0.0741818617640132,0.000173542196194625
1,36,0.2,"early","neutral","transient",-0.0976395,-0.1038415,0.0597256395564394,0.101362,0.101589638904699,0.000199158684333786
1,60,0.2,"early","neutral","transient",-0.14134,-0.1544405,0.0848255477028371,0.142844,0.143042291549412,0.000230890665779039
1,84,0.2,"early","neutral","transient",-0.173803,-0.1933005,0.100866267805826,0.1716125,0.171890826681776,0.000256164630280438
1,120,0.2,"early","neutral","transient",-0.2063635,-0.235158,0.122447460856105,0.1997465,0.199976847481215,0.000271121042229498
2,12,0.45,"early","neutral","transient",-0.0368455,-0.038947,0.0539579428454057,0.105067,0.105282638737991,0.000208901558120703
2,24,0.45,"early","neutral","transient",-0.066083,-0.0733795,0.0994351283396587,0.1854585,0.185902040188885,0.000253949443403233
2,36,0.45,"early","neutral","transient",-0.0895525,-0.1036505,0.136014780440036,0.2482785,0.249129036982295,0.000285892465064354
2,60,0.45,"early","neutral","transient",-0.124185,-0.1539,0.193079922027291,0.337689,0.338740498185105,0.000310171591617773
2,84,0.45,"early","neutral","transient",-0.1468055,-0.1928285,0.23867322517159,0.3957675,0.396747369235247,0.000325304996656672
2,120,0.45,"early","neutral","transient",-0.167535,-0.2350215,0.287150324544776,0.4493895,0.450285884857936,0.000327859761286622
3,12,0.7,"early","neutral","transient",-0.034897,-0.0389375,0.10376886035313,0.200236,0.200230119713558,0.000264466099412691
3,24,0.7,"early","neutral","transient",-0.059939,-0.0735125,0.184642067675566,0.339225,0.339170235836267,0.000328314601396313
3,36,0.7,"early","neutral","transient",-0.0779975,-0.103545,0.246728475542035,0.4380365,0.437921323423884,0.000355900583915543
3,60,0.7,"early","neutral","transient",-0.1015895,-0.1540045,0.340347197646822,0.5652425,0.56490285809561,0.000342721826968619
3,84,0.7,"early","neutral","transient",-0.1143445,-0.1932545,0.408321669094381,0.638945,0.638342998442874,0.000332646713721142
3,120,0.7,"early","neutral","transient",-0.1233805,-0.2354245,0.475923279013017,0.7003995,0.699830608345207,0.000314866951329239
4,12,0.2,"late","neutral","transient",-0.039129,-0.038932,-0.00506010479810959,0.009686,0.00960052227765395,6.60506654290339e-05
4,24,0.2,"late","neutral","transient",-0.0730835,-0.073491,0.00554489665401214,0.0209255,0.0206938714354941,9.59213981759023e-05
4,36,0.2,"late","neutral","transient",-0.102737,-0.1040365,0.0124908085143195,0.0341555,0.0337686404341451,0.000124275268151377
4,60,0.2,"late","neutral","transient",-0.1505215,-0.1537885,0.0212434609870051,0.066699,0.0664468914200286,0.000163071326596729
4,84,0.2,"late","neutral","transient",-0.1853495,-0.192962,0.0394507726909963,0.110229,0.109552620495895,0.000212274896494809
4,120,0.2,"late","neutral","transient",-0.219209,-0.2346995,0.0660014188355748,0.2003795,0.199536846226439,0.00025908699053893
5,12,0.45,"late","neutral","transient",-0.038406,-0.0389705,0.0144853158158089,0.0257595,0.0258207706480135,0.000106727240842268
5,24,0.45,"late","neutral","transient",-0.071397,-0.073431,0.0276994729746292,0.05534,0.0551038214486597,0.000158707336315074
5,36,0.45,"late","neutral","transient",-0.099382,-0.1039225,0.0436912122013999,0.0887045,0.0885801013442764,0.000196060811613358
5,60,0.45,"late","neutral","transient",-0.143105,-0.154126,0.0715064298041864,0.168703,0.168542490957622,0.000251544366462154
5,84,0.45,"late","neutral","transient",-0.1724895,-0.1928565,0.105607018690062,0.2677905,0.267705211145741,0.000299207315732111
5,120,0.45,"late","neutral","transient",-0.1951215,-0.235446,0.171268571137331,0.4500755,0.449792501951458,0.000335272856006796
6,12,0.7,"late","neutral","transient",-0.0381455,-0.039116,0.0248108191021579,0.0512435,0.0510557949430278,0.000147697999376786
6,24,0.7,"late","neutral","transient",-0.069565,-0.0731595,0.0491323751529189,0.1078735,0.107917813615599,0.000202460283466348
6,36,0.7,"late","neutral","transient",-0.0955595,-0.1035475,0.0771433400130375,0.1703725,0.170408510868544,0.000250822037513751
6,60,0.7,"late","neutral","transient",-0.1333255,-0.1540625,0.13460121703854,0.310912,0.310708558837305,0.000309987250386836
6,84,0.7,"late","neutral","transient",-0.154522,-0.193148,0.199981361443039,0.4662405,0.46624042367429,0.000324727391301717
6,120,0.7,"late","neutral","transient",-0.1653745,-0.234707,0.295400222404956,0.699993,0.700271985674859,0.00031546462272686
7,12,0.2,"early","prognostic","transient",-0.037769,-0.038979,0.031042356140486,0.0488885,0.0420106026522607,0.000134690319330248
7,24,0.2,"early","prognostic","transient",-0.0693745,-0.073578,0.0571298485960479,0.0879345,0.0760609380240739,0.000178662493900055
7,36,0.2,"early","prognostic","transient",-0.0957635,-0.103667,0.0762393046967694,0.1193855,0.103496521256686,0.000208183656999107
7,60,0.2,"early","prognostic","transient",-0.1371635,-0.1535095,0.106482009256756,0.1656215,0.144808723956704,0.000234804817601549
7,84,0.2,"early","prognostic","transient",-0.167103,-0.1924205,0.131573818797893,0.1975055,0.172823009471996,0.000251504869232313
7,120,0.2,"early","prognostic","transient",-0.1984955,-0.2342135,0.152501883964844,0.2280135,0.200009048866299,0.000268195576808229
8,12,0.45,"early","prognostic","transient",-0.0355335,-0.0388655,0.0857315614105056,0.1317445,0.114062109349728,0.000204957966672276
8,24,0.45,"early","prognostic","transient",-0.062425,-0.0736035,0.151874571182077,0.2250155,0.197448533288023,0.000263485328954749
8,36,0.45,"early","prognostic","transient",-0.0833655,-0.104197,0.199924182078179,0.294064,0.260326020610518,0.000292830360017405
8,60,0.45,"early","prognostic","transient",-0.1131895,-0.1543815,0.266819534724044,0.387265,0.346570834954644,0.000323959068878196
