"scenario","target_c120","shape","alpha_l_key","alpha_l","persistence","horizon","risk_itt1","risk_itt0","risk_pp1","risk_pp0","rd_itt","rd_pp","attenuation","c_true"
1,0.2,"early","neutral",0,"transient",12,0.0283185,0.066252,0.027674,0.0669475,-0.0379335,-0.0392735,0.034119699033699,0.0407165
1,0.2,"early","neutral",0,"transient",24,0.055491,0.1253015,0.05471,0.1278695,-0.0698105,-0.0731595,0.0457766933891016,0.0739715
1,0.2,"early","neutral",0,"transient",36,0.0814115,0.179051,0.080751,0.1845925,-0.0976395,-0.1038415,0.0597256395564394,0.101362
1,0.2,"early","neutral",0,"transient",60,0.130584,0.271924,0.1299155,0.284356,-0.14134,-0.1544405,0.0848255477028371,0.142844
1,0.2,"early","neutral",0,"transient",84,0.176405,0.350208,0.1763145,0.369615,-0.173803,-0.1933005,0.100866267805826,0.1716125
1,0.2,"early","neutral",0,"transient",120,0.2399055,0.446269,0.2402055,0.4753635,-0.2063635,-0.235158,0.122447460856105,0.1997465
2,0.45,"early","neutral",0,"transient",12,0.027927,0.0647725,0.0280135,0.0669605,-0.0368455,-0.038947,0.0539579428454057,0.105067
2,0.45,"early","neutral",0,"transient",24,0.054833,0.120916,0.054795,0.1281745,-0.066083,-0.0733795,0.0994351283396587,0.1854585
2,0.45,"early","neutral",0,"transient",36,0.080882,0.1704345,0.0806535,0.184304,-0.0895525,-0.1036505,0.136014780440036,0.2482785
2,0.45,"early","neutral",0,"transient",60,0.130287,0.254472,0.130055,0.283955,-0.124185,-0.1539,0.193079922027291,0.337689
2,0.45,"early","neutral",0,"transient",84,0.176604,0.3234095,0.1762785,0.369107,-0.1468055,-0.1928285,0.23867322517159,0.3957675
2,0.45,"early","neutral",0,"transient",120,0.240121,0.407656,0.239697,0.4747185,-0.167535,-0.2350215,0.287150324544776,0.4493895
3,0.7,"early","neutral",0,"transient",12,0.0279695,0.0628665,0.0278605,0.066798,-0.034897,-0.0389375,0.10376886035313,0.200236
3,0.7,"early","neutral",0,"transient",24,0.0548845,0.1148235,0.054696,0.1282085,-0.059939,-0.0735125,0.184642067675566,0.339225
3,0.7,"early","neutral",0,"transient",36,0.0809265,0.158924,0.0808395,0.1843845,-0.0779975,-0.103545,0.246728475542035,0.4380365
3,0.7,"early","neutral",0,"transient",60,0.1303095,0.231899,0.1302995,0.284304,-0.1015895,-0.1540045,0.340347197646822,0.5652425
