"formal_scenario","pair_id","site","theta_local","v_local","theta_q","v_q","intended_theta_q"
1,1,1,-0.06,0.000277324606923071,-0.06,0.000332840092368193,-0.06
1,1,2,-0.06,0.000276689631945643,-0.06,0.000303630075494473,-0.06
1,1,3,-0.06,0.000281638863022205,-0.06,0.000289272796408974,-0.06
1,1,4,-0.06,0.000292710493138556,-0.06,0.00028803865935131,-0.06
1,1,5,-0.06,0.000310674264517776,-0.06,0.000299810978083069,-0.06
1,1,6,-0.06,0.000336564999013679,-0.06,0.000326073121504312,-0.06
1,2,1,-0.06,0.000277324606923071,-0.06,0.000332840092368193,-0.06
1,2,2,-0.06,0.000276689631945643,-0.06,0.000303630075494473,-0.06
1,2,3,-0.06,0.000281638863022205,-0.06,0.000289272796408974,-0.06
1,2,4,-0.06,0.000292710493138556,-0.06,0.00028803865935131,-0.06
1,2,5,-0.06,0.000310674264517776,-0.06,0.000299810978083069,-0.06
1,2,6,-0.06,0.000336564999013679,-0.06,0.000326073121504312,-0.06
1,3,1,-0.06,0.000277324606923071,-0.06,0.000332840092368193,-0.06
1,3,2,-0.06,0.000276689631945643,-0.06,0.000303630075494473,-0.06
1,3,3,-0.06,0.000281638863022205,-0.06,0.000289272796408974,-0.06
1,3,4,-0.06,0.000292710493138556,-0.06,0.00028803865935131,-0.06
1,3,5,-0.06,0.000310674264517776,-0.06,0.000299810978083069,-0.06
1,3,6,-0.06,0.000336564999013679,-0.06,0.000326073121504312,-0.06
2,1,1,-0.06,0.000373355874144531,-0.06,0.000684814398072189,-0.06
2,1,2,-0.06,0.000276689631945643,-0.06,0.000303630075494473,-0.06
2,1,3,-0.06,0.000281638863022205,-0.06,0.000289272796408974,-0.06
2,1,4,-0.06,0.000292710493138556,-0.06,0.00028803865935131,-0.06
2,1,5,-0.06,0.000310674264517776,-0.06,0.000299810978083069,-0.06
2,1,6,-0.06,0.000508075991664223,-0.06,0.000546200866708232,-0.06
2,2,1,-0.06,0.000277324606923071,-0.06,0.000332840092368193,-0.06
2,2,2,-0.06,0.00037949267410602,-0.06,0.000599128235539918,-0.06
2,2,3,-0.06,0.000281638863022205,-0.06,0.000289272796408974,-0.06
2,2,4,-0.06,0.000292710493138556,-0.06,0.00028803865935131,-0.06
2,2,5,-0.06,0.000456237679920098,-0.06,0.000522310743231106,-0.06
2,2,6,-0.06,0.000336564999013679,-0.06,0.000326073121504312,-0.06
2,3,1,-0.06,0.000277324606923071,-0.06,0.000332840092368193,-0.06
2,3,2,-0.06,0.000276689631945643,-0.06,0.000303630075494473,-0.06
2,3,3,-0.06,0.000394307898081154,-0.06,0.000547278858573071,-0.06
2,3,4,-0.06,0.00041922273779053,-0.06,0.000522677110324942,-0.06
2,3,5,-0.06,0.000310674264517776,-0.06,0.000299810978083069,-0.06
2,3,6,-0.06,0.000336564999013679,-0.06,0.000326073121504312,-0.06
3,1,1,-0.06,0.00027732460692307,-0.06,0.000332840092368194,-0.06
3,1,2,-0.06,0.000276689631945643,-0.06,0.000303630075494473,-0.06
3,1,3,-0.06,0.000281638863022205,-0.06,0.000289272796408974,-0.06
3,1,4,-0.06,0.000292710493138556,-0.06,0.00028803865935131,-0.06
3,1,5,-0.06,0.000310674264517776,-0.06,0.000299810978083069,-0.06
3,1,6,-0.06,0.000336564999013679,-0.06,0.000326073121504312,-0.06
3,2,1,-0.06,0.000277324606923071,-0.06,0.000332840092368193,-0.06
3,2,2,-0.06,0.000276689631945643,-0.06,0.000303630075494473,-0.06
3,2,3,-0.06,0.000281638863022205,-0.06,0.000289272796408974,-0.06
3,2,4,-0.06,0.000292710493138556,-0.06,0.00028803865935131,-0.06
3,2,5,-0.06,0.000310674264517775,-0.06,0.000299810978083069,-0.06
3,2,6,-0.06,0.000336564999013679,-0.06,0.000326073121504312,-0.06
3,3,1,-0.06,0.000277324606923071,-0.06,0.000332840092368193,-0.06
3,3,2,-0.06,0.000276689631945643,-0.06,0.000303630075494473,-0.06
3,3,3,-0.06,0.000281638863022205,-0.06,0.000289272796408974,-0.06
3,3,4,-0.06,0.000292710493138556,-0.06,0.00028803865935131,-0.06
3,3,5,-0.06,0.000310674264517776,-0.06,0.000299810978083069,-0.06
3,3,6,-0.06,0.000336564999013679,-0.06,0.000326073121504312,-0.06
4,1,1,-0.06,0.000228935685574311,-0.06,0.000277103650559778,-0.06
4,1,2,-0.06,0.000276689631945643,-0.06,0.000303630075494473,-0.06
4,1,3,-0.06,0.000281638863022205,-0.06,0.000289272796408974,-0.06
4,1,4,-0.06,0.000292710493138556,-0.06,0.00028803865935131,-0.06
4,1,5,-0.06,0.000310674264517776,-0.06,0.000299810978083069,-0.06
4,1,6,-0.06,0.000297272275586696,-0.06,0.000285271548753982,-0.06
4,2,1,-0.06,0.000277324606923071,-0.06,0.000332840092368193,-0.06
4,2,2,-0.06,0.000231278591547784,-0.06,0.000255202272436601,-0.06
4,2,3,-0.06,0.000281638863022205,-0.06,0.000289272796408974,-0.06
4,2,4,-0.06,0.000292710493138556,-0.06,0.00028803865935131,-0.06
4,2,5,-0.06,0.00027058236015303,-0.06,0.000259638519215715,-0.06
4,2,6,-0.06,0.000336564999013679,-0.06,0.000326073121504312,-0.06
4,3,1,-0.06,0.000277324606923071,-0.06,0.000332840092368193,-0.06
4,3,2,-0.06,0.000276689631945643,-0.06,0.000303630075494473,-0.06
4,3,3,-0.06,0.000238554598598618,-0.06,0.000245525133638401,-0.06
4,3,4,-0.06,0.000251376308122237,-0.06,0.000246931415002837,-0.06
4,3,5,-0.06,0.000310674264517776,-0.06,0.000299810978083069,-0.06
4,3,6,-0.06,0.000336564999013679,-0.06,0.000326073121504312,-0.06
5,1,1,-0.06,0.000362376896815091,-0.06,0.000418488745416169,-0.06
5,1,2,-0.06,0.000276689631945643,-0.06,0.000303630075494473,-0.06
