"scenario","topology","strength","retention","n_valid","abs_bias","abs_bias_lo","abs_bias_hi"
1,"noncollider",0.1,0.3,2000,0.000616306024509135,3.37263967706664e-05,0.00155664599155737
2,"concordant-collider",0.1,0.3,2000,0.000833407759602722,5.68512963689099e-05,0.0017691630564378
3,"discordant-collider",0.1,0.3,2000,0.000836140352330459,7.21542525318562e-05,0.00169107032483138
4,"noncollider",0.45,0.3,2000,0.00141581705984774,0.00036494498304138,0.00243668484381923
5,"concordant-collider",0.45,0.3,2000,0.0122655250614187,0.0112199747132807,0.0133483314021632
6,"discordant-collider",0.45,0.3,2000,0.00805105927428471,0.00727201986353214,0.00884746144097573
7,"noncollider",1.1,0.3,2000,3.59820614862366e-05,1.54077478194936e-05,0.00126595207290719
8,"concordant-collider",1.1,0.3,2000,0.035808264196509,0.0346143653267858,0.0370175298289353
9,"discordant-collider",1.1,0.3,2000,0.017280347038651,0.0165824732709119,0.0179981114753081
10,"noncollider",0.1,0.7,2000,0.000460039681624454,3.62493058431515e-05,0.00103954189107112
11,"concordant-collider",0.1,0.7,2000,0.00106782184227092,0.000449533263143779,0.00165512665249523
12,"discordant-collider",0.1,0.7,2000,0.000559895970239893,6.00849098631184e-05,0.00111836749000944
13,"noncollider",0.45,0.7,2000,0.000350432175550759,1.81253408836794e-05,0.000967065649393427
14,"concordant-collider",0.45,0.7,2000,0.00647717256164834,0.00583330158811477,0.00714448326818886
15,"discordant-collider",0.45,0.7,2000,0.00593798217644462,0.00539504151487273,0.00644869483128406
16,"noncollider",1.1,0.7,2000,0.00062707239858209,4.8439135057118e-05,0.00129130015114239
17,"concordant-collider",1.1,0.7,2000,0.0179981644495436,0.0173443319180607,0.0186670340187386
18,"discordant-collider",1.1,0.7,2000,0.015244160517508,0.0147153911200207,0.0157395899773454
