"scenario","topology","strength","retention","view","method","bias_minimal","bias","absolute_bias_reduction"
1,"noncollider",0.1,0.3,"full","role_based",0.000616306024509135,0.000148197479551207,0.000468108544957928
1,"noncollider",0.1,0.3,"full","all_measured",0.000616306024509135,0.000257593392308325,0.00035871263220081
1,"noncollider",0.1,0.3,"full","oracle",0.000616306024509135,0.000167743257604332,0.000448562766904803
1,"noncollider",0.1,0.3,"full","policy",0.000616306024509135,0.000616306024509135,0
1,"noncollider",0.1,0.3,"full","pooled_all",0.000616306024509135,3.23460335190651e-05,0.00058395999099007
1,"noncollider",0.1,0.3,"reduced","role_based",0.000616306024509135,NA,NA
1,"noncollider",0.1,0.3,"reduced","all_measured",0.000616306024509135,0.000559236744203342,5.70692803057923e-05
1,"noncollider",0.1,0.3,"reduced","oracle",0.000616306024509135,0.000167743257604332,0.000448562766904803
1,"noncollider",0.1,0.3,"reduced","policy",0.000616306024509135,0.000616306024509135,0
1,"noncollider",0.1,0.3,"reduced","pooled_all",0.000616306024509135,0.000206930075680047,0.000409375948829088
10,"noncollider",0.1,0.7,"full","role_based",-0.000460039681624454,-0.000251560204171927,0.000208479477452526
10,"noncollider",0.1,0.7,"full","all_measured",-0.000460039681624454,-0.000244003159512542,0.000216036522111912
10,"noncollider",0.1,0.7,"full","oracle",-0.000460039681624454,-0.000249369243405628,0.000210670438218825
10,"noncollider",0.1,0.7,"full","policy",-0.000460039681624454,-0.000461414530539106,-1.37484891465228e-06
10,"noncollider",0.1,0.7,"full","pooled_all",-0.000460039681624454,-0.000468747734245073,-8.7080526206193e-06
10,"noncollider",0.1,0.7,"reduced","role_based",-0.000460039681624454,NA,NA
10,"noncollider",0.1,0.7,"reduced","all_measured",-0.000460039681624454,-0.000475110354829084,-1.50706732046299e-05
10,"noncollider",0.1,0.7,"reduced","oracle",-0.000460039681624454,-0.000249369243405628,0.000210670438218825
10,"noncollider",0.1,0.7,"reduced","policy",-0.000460039681624454,-0.000460039681624454,0
10,"noncollider",0.1,0.7,"reduced","pooled_all",-0.000460039681624454,-0.000533137832359164,-7.309815073471e-05
11,"concordant-collider",0.1,0.7,"full","role_based",-0.00106782184227092,-0.000550955819761702,0.000516866022509214
11,"concordant-collider",0.1,0.7,"full","all_measured",-0.00106782184227092,-0.000583382165791506,0.00048443967647941
11,"concordant-collider",0.1,0.7,"full","oracle",-0.00106782184227092,-0.000557576212293201,0.000510245629977715
11,"concordant-collider",0.1,0.7,"full","policy",-0.00106782184227092,-0.000859436842039561,0.000208385000231355
11,"concordant-collider",0.1,0.7,"full","pooled_all",-0.00106782184227092,-0.000128087327766424,0.000939734514504492
11,"concordant-collider",0.1,0.7,"reduced","role_based",-0.00106782184227092,NA,NA
11,"concordant-collider",0.1,0.7,"reduced","all_measured",-0.00106782184227092,-0.00108229459514726,-1.44727528763461e-05
11,"concordant-collider",0.1,0.7,"reduced","oracle",-0.00106782184227092,-0.000557576212293201,0.000510245629977715
11,"concordant-collider",0.1,0.7,"reduced","policy",-0.00106782184227092,-0.00106782184227092,0
11,"concordant-collider",0.1,0.7,"reduced","pooled_all",-0.00106782184227092,-0.000625867777915401,0.000441954064355515
12,"discordant-collider",0.1,0.7,"full","role_based",0.000559895970239893,9.58317089799487e-05,0.000464064261259944
12,"discordant-collider",0.1,0.7,"full","all_measured",0.000559895970239893,0.000115859866239958,0.000444036103999935
12,"discordant-collider",0.1,0.7,"full","oracle",0.000559895970239893,0.000125924485003065,0.000433971485236828
12,"discordant-collider",0.1,0.7,"full","policy",0.000559895970239893,0.000214849160452342,0.000345046809787551
12,"discordant-collider",0.1,0.7,"full","pooled_all",0.000559895970239893,-0.000167428753678714,0.000392467216561179
12,"discordant-collider",0.1,0.7,"reduced","role_based",0.000559895970239893,NA,NA
12,"discordant-collider",0.1,0.7,"reduced","all_measured",0.000559895970239893,0.000527943370732024,3.19525995078687e-05
12,"discordant-collider",0.1,0.7,"reduced","oracle",0.000559895970239893,0.000125924485003065,0.000433971485236828
12,"discordant-collider",0.1,0.7,"reduced","policy",0.000559895970239893,0.000559895970239893,0
12,"discordant-collider",0.1,0.7,"reduced","pooled_all",0.000559895970239893,0.000204795371157453,0.00035510059908244
13,"noncollider",0.45,0.7,"full","role_based",-0.000350432175550759,-0.000391316038996108,-4.08838634453484e-05
13,"noncollider",0.45,0.7,"full","all_measured",-0.000350432175550759,-0.000329050683978531,2.13814915722282e-05
13,"noncollider",0.45,0.7,"full","oracle",-0.000350432175550759,-0.000376938558805634,-2.65063832548748e-05
13,"noncollider",0.45,0.7,"full","policy",-0.000350432175550759,-0.000352563883758095,-2.13170820733549e-06
13,"noncollider",0.45,0.7,"full","pooled_all",-0.000350432175550759,-8.2381442164034e-06,0.000342194031334356
13,"noncollider",0.45,0.7,"reduced","role_based",-0.000350432175550759,NA,NA
13,"noncollider",0.45,0.7,"reduced","all_measured",-0.000350432175550759,-0.000346387332549776,4.04484300098318e-06
13,"noncollider",0.45,0.7,"reduced","oracle",-0.000350432175550759,-0.000376938558805634,-2.65063832548748e-05
13,"noncollider",0.45,0.7,"reduced","policy",-0.000350432175550759,-0.000350432175550759,0
13,"noncollider",0.45,0.7,"reduced","pooled_all",-0.000350432175550759,-7.79622856855941e-05,0.000272469889865165
14,"concordant-collider",0.45,0.7,"full","role_based",-0.00647717256164834,0.000203109851448349,0.00627406271019999
14,"concordant-collider",0.45,0.7,"full","all_measured",-0.00647717256164834,0.000215455529274836,0.00626171703237351
14,"concordant-collider",0.45,0.7,"full","oracle",-0.00647717256164834,0.000206529081736864,0.00627064347991148
14,"concordant-collider",0.45,0.7,"full","policy",-0.00647717256164834,0.000215455529274836,0.00626171703237351
14,"concordant-collider",0.45,0.7,"full","pooled_all",-0.00647717256164834,7.85195056038912e-05,0.00639865305604445
14,"concordant-collider",0.45,0.7,"reduced","role_based",-0.00647717256164834,NA,NA
14,"concordant-collider",0.45,0.7,"reduced","all_measured",-0.00647717256164834,-0.00648707565918174,-9.90309753339663e-06
14,"concordant-collider",0.45,0.7,"reduced","oracle",-0.00647717256164834,0.000206529081736864,0.00627064347991148
14,"concordant-collider",0.45,0.7,"reduced","policy",-0.00647717256164834,-0.00647717256164834,0
14,"concordant-collider",0.45,0.7,"reduced","pooled_all",-0.00647717256164834,-0.00653645622770995,-5.92836660616089e-05
15,"discordant-collider",0.45,0.7,"full","role_based",0.00593798217644462,-1.50156882945014e-05,0.00592296648815012
15,"discordant-collider",0.45,0.7,"full","all_measured",0.00593798217644462,-3.7562913070343e-05,0.00590041926337428
15,"discordant-collider",0.45,0.7,"full","oracle",0.00593798217644462,-3.7095550654509e-05,0.00590088662579012
15,"discordant-collider",0.45,0.7,"full","policy",0.00593798217644462,-3.7562913070343e-05,0.00590041926337428
15,"discordant-collider",0.45,0.7,"full","pooled_all",0.00593798217644462,-9.73949092726578e-06,0.00592824268551736
15,"discordant-collider",0.45,0.7,"reduced","role_based",0.00593798217644462,NA,NA
15,"discordant-collider",0.45,0.7,"reduced","all_measured",0.00593798217644462,0.00594068250037491,-2.70032393028669e-06
15,"discordant-collider",0.45,0.7,"reduced","oracle",0.00593798217644462,-3.7095550654509e-05,0.00590088662579012
15,"discordant-collider",0.45,0.7,"reduced","policy",0.00593798217644462,0.00593798217644462,0
