"scenario","view","restricted_method","n_paired","mean_estimated_movement","movement_mcse","delta_target","restricted_bias","broad_bias","decomposition_rhs","identity_error"
1,"full","minimal",2000,-0.00202321462074406,0.000385976710679954,-0.00274001413664764,0.000616306024509135,-0.000100493491394439,-0.00202321462074406,1.30104260698261e-18
2,"full","minimal",2000,-0.0037173996435869,0.000388876400084372,-0.00272790322402833,-0.000833407759602722,0.000156088659955839,-0.0037173996435869,-2.16840434497101e-18
3,"full","minimal",2000,0.002250232259098,0.000380415458735937,0.00182084775198168,0.000836140352330456,0.000406755845214136,0.002250232259098,0
4,"full","minimal",2000,-0.0114934932767098,0.000408946612828348,-0.0103088651293287,-0.00141581705984774,-0.000231188912466589,-0.0114934932767098,5.20417042793042e-18
5,"full","minimal",2000,-0.0217115919164649,0.000435662915271746,-0.00954647956044537,-0.0122655250614187,-0.000100412705399185,-0.0217115919164649,-3.46944695195361e-18
6,"full","minimal",2000,0.016516241200617,0.000358129866776142,0.00821732133236905,0.00805105927428471,-0.000247860593963208,0.016516241200617,0
7,"full","minimal",2000,-0.0192403426360132,0.00043782801799711,-0.0193991237983684,-3.59820614862366e-05,-0.000194763223841474,-0.0192403426360132,3.46944695195361e-18
8,"full","minimal",2000,-0.0511363469505069,0.000499064055023701,-0.0152924178594539,-0.035808264196509,3.56648945439367e-05,-0.0511363469505069,6.93889390390723e-18
9,"full","minimal",2000,0.0302739092505521,0.000339417594388915,0.0134049483222748,0.017280347038651,0.000411386110373772,0.0302739092505521,-3.46944695195361e-18
10,"full","minimal",2000,-0.00152191742353519,0.000149587180304143,-0.00129676670330527,-0.000460039681624461,-0.000234888961394529,-0.0015219174235352,3.03576608295941e-18
11,"full","minimal",2000,-0.00188704541620526,0.000149231649650804,-0.00129041678782159,-0.00106782184227091,-0.000471193213887243,-0.00188704541620525,-3.68628738645072e-18
12,"full","minimal",2000,0.00131666159549952,0.000161409890410626,0.00077426444009425,0.000559895970239893,1.74988148346211e-05,0.00131666159549952,-6.50521303491303e-19
13,"full","minimal",2000,-0.00463742777372889,0.000146323305513195,-0.00449820571466338,-0.000350432175550759,-0.000211210116485241,-0.00463742777372889,-8.67361737988404e-19
14,"full","minimal",2000,-0.010772980743649,0.000150200245698128,-0.00416282976317864,-0.00647717256164834,0.000132978418821983,-0.010772980743649,-1.73472347597681e-18
15,"full","minimal",2000,0.00996318674295015,0.000173235287324281,0.00381736071349604,0.00593798217644462,-0.000207843853009496,0.00996318674295016,-3.46944695195361e-18
16,"full","minimal",2000,-0.00759468120401312,0.000135471704012663,-0.00782437574771026,0.000627072398582097,0.000397377854884959,-0.00759468120401312,-4.33680868994202e-18
17,"full","minimal",2000,-0.0238514114269032,0.000154452363779749,-0.00629112690204368,-0.0179981644495436,-0.000437879924684137,-0.0238514114269032,-1.04083408558608e-17
18,"full","minimal",2000,0.0218503637561896,0.000190123806810266,0.00635542701460849,0.015244160517508,-0.000250776224073122,0.0218503637561896,0
1,"full","role_based",2000,-0.00249132316570198,0.000452576979252028,-0.00274001413664764,0.000148197479551214,-0.000100493491394439,-0.00249132316570198,2.60208521396521e-18
2,"full","role_based",2000,-0.00356499150377149,0.000470855485209178,-0.00272790322402833,-0.000680999619787313,0.000156088659955839,-0.00356499150377149,-4.33680868994202e-18
3,"full","role_based",2000,0.00110151354363003,0.000439651994629791,0.00182084775198168,-0.000312578363137507,0.000406755845214136,0.00110151354363004,-3.46944695195361e-18
4,"full","role_based",2000,-0.0114111743512004,0.000490418705271885,-0.0103088651293287,-0.00133349813433832,-0.000231188912466589,-0.0114111743512004,1.73472347597681e-18
5,"full","role_based",2000,-0.00893109659828099,0.000510607893892679,-0.00954647956044537,0.000514970256765196,-0.000100412705399185,-0.00893109659828099,-3.46944695195361e-18
6,"full","role_based",2000,0.00822463760628812,0.000422243470505015,0.00821732133236905,-0.000240544320044143,-0.000247860593963208,0.00822463760628811,3.46944695195361e-18
7,"full","role_based",2000,-0.0189066006261633,0.000539358137907171,-0.0193991237983684,0.000297759948363646,-0.000194763223841474,-0.0189066006261633,3.46944695195361e-18
8,"full","role_based",2000,-0.0151272714975228,0.000558881600436819,-0.0152924178594539,0.000200811256475072,3.56648945439367e-05,-0.0151272714975228,3.46944695195361e-18
9,"full","role_based",2000,0.0133236562462472,0.000411524373289477,0.0134049483222748,0.000330094034346116,0.000411386110373772,0.0133236562462472,-1.73472347597681e-18
10,"full","role_based",2000,-0.00131343794608266,0.000231819481491032,-0.00129676670330527,-0.000251560204171927,-0.000234888961394529,-0.00131343794608266,2.81892564846231e-18
11,"full","role_based",2000,-0.00137017939369605,0.00023371956090166,-0.00129041678782159,-0.000550955819761709,-0.000471193213887243,-0.00137017939369605,2.16840434497101e-19
12,"full","role_based",2000,0.000852597334239576,0.00023698388569663,0.00077426444009425,9.58317089799487e-05,1.74988148346211e-05,0.000852597334239577,-1.0842021724855e-18
13,"full","role_based",2000,-0.00467831163717425,0.00024258384366935,-0.00449820571466338,-0.000391316038996115,-0.000211210116485241,-0.00467831163717425,-8.67361737988404e-19
14,"full","role_based",2000,-0.00409269833055227,0.00023650596616277,-0.00416282976317864,0.000203109851448349,0.000132978418821983,-0.00409269833055227,1.73472347597681e-18
15,"full","role_based",2000,0.00401018887821102,0.000240935046087349,0.00381736071349604,-1.50156882945014e-05,-0.000207843853009496,0.00401018887821103,-5.20417042793042e-18
16,"full","role_based",2000,-0.00752861725178042,0.000242411281417183,-0.00782437574771026,0.000693136350814798,0.000397377854884959,-0.00752861725178042,8.67361737988404e-19
17,"full","role_based",2000,-0.00604706491740336,0.000229492086376957,-0.00629112690204368,-0.000193817940043813,-0.000437879924684137,-0.00604706491740336,-8.67361737988404e-19
18,"full","role_based",2000,0.00664539266154771,0.000251421583639454,0.00635542701460849,3.91894228660983e-05,-0.000250776224073122,0.00664539266154771,-1.73472347597681e-18
