"scenario","view","comparator","n_paired","mse_policy_minus_comparator","mse_difference_mcse","coverage_policy_minus_comparator","coverage_difference_mcse"
1,"full","minimal",2000,0,0,0,0
2,"full","minimal",2000,8.42297276544381e-05,1.32206193996305e-05,-0.01,0.00468625442013619
3,"full","minimal",2000,5.5978914327739e-05,1.16947339325619e-05,-0.0055,0.00471656633569366
4,"full","minimal",2000,0,0,0,0
5,"full","minimal",2000,-4.20372487205563e-05,2.4306512605744e-05,0.013,0.00659069181568251
6,"full","minimal",2000,3.75136438861755e-05,3.01683170731424e-05,0.019,0.00635135181161592
7,"full","minimal",2000,0,0,0,0
8,"full","minimal",2000,-0.00117623535129855,5.1885566950533e-05,0.211,0.0110589624434284
9,"full","minimal",2000,-0.000188768490932308,1.49902758707958e-05,0.1515,0.00901745708424135
10,"full","minimal",2000,-1.16300477183689e-08,1.16300477183688e-08,0,0
11,"full","minimal",2000,2.69016348367429e-05,5.15845734538463e-06,-0.002,0.00495078328424545
12,"full","minimal",2000,1.7217708986614e-05,4.82606852288913e-06,0.0105,0.00486895557221288
13,"full","minimal",2000,8.43395512785802e-09,8.43395512785823e-09,0,0
14,"full","minimal",2000,-1.54662863771085e-05,7.62847589814382e-06,0.019,0.0065069709032058
15,"full","minimal",2000,2.44742334437761e-06,5.49496803044623e-06,0.0115,0.0056302508702925
16,"full","minimal",2000,0,0,0,0
17,"full","minimal",2000,-0.000305401821153497,1.3025598275394e-05,0.1775,0.0100770853337864
18,"full","minimal",2000,-0.000201065284886097,9.17909115922685e-06,0.215,0.0104375270531621
1,"full","role_based",2000,-7.65523629855114e-05,1.45645103937814e-05,0.003,0.00505056968341832
2,"full","role_based",2000,-1.23177878571776e-05,7.91784754308823e-06,-0.003,0.0034643182230238
3,"full","role_based",2000,-5.64255282043127e-06,7.26999774874683e-06,0.001,0.00353634739193395
4,"full","role_based",2000,-0.000100334458934531,1.66386818795438e-05,0.0035,0.00531582580621301
5,"full","role_based",2000,1.96188425962621e-05,5.51087130421205e-06,-0.0015,0.00259850940455543
6,"full","role_based",2000,3.11320694161533e-05,2.22317266933252e-05,-0.0095,0.00286513167057724
7,"full","role_based",2000,-0.000154100913961033,2.11360205331427e-05,0.0045,0.00576684517319715
8,"full","role_based",2000,4.36024965604893e-05,1.19285849489766e-05,-0.0035,0.0028719329726684
9,"full","role_based",2000,7.21629778039225e-06,3.94353822862125e-06,0.002,0.00282878083288551
10,"full","role_based",2000,-2.32372837279957e-05,5.27329219978548e-06,0.002,0.00529263696119449
11,"full","role_based",2000,-1.89716607514653e-06,2.6835231354092e-06,5e-04,0.00269323258388042
12,"full","role_based",2000,-6.99037510791646e-06,2.42068050448043e-06,-5e-04,0.00287297789775701
13,"full","role_based",2000,-3.57639921740942e-05,6.07309635002376e-06,0.0095,0.00563211641993342
14,"full","role_based",2000,2.25498978143699e-06,1.11707323327452e-06,-0.0035,0.00259754665488655
15,"full","role_based",2000,2.65000006759395e-06,1.02083232721265e-06,-0.004,0.00223483718615565
16,"full","role_based",2000,-4.55502011452827e-05,6.81987823170533e-06,-0.0025,0.00545543361044182
17,"full","role_based",2000,2.78193773410861e-06,1.13456983051238e-06,0.001,0.00187116290720841
18,"full","role_based",2000,9.6540632446671e-07,9.53209268289047e-07,-0.004,0.00211996394392966
1,"full","all_measured",2000,-9.29365500015671e-05,1.55929384505406e-05,0.006,0.00543109090093199
2,"full","all_measured",2000,-2.4063607069714e-05,7.55383084564703e-06,5e-04,0.00269323258388042
3,"full","all_measured",2000,-9.93649602756535e-06,6.51155868639881e-06,0.0025,0.00239786360640829
4,"full","all_measured",2000,-0.00011889317862244,1.74901390410474e-05,0.0095,0.00558752943997802
5,"full","all_measured",2000,0,0,0,0
6,"full","all_measured",2000,0,0,0,0
7,"full","all_measured",2000,-0.000169740530752313,2.10265823663249e-05,0.009,0.00603968036152852
8,"full","all_measured",2000,0,0,0,0
9,"full","all_measured",2000,0,0,0,0
10,"full","all_measured",2000,-2.43793742925419e-05,5.35038455344188e-06,0.0025,0.00536295213737856
11,"full","all_measured",2000,-5.29043672306657e-06,2.55718972912061e-06,0.001,0.00234568777239488
12,"full","all_measured",2000,-7.24425400487034e-06,2.27061565330477e-06,0.0025,0.00229117868135044
13,"full","all_measured",2000,-3.71112206098e-05,6.0995401742081e-06,0.009,0.0055203928636179
14,"full","all_measured",2000,0,0,0,0
15,"full","all_measured",2000,0,0,0,0
16,"full","all_measured",2000,-4.74054831516041e-05,6.83013951374762e-06,0.001,0.00561384517321359
17,"full","all_measured",2000,0,0,0,0
18,"full","all_measured",2000,0,0,0,0
1,"full","oracle",2000,-8.09209685307233e-05,1.51074916984087e-05,0.003,0.00533945267583107
2,"full","oracle",2000,-1.45536833521111e-05,7.83227990080705e-06,-0.0025,0.00342822860610074
3,"full","oracle",2000,-8.02537125129314e-06,7.14003125300312e-06,0.002,0.00360617557131169
4,"full","oracle",2000,-0.000102571474295293,1.65502778725454e-05,0.004,0.00538576858504211
5,"full","oracle",2000,1.88420222246831e-05,5.39984091290798e-06,-5e-04,0.00229183360011699
6,"full","oracle",2000,3.18978323025739e-05,2.16617578420912e-05,-0.0085,0.00277808096839045
7,"full","oracle",2000,-0.000152051314546367,2.0649745703408e-05,0.0035,0.00576719214632437
8,"full","oracle",2000,4.10206955725437e-05,1.08307870097278e-05,-0.0045,0.00295706731806386
9,"full","oracle",2000,4.90772648572202e-06,4.06942071615122e-06,0,0.00291620508984931
10,"full","oracle",2000,-2.30414261925858e-05,5.28013602857891e-06,0.0015,0.00536313869187747
11,"full","oracle",2000,-2.81136439337331e-06,2.65708452603256e-06,0,0.00264641299703494
12,"full","oracle",2000,-6.76269794892006e-06,2.3974588209163e-06,5e-04,0.00278455595669
13,"full","oracle",2000,-3.61755327803965e-05,6.06629488622859e-06,0.0075,0.00554411793000572
14,"full","oracle",2000,1.91222571007982e-06,1.06924497350733e-06,-0.004,0.00264490032872209
15,"full","oracle",2000,2.82002505091348e-06,9.36753935149025e-07,-0.003,0.00223562049541053
16,"full","oracle",2000,-4.52097593833919e-05,6.77899228971398e-06,5e-04,0.00554664381665292
17,"full","oracle",2000,2.34256297267937e-06,1.05104682675912e-06,-0.0015,0.00193668540945282
18,"full","oracle",2000,1.19525733002538e-06,9.1176954410341e-07,-0.0025,0.00180235935640618
1,"full","pooled_all",2000,0.00020848723065245,1.47699009782941e-05,-0.005,0.00616494146376299
2,"full","pooled_all",2000,0.000251432085146843,1.57459065411222e-05,-0.001,0.00624651979143199
3,"full","pooled_all",2000,0.000218421424604936,1.35466624543577e-05,0.008,0.00591485356930942
4,"full","pooled_all",2000,0.000201939710976894,1.70477259003567e-05,0.0055,0.00626534135152471
5,"full","pooled_all",2000,0.00035079340717685,2.09834968922061e-05,-0.004,0.00600083369228819
6,"full","pooled_all",2000,0.000227844910214304,2.81881379971722e-05,-0.0025,0.00606343612391642
7,"full","pooled_all",2000,0.000245601076604245,1.99975496216064e-05,-0.003,0.00648201421273732
8,"full","pooled_all",2000,0.000428125099316941,2.87418597839134e-05,0.0035,0.00661556935410238
9,"full","pooled_all",2000,0.000178702617972732,1.01285975246104e-05,-0.003,0.00608391378994666
10,"full","pooled_all",2000,7.98485618678252e-05,5.90804042173093e-06,0.004,0.00624591912794878
11,"full","pooled_all",2000,0.000107108725882691,6.38564260868584e-06,0,0.00612525586238566
12,"full","pooled_all",2000,8.81790122046255e-05,5.5836358280743e-06,0.012,0.00591146959193479
13,"full","pooled_all",2000,8.5542455601499e-05,6.14532621076098e-06,0.003,0.00616559058433399
