"scenario","topology","strength","retention","view","n_paired","minimal_abs_bias","policy_abs_bias","benefit","benefit_lo","benefit_hi","harm","harm_lo","harm_hi"
1,"noncollider",0.1,0.3,"full",2000,0.000616306024509135,0.000616306024509135,0,0,0,0,0,0
2,"concordant-collider",0.1,0.3,"full",2000,0.000833407759602722,0.000651052809508633,0.000182354950094089,-0.000424192066333006,0.00073596489601674,-0.000182354950094089,-0.00073596489601674,0.000424192066333006
3,"discordant-collider",0.1,0.3,"full",2000,0.000836140352330456,0.000176663239379871,0.000659477112950585,-0.000925053169666421,0.00130048144177637,-0.000659477112950585,-0.00130048144177637,0.000925053169666421
4,"noncollider",0.45,0.3,"full",2000,0.00141581705984774,0.00141581705984774,0,0,0,0,0,0
5,"concordant-collider",0.45,0.3,"full",2000,0.0122655250614187,0.000516745793589977,0.0117487792678288,0.0095871744904625,0.0130317672742713,-0.0117487792678288,-0.0130317672742713,-0.0095871744904625
6,"discordant-collider",0.45,0.3,"full",2000,0.00805105927428471,0.000308382434096716,0.007742676840188,0.00618362423374748,0.00853969143155276,-0.007742676840188,-0.00853969143155276,-0.00618362423374748
7,"noncollider",1.1,0.3,"full",2000,3.59820614862366e-05,3.59820614862366e-05,0,0,0,0,0,0
8,"concordant-collider",1.1,0.3,"full",2000,0.035808264196509,5.28933642834212e-05,0.0357553708322256,0.0334366637165835,0.0363416896949134,-0.0357553708322256,-0.0363416896949134,-0.0334366637165835
9,"discordant-collider",1.1,0.3,"full",2000,0.017280347038651,0.000353294416754947,0.016927052621896,0.016173341068816,0.0173348342385363,-0.016927052621896,-0.0173348342385363,-0.016173341068816
10,"noncollider",0.1,0.7,"full",2000,0.000460039681624461,0.000461414530539106,-1.37484891464534e-06,-4.12454674394297e-06,1.37484891465228e-06,1.37484891464534e-06,-1.37484891465228e-06,4.12454674394297e-06
11,"concordant-collider",0.1,0.7,"full",2000,0.00106782184227091,0.000859436842039561,0.000208385000231348,-0.000133967218501175,0.000547571757704276,-0.000208385000231348,-0.000547571757704276,0.000133967218501175
12,"discordant-collider",0.1,0.7,"full",2000,0.000559895970239893,0.000214849160452342,0.000345046809787551,-0.000271291319594895,0.000635857005763495,-0.000345046809787551,-0.000635857005763495,0.000271291319594895
13,"noncollider",0.45,0.7,"full",2000,0.000350432175550759,0.000352563883758095,-2.13170820733549e-06,-6.39512462200648e-06,4.26341641467098e-06,2.13170820733549e-06,-4.26341641467098e-06,6.39512462200648e-06
14,"concordant-collider",0.45,0.7,"full",2000,0.00647717256164834,0.000215455529274836,0.00626171703237351,0.00505011309371661,0.00689399876978793,-0.00626171703237351,-0.00689399876978793,-0.00505011309371661
15,"discordant-collider",0.45,0.7,"full",2000,0.00593798217644462,3.7562913070343e-05,0.00590041926337428,0.00484721801357421,0.006185705098947,-0.00590041926337428,-0.006185705098947,-0.00484721801357421
16,"noncollider",1.1,0.7,"full",2000,0.000627072398582097,0.000627072398582097,0,0,0,0,0,0
17,"concordant-collider",1.1,0.7,"full",2000,0.0179981644495436,0.000253033799673855,0.0177451306498698,0.0169346939120136,0.0181240819726403,-0.0177451306498698,-0.0181240819726403,-0.0169346939120136
18,"discordant-collider",1.1,0.7,"full",2000,0.015244160517508,8.78324255207744e-06,0.0152353772749559,0.0141826165201517,0.0154584897981758,-0.0152353772749559,-0.0154584897981758,-0.0141826165201517
1,"noncollider",0.1,0.3,"reduced",2000,0.000616306024509135,0.000616306024509135,0,0,0,0,0,0
2,"concordant-collider",0.1,0.3,"reduced",2000,0.000833407759602722,0.000833407759602722,0,0,0,0,0,0
3,"discordant-collider",0.1,0.3,"reduced",2000,0.000836140352330456,0.000836140352330456,0,0,0,0,0,0
4,"noncollider",0.45,0.3,"reduced",2000,0.00141581705984774,0.00141581705984774,0,0,0,0,0,0
5,"concordant-collider",0.45,0.3,"reduced",2000,0.0122655250614187,0.0122655250614187,0,0,0,0,0,0
6,"discordant-collider",0.45,0.3,"reduced",2000,0.00805105927428471,0.00805105927428471,0,0,0,0,0,0
7,"noncollider",1.1,0.3,"reduced",2000,3.59820614862366e-05,3.59820614862366e-05,0,0,0,0,0,0
8,"concordant-collider",1.1,0.3,"reduced",2000,0.035808264196509,0.035808264196509,0,0,0,0,0,0
9,"discordant-collider",1.1,0.3,"reduced",2000,0.017280347038651,0.017280347038651,0,0,0,0,0,0
10,"noncollider",0.1,0.7,"reduced",2000,0.000460039681624461,0.000460039681624461,0,0,0,0,0,0
11,"concordant-collider",0.1,0.7,"reduced",2000,0.00106782184227091,0.00106782184227091,0,0,0,0,0,0
12,"discordant-collider",0.1,0.7,"reduced",2000,0.000559895970239893,0.000559895970239893,0,0,0,0,0,0
13,"noncollider",0.45,0.7,"reduced",2000,0.000350432175550759,0.000350432175550759,0,0,0,0,0,0
14,"concordant-collider",0.45,0.7,"reduced",2000,0.00647717256164834,0.00647717256164834,0,0,0,0,0,0
15,"discordant-collider",0.45,0.7,"reduced",2000,0.00593798217644462,0.00593798217644462,0,0,0,0,0,0
16,"noncollider",1.1,0.7,"reduced",2000,0.000627072398582097,0.000627072398582097,0,0,0,0,0,0
17,"concordant-collider",1.1,0.7,"reduced",2000,0.0179981644495436,0.0179981644495436,0,0,0,0,0,0
18,"discordant-collider",1.1,0.7,"reduced",2000,0.015244160517508,0.015244160517508,0,0,0,0,0,0
