"scenario","topology","strength","retention","view","n","warning","warning_lo","warning_hi","false_positive","false_positive_lo","false_positive_hi","unresolved","unresolved_lo","unresolved_hi","silent_error","silent_error_lo","silent_error_hi"
1,"noncollider",0.1,0.3,"full",2000,0,0,0.00191704728125293,0,0,0.00191704728125293,0,0,0.00191704728125293,0,0,0.00191704728125293
2,"concordant-collider",0.1,0.3,"full",2000,0.7775,0.758749342108808,0.795186696650096,NA,NA,NA,0,0,0.00191704728125293,0.2225,0.204813303349903,0.241250657891192
3,"discordant-collider",0.1,0.3,"full",2000,0.7545,0.735161853541222,0.77286236939262,NA,NA,NA,0,0,0.00191704728125293,0.2455,0.22713763060738,0.264838146458778
4,"noncollider",0.45,0.3,"full",2000,0,0,0.00191704728125293,0,0,0.00191704728125293,0,0,0.00191704728125293,0,0,0.00191704728125293
5,"concordant-collider",0.45,0.3,"full",2000,1,0.998082952718747,1,NA,NA,NA,0,0,0.00191704728125293,0,0,0.00191704728125293
6,"discordant-collider",0.45,0.3,"full",2000,1,0.998082952718747,1,NA,NA,NA,0,0,0.00191704728125293,0,0,0.00191704728125293
7,"noncollider",1.1,0.3,"full",2000,0,0,0.00191704728125293,0,0,0.00191704728125293,0,0,0.00191704728125293,0,0,0.00191704728125293
8,"concordant-collider",1.1,0.3,"full",2000,1,0.998082952718747,1,NA,NA,NA,0,0,0.00191704728125293,0,0,0.00191704728125293
9,"discordant-collider",1.1,0.3,"full",2000,1,0.998082952718747,1,NA,NA,NA,0,0,0.00191704728125293,0,0,0.00191704728125293
10,"noncollider",0.1,0.7,"full",2000,5e-04,8.82677307054681e-05,0.00282686250326621,5e-04,8.82677307054681e-05,0.00282686250326621,0,0,0.00191704728125293,0,0,0.00191704728125293
11,"concordant-collider",0.1,0.7,"full",2000,0.7625,0.743357608894853,0.780635941282489,NA,NA,NA,0,0,0.00191704728125293,0.2375,0.219364058717511,0.256642391105147
12,"discordant-collider",0.1,0.7,"full",2000,0.7695,0.75053632026993,0.787430391245474,NA,NA,NA,0,0,0.00191704728125293,0.2305,0.212569608754526,0.249463679730069
13,"noncollider",0.45,0.7,"full",2000,5e-04,8.82677307054681e-05,0.00282686250326621,5e-04,8.82677307054681e-05,0.00282686250326621,0,0,0.00191704728125293,0,0,0.00191704728125293
14,"concordant-collider",0.45,0.7,"full",2000,1,0.998082952718747,1,NA,NA,NA,0,0,0.00191704728125293,0,0,0.00191704728125293
15,"discordant-collider",0.45,0.7,"full",2000,1,0.998082952718747,1,NA,NA,NA,0,0,0.00191704728125293,0,0,0.00191704728125293
16,"noncollider",1.1,0.7,"full",2000,0,0,0.00191704728125293,0,0,0.00191704728125293,0,0,0.00191704728125293,0,0,0.00191704728125293
17,"concordant-collider",1.1,0.7,"full",2000,1,0.998082952718747,1,NA,NA,NA,0,0,0.00191704728125293,0,0,0.00191704728125293
18,"discordant-collider",1.1,0.7,"full",2000,1,0.998082952718747,1,NA,NA,NA,0,0,0.00191704728125293,0,0,0.00191704728125293
1,"noncollider",0.1,0.3,"reduced",2000,0,0,0.00191704728125293,0,0,0.00191704728125293,0,0,0.00191704728125293,0,0,0.00191704728125293
2,"concordant-collider",0.1,0.3,"reduced",2000,0,0,0.00191704728125293,NA,NA,NA,0,0,0.00191704728125293,1,0.998082952718747,1
3,"discordant-collider",0.1,0.3,"reduced",2000,0,0,0.00191704728125293,NA,NA,NA,0,0,0.00191704728125293,1,0.998082952718747,1
4,"noncollider",0.45,0.3,"reduced",2000,0,0,0.00191704728125293,0,0,0.00191704728125293,0,0,0.00191704728125293,0,0,0.00191704728125293
5,"concordant-collider",0.45,0.3,"reduced",2000,0,0,0.00191704728125293,NA,NA,NA,0,0,0.00191704728125293,1,0.998082952718747,1
6,"discordant-collider",0.45,0.3,"reduced",2000,0,0,0.00191704728125293,NA,NA,NA,0,0,0.00191704728125293,1,0.998082952718747,1
7,"noncollider",1.1,0.3,"reduced",2000,0,0,0.00191704728125293,0,0,0.00191704728125293,0,0,0.00191704728125293,0,0,0.00191704728125293
8,"concordant-collider",1.1,0.3,"reduced",2000,0,0,0.00191704728125293,NA,NA,NA,0,0,0.00191704728125293,1,0.998082952718747,1
9,"discordant-collider",1.1,0.3,"reduced",2000,0,0,0.00191704728125293,NA,NA,NA,0,0,0.00191704728125293,1,0.998082952718747,1
10,"noncollider",0.1,0.7,"reduced",2000,0,0,0.00191704728125293,0,0,0.00191704728125293,0,0,0.00191704728125293,0,0,0.00191704728125293
11,"concordant-collider",0.1,0.7,"reduced",2000,0,0,0.00191704728125293,NA,NA,NA,0,0,0.00191704728125293,1,0.998082952718747,1
12,"discordant-collider",0.1,0.7,"reduced",2000,0,0,0.00191704728125293,NA,NA,NA,0,0,0.00191704728125293,1,0.998082952718747,1
13,"noncollider",0.45,0.7,"reduced",2000,0,0,0.00191704728125293,0,0,0.00191704728125293,0,0,0.00191704728125293,0,0,0.00191704728125293
14,"concordant-collider",0.45,0.7,"reduced",2000,0,0,0.00191704728125293,NA,NA,NA,0,0,0.00191704728125293,1,0.998082952718747,1
15,"discordant-collider",0.45,0.7,"reduced",2000,0,0,0.00191704728125293,NA,NA,NA,0,0,0.00191704728125293,1,0.998082952718747,1
16,"noncollider",1.1,0.7,"reduced",2000,0,0,0.00191704728125293,0,0,0.00191704728125293,0,0,0.00191704728125293,0,0,0.00191704728125293
17,"concordant-collider",1.1,0.7,"reduced",2000,0,0,0.00191704728125293,NA,NA,NA,0,0,0.00191704728125293,1,0.998082952718747,1
18,"discordant-collider",1.1,0.7,"reduced",2000,0,0,0.00191704728125293,NA,NA,NA,0,0,0.00191704728125293,1,0.998082952718747,1
