"scenario","topology","strength","retention","rd_h","rd_all","delta_target","contribution_b","contribution_x","contribution_d","decomposition_error","cor_pd_h_truth"
1,"noncollider",0.1,0.3,-0.0363028472899577,-0.0335628331533101,-0.00274001413664764,0.00209472721479066,-0.00250683189538587,-0.00232790945605071,1.31838984174237e-16,6.19368383815777e-17
2,"concordant-collider",0.1,0.3,-0.0362907363773384,-0.0335628331533101,-0.00272790322402833,0.00208451874448507,-0.00249525990273674,-0.00231716206577512,7.28583859910259e-17,-0.00684072691658038
3,"discordant-collider",0.1,0.3,-0.0317419854013284,-0.0335628331533101,0.00182084775198168,0.00199543437429287,-0.00246071469458611,0.00228612807227654,1.94289029309402e-16,0.00684072691658023
4,"noncollider",0.45,0.3,-0.0438716982826388,-0.0335628331533101,-0.0103088651293287,0.00203186974799054,-0.00239484797291,-0.00994588690440895,1.35308431126191e-16,-7.47737996411429e-17
5,"concordant-collider",0.45,0.3,-0.0431093127137555,-0.0335628331533101,-0.00954647956044537,0.00187449347681977,-0.00221458355667202,-0.00920638948059256,6.76542155630955e-17,-0.112949912555888
6,"discordant-collider",0.45,0.3,-0.0253455118209411,-0.0335628331533101,0.00821732133236905,0.00157563560417446,-0.00209229105563715,0.00873397678383325,6.2450045135165e-17,0.112949912555887
7,"noncollider",1.1,0.3,-0.0529619569516785,-0.0335628331533101,-0.0193991237983684,0.00156763601674875,-0.00191481257786948,-0.019051947237249,2.4980018054066e-16,4.96205024013659e-17
8,"concordant-collider",1.1,0.3,-0.048855251012764,-0.0335628331533101,-0.0152924178594539,0.00124473057021687,-0.00149481624442848,-0.0150423321852426,1.87350135405495e-16,-0.343248542842522
9,"discordant-collider",1.1,0.3,-0.0201578848310353,-0.0335628331533101,0.0134049483222748,0.000930673843012968,-0.00135678828679068,0.0138310627660535,1.30104260698261e-16,0.343248542842514
10,"noncollider",0.1,0.7,-0.0348595998566154,-0.0335628331533101,-0.00129676670330527,0.00081356058969762,-0.00109421826438305,-0.00101610902861835,-5.76795555762288e-17,5.50604117189796e-17
11,"concordant-collider",0.1,0.7,-0.0348532499411317,-0.0335628331533101,-0.00129041678782159,0.000809980167663725,-0.00108906954665495,-0.00101132740882918,7.04731412115578e-17,-0.00470607317225572
12,"discordant-collider",0.1,0.7,-0.0327885687132159,-0.0335628331533101,0.00077426444009425,0.000852103257066096,-0.00109688232276765,0.00101904350579708,9.83371370444353e-17,0.0047060731722557
13,"noncollider",0.45,0.7,-0.0380610388679735,-0.0335628331533101,-0.00449820571466338,0.000676954614149168,-0.00100150156804937,-0.00417365876076196,1.58727198051878e-16,-4.64327720907702e-17
14,"concordant-collider",0.45,0.7,-0.0377256629164887,-0.0335628331533101,-0.00416282976317864,0.000636995805817745,-0.000928671603156815,-0.00387115396583844,8.23993651088983e-17,-0.0752411787947816
15,"discordant-collider",0.45,0.7,-0.0297454724398141,-0.0335628331533101,0.00381736071349604,0.000776854419086135,-0.000960477914123234,0.00400098420853369,1.24032728532342e-16,0.0752411787947816
16,"noncollider",1.1,0.7,-0.0413872089010204,-0.0335628331533101,-0.00782437574771026,0.000434834606688706,-0.000737610230514649,-0.00752160012388295,2.23779328401008e-16,-7.11473146656208e-17
17,"concordant-collider",1.1,0.7,-0.0398539600553538,-0.0335628331533101,-0.00629112690204368,0.000380756043392149,-0.000596699902215556,-0.00607518304321926,1.17961196366423e-16,-0.213913477986751
18,"discordant-collider",1.1,0.7,-0.0272074061387016,-0.0335628331533101,0.00635542701460849,0.000523828521794197,-0.000641332734795505,0.00647293122761072,1.25767452008319e-16,0.213913477986752
