"scenario","separation_key","s","gamma_z_key","gamma_z","shape","I_G","I_C","I_Q","treat_prev_t0","pA_t0_q1","pA_t0_q2","pA_t0_q3","pA_t0_q4","pA_t0_q5","pR_t0_q1","pR_t0_q2","pR_t0_q3","pR_t0_q4","pR_t0_q5","treat_prev_t1","pA_t1_q1","pA_t1_q2","pA_t1_q3","pA_t1_q4","pA_t1_q5","pR_t1_q1","pR_t1_q2","pR_t1_q3","pR_t1_q4","pR_t1_q5","treat_prev_t2","pA_t2_q1","pA_t2_q2","pA_t2_q3","pA_t2_q4","pA_t2_q5","pR_t2_q1","pR_t2_q2","pR_t2_q3","pR_t2_q4","pR_t2_q5","retention_12","retention_24","retention_36","true_ess_a0","true_ess_a1"
1,"good",0.65,"absent",0,"all-main",0,0,0,0.531115,0.122030478882661,0.186909144245604,0.532937965337352,0.85619052250682,0.905085598957097,0.661024011922448,0.753778435765517,0.932593624620412,0.983468319489163,0.989338510557807,0.53993434853969,0.12422073102988,0.187744099978149,0.541309763178761,0.863352678613964,0.914117779892838,0.607136502383264,0.713026281730073,0.921207196280014,0.981160130666679,0.987850500777506,0.58009280047897,0.142465353096417,0.21984762944794,0.587349892680363,0.883777477407053,0.927055224247743,0.55043042641022,0.664152846793206,0.903043007631076,0.976216124449991,0.984899422343466,0.92001,0.835125,0.738215,2713.61911626313,11973.3943693019
2,"poor",1.25,"absent",0,"all-main",0,0,0,0.580155,0.027495791806164,0.0675394705491025,0.60886950220091,0.973282932864134,0.98938532555915,0.665017906689701,0.75987501061111,0.93310795206047,0.983058385362762,0.98905808159755,0.563043962189368,0.0262816848348897,0.0640535601063296,0.583708405030643,0.969452137330166,0.987817580351838,0.623386974368702,0.722329094630365,0.921996471963003,0.98032712761242,0.98747606461337,0.607012435257894,0.0348758892175234,0.080029383039731,0.638248675081052,0.975524172740525,0.990269511878159,0.567187160736983,0.675136996514668,0.903954267272259,0.975136786948591,0.983918182383285,0.920905,0.83794,0.743945,71.6753765165293,3571.91289467456
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,0.527805,0.0480852370534401,0.0957393796948743,0.53396281748049,0.927254078135258,0.964703033754438,0.664775988447958,0.75552802716651,0.932447044706835,0.983606473807118,0.989357912858566,0.535561943368237,0.0500470692673649,0.101441707444701,0.543530072676639,0.92755668660777,0.964677118127222,0.60417019509801,0.710981768106006,0.920940108892432,0.981311430579405,0.988164034422648,0.573693207377418,0.0601098566181081,0.122069915238442,0.58817207356562,0.93907677066546,0.970914539367554,0.546832126870963,0.662440847440763,0.90294061456388,0.976599921973596,0.985015318799453,0.920155,0.833625,0.73897,1679.61125260453,5547.70955285949
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,0.576225,0.014506882678918,0.0429210351156178,0.608510950012569,0.983121711379538,0.994466186310407,0.668376119986728,0.75775198635322,0.933144424536599,0.983079889268184,0.988918586562148,0.558843348875629,0.0146900287708592,0.0421550904712493,0.584291812766983,0.980006405894813,0.993310266847316,0.621184220808061,0.722180652867827,0.92175459786485,0.980494077466161,0.987524976571759,0.600733762658304,0.0190291077167659,0.0550465699614298,0.639761101142424,0.983782702569608,0.99461423614803,0.568037963230132,0.676072666446834,0.903760629302207,0.97518036537066,0.984102991217488,0.92007,0.83542,0.74393,29.04114023819,187.861835699719
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,0.52202,0.00705631613400529,0.0235665279610659,0.535186446773638,0.982149039860272,0.995030999328411,0.658196439193774,0.751012411732581,0.93231665924223,0.983583979505949,0.989547743650225,0.528873990553101,0.00775821345010941,0.0267882764100926,0.542471947934699,0.981563619644386,0.994622323914449,0.604069462610668,0.709716185226796,0.920775991774939,0.981732087163498,0.988519276607812,0.564286914564179,0.00931806754216855,0.0315451721656195,0.591538219280951,0.984277395722051,0.995722353509744,0.547271223599271,0.65730910926911,0.902235420961317,0.977175063825531,0.985279709606116,0.91882,0.83314,0.737615,176.359808235068,3128.421709727
6,"poor",1.25,"strong",1.49962304642689,"all-main",0,0,0,0.56868,0.0031365931543156,0.014242703063825,0.611861931647471,0.994397340400699,0.998810128494237,0.664353049778071,0.756030007700657,0.932979138223328,0.983278283580698,0.989260912565983,0.554358631704177,0.003442228227134,0.0145261843845896,0.587086604272827,0.993218299967003,0.998547127072141,0.620425065061457,0.72038284252772,0.92168454376514,0.980846310563815,0.987655391661252,0.587263897029798,0.00436034981427375,0.0193469145733803,0.641740276927724,0.994337760709251,0.998694795453142,0.554874493541276,0.669466501653004,0.9034115036921,0.975838852225348,0.984386566508654,0.920415,0.83597,0.74249,864.059736131733,398.490469851608
7,"good",0.65,"absent",0,"nonlinear-treatment",1,0,0,0.530515,0.253818650474481,0.290042707090346,0.474594433412716,0.981254731685674,0.997916937733515,0.666071554169299,0.756977600982957,0.931795190776605,0.984217692329826,0.99015240820886,0.545820389720418,0.270178373356084,0.304652550342288,0.490770084942914,0.981960415885318,0.998050066919184,0.618796826098243,0.721199961759784,0.919791445700224,0.982666466478913,0.98977304373408,0.584546358528316,0.293348796957608,0.332051776972736,0.536185383700747,0.988123702774686,0.998635797814867,0.568328903229786,0.670803834294376,0.90154377935724,0.978306392227547,0.987085189612941,0.92066,0.83469,0.73957,542.983730730404,15949.7235435689
8,"poor",1.25,"absent",0,"nonlinear-treatment",1,0,0,0.55502,0.132975910695725,0.17700785153386,0.49668542851907,0.999548619930704,0.999994712970534,0.662266640246947,0.760208982639966,0.932029588447792,0.984291959871401,0.990167405347267,0.552646711004546,0.136127974032318,0.180116408468502,0.488747825513021,0.999501512683004,0.999994843795927,0.61592164144183,0.724834861368555,0.919898272307107,0.982604044846366,0.98970727867272,0.589967010900746,0.147070235075895,0.198054945750233,0.545063510461983,0.999695045102502,0.999995579134681,0.569719549018048,0.677583203650316,0.901325302737939,0.978212797480541,0.987563933942785,0.92171,0.83664,0.742245,797.09829203265,7794.80325642254
9,"good",0.65,"moderate",0.751416088683921,"nonlinear-treatment",1,0,0,0.53193,0.0620571330216516,0.109911111106103,0.513580962656897,0.984979875905309,0.99835085707963,0.665370308667557,0.760096032544807,0.931925738706602,0.984276939089238,0.990323810114331,0.54394779771615,0.0692975913984644,0.120634873223383,0.530069605913868,0.985745192974355,0.99844381072815,0.623892256909046,0.721426722130517,0.920187445597788,0.982609660369934,0.989590879465509,0.583910802062103,0.0788998308544365,0.139350637031236,0.576904884150751,0.990711311342305,0.999047802305607,0.561699893452501,0.671395840231504,0.901682006673755,0.978621410357349,0.987067903895779,0.9195,0.8341,0.73969,91.3374651813443,5826.94889156511
10,"poor",1.25,"moderate",0.751416088683921,"nonlinear-treatment",1,0,0,0.559345,0.0391121409793789,0.0764169807077342,0.534200252764614,0.999608536326033,0.999995008019058,0.666445898224747,0.759843898681718,0.932169994761944,0.984227619638344,0.990213640489983,0.551503299926668,0.0427601478197809,0.0805934128156202,0.524766735880796,0.999604699685225,0.999996154580213,0.61367448779583,0.722015603824985,0.920182619833945,0.982581645888775,0.989959139211902,0.59003597853241,0.0488347333524775,0.0917352294770895,0.581396165690195,0.999750351892968,0.999996817752104,0.567226289724713,0.674576186180422,0.901631024148147,0.978174228600079,0.987119723264936,0.920475,0.83661,0.74238,223.159293248464,2484.57684769992
