"scenario","separation_key","s","gamma_z_key","gamma_z","shape","I_G","I_C","I_Q","truth_mean1","truth_mean0","truth","truth_mcse","truth_mean1_mcse","truth_mean0_mcse","marginal_sd1","marginal_sd0","truth_n"
1,"good",0.65,"absent",0,"all-main",0,0,0,-0.0683225602909303,0.665575239709087,-0.733897800013413,8.44806400645481e-05,0.000627242495847171,0.000675041445414909,1.33673718329116,1.38252012862587,2000000
2,"poor",1.25,"absent",0,"all-main",0,0,0,-0.0686865851132867,0.665205334886719,-0.733891920013416,8.44802492447285e-05,0.000627402565444823,0.000675304347658323,1.33688741420267,1.38277688870348,2000000
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,-0.0688325654691806,0.664923154530798,-0.733755720013419,8.44711388046734e-05,0.000627372329276722,0.000675223627611036,1.33685903485902,1.38269804894938,2000000
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,-0.0675774981677647,0.666418581832251,-0.733996080013411,8.44871417792443e-05,0.000627352574416032,0.000675279549436611,1.33684049357163,1.38275266760713,2000000
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,-0.0682553075849582,0.665725172415014,-0.733980480013416,8.44861136109823e-05,0.000627694438413692,0.000675621003361146,1.33716140238602,1.38308621581066,2000000
6,"poor",1.25,"strong",1.49962304642689,"all-main",0,0,0,-0.0688441626924807,0.665036957307509,-0.73388112001342,8.44795308746804e-05,0.000627336345825157,0.000675221854548353,1.33682526217398,1.38269631724375,2000000
7,"good",0.65,"absent",0,"nonlinear-treatment",1,0,0,-0.0676823677715814,0.666242672228407,-0.733925040013417,8.44824479036646e-05,0.000627166079848706,0.000675064988452911,1.3366654717713,1.38254311949749,2000000
8,"poor",1.25,"absent",0,"nonlinear-treatment",1,0,0,-0.067578640976177,0.666426799023837,-0.734005440013412,8.4487757982785e-05,0.000627200953385727,0.000675053851038525,1.33669819774545,1.38253224324205,2000000
9,"good",0.65,"moderate",0.751416088683921,"nonlinear-treatment",1,0,0,-0.0678257932636916,0.666165486736323,-0.733991280013406,8.44868255746111e-05,0.000627040243211296,0.000674907632774408,1.33654739280467,1.38238946232757,2000000
10,"poor",1.25,"moderate",0.751416088683921,"nonlinear-treatment",1,0,0,-0.0679521977738119,0.665808202226217,-0.733760400013413,8.44714536887339e-05,0.000627216825206331,0.000675093278825447,1.33671309249361,1.38257074691698,2000000
11,"good",0.65,"strong",1.49962304642689,"nonlinear-treatment",1,0,0,-0.067383112059443,0.666667927940561,-0.734051040013414,8.44907525204427e-05,0.000627348923392592,0.000675159734608947,1.33683706687228,1.38263564776641,2000000
12,"poor",1.25,"strong",1.49962304642689,"nonlinear-treatment",1,0,0,-0.0683805009618585,0.665566499038178,-0.733947000013412,8.44839020993232e-05,0.000627024857749317,0.000674891174104874,1.33653295674708,1.38237339158757,2000000
13,"good",0.65,"absent",0,"nonlinear-censoring",0,1,0,-0.0676276715339108,0.666279008466127,-0.733906680013414,8.44812298909088e-05,0.000627383630132973,0.00067527636541159,1.33686964163214,1.38274955771715,2000000
14,"poor",1.25,"absent",0,"nonlinear-censoring",0,1,0,-0.0681419597486207,0.665986960251412,-0.73412892001341,8.4495838177322e-05,0.000626993037279637,0.00067490981184504,1.33650310048061,1.38239159005306,2000000
15,"good",0.65,"moderate",0.751416088683921,"nonlinear-censoring",0,1,0,-0.0667960848332915,0.667297195166714,-0.734093280013408,8.44935153350518e-05,0.000627898050775174,0.000675782748886771,1.33735258041196,1.38324424719061,2000000
16,"poor",1.25,"moderate",0.751416088683921,"nonlinear-censoring",0,1,0,-0.0675624101479597,0.666493669852024,-0.734056080013411,8.44910827340958e-05,0.000627458935982621,0.000675398416122182,1.33694032502909,1.38286877215472,2000000
17,"good",0.65,"strong",1.49962304642689,"nonlinear-censoring",0,1,0,-0.0683368803485846,0.665481959651443,-0.733818840013413,8.44753746854128e-05,0.000627654986691823,0.000675482937030672,1.33712436393861,1.38295133552818,2000000
18,"poor",1.25,"strong",1.49962304642689,"nonlinear-censoring",0,1,0,-0.0680222797059806,0.665971520294037,-0.733993800013416,8.4486991599093e-05,0.00062705202796424,0.000674934750151146,1.33655845047949,1.3824159409972,2000000
19,"good",0.65,"absent",0,"nonlinear-outcome",0,0,1,0.109486907898518,0.961902950208599,-0.852416042310103,0.000326359177320017,0.000860529769731217,0.00113291293923956,1.57512633435776,1.88864593182334,2000000
20,"poor",1.25,"absent",0,"nonlinear-outcome",0,0,1,0.110563728496663,0.963014311069297,-0.852450582572624,0.000326718050647609,0.000861214047880086,0.00113384263303452,1.57587412966011,1.8897614222365,2000000
21,"good",0.65,"moderate",0.751416088683921,"nonlinear-outcome",0,0,1,0.109799466054511,0.962073511775965,-0.85227404572144,0.000326421180584431,0.000859012551784651,0.00113141463997099,1.57346913800276,1.88684874197202,2000000
22,"poor",1.25,"moderate",0.751416088683921,"nonlinear-outcome",0,0,1,0.110678858401896,0.963314894124201,-0.852636035722289,0.000326564450563454,0.000861916669012754,0.00113455031177216,1.57664221960598,1.89061070024599,2000000
23,"good",0.65,"strong",1.49962304642689,"nonlinear-outcome",0,0,1,0.111446993961695,0.964384415594227,-0.852937421632434,0.000326490312153618,0.000860604762102724,0.00113318674811558,1.57520827610439,1.88897443397456,2000000
24,"poor",1.25,"strong",1.49962304642689,"nonlinear-outcome",0,0,1,0.110374330364679,0.963165348645439,-0.852791018280757,0.000326435712084823,0.000859919516898187,0.0011324244327979,1.57445963780747,1.88805990159086,2000000
