"role","s","delta_g","delta_q","observed_u","type","control","truth_key","analysis_scenario","scenario_label","primary","hidden_u","selective_positive_control","bootstrap_anchor","risk0","risk1","rd","verified","validation_n","sim_risk0","sim_risk1","sim_rd","sim_mcse_risk0","sim_mcse_risk1","sim_mcse_rd"
"G0Q0",0.6,0,0,TRUE,"factorial",NA,"deltaQ0",1,"s0.60-G0Q0-observed-U",TRUE,FALSE,FALSE,FALSE,0.351979367015405,0.19197986066814,-0.159999506347264,TRUE,5000000,0.352332,0.1920768,-0.1602552,0.000213632470273599,0.000176172246907258,0.000164057000940319
"G0Q0",0.6,0,0,FALSE,"factorial",NA,"deltaQ0",2,"s0.60-G0Q0-hidden-U",FALSE,TRUE,FALSE,FALSE,0.351979367015405,0.19197986066814,-0.159999506347264,TRUE,5000000,0.352332,0.1920768,-0.1602552,0.000213632470273599,0.000176172246907258,0.000164057000940319
"G1Q0",0.6,1,0,TRUE,"factorial",NA,"deltaQ0",3,"s0.60-G1Q0-observed-U",FALSE,FALSE,TRUE,FALSE,0.351979367015405,0.19197986066814,-0.159999506347264,TRUE,5000000,0.352332,0.1920768,-0.1602552,0.000213632470273599,0.000176172246907258,0.000164057000940319
"G1Q0",0.6,1,0,FALSE,"factorial",NA,"deltaQ0",4,"s0.60-G1Q0-hidden-U",FALSE,TRUE,TRUE,FALSE,0.351979367015405,0.19197986066814,-0.159999506347264,TRUE,5000000,0.352332,0.1920768,-0.1602552,0.000213632470273599,0.000176172246907258,0.000164057000940319
"G0Q1",0.6,0,1,TRUE,"factorial",NA,"deltaQ1",5,"s0.60-G0Q1-observed-U",FALSE,FALSE,TRUE,FALSE,0.335505264506325,0.191854733616129,-0.143650530890196,TRUE,5000000,0.3357002,0.1919104,-0.1437898,0.000211189760982847,0.000176114053029189,0.000157073688495625
"G0Q1",0.6,0,1,FALSE,"factorial",NA,"deltaQ1",6,"s0.60-G0Q1-hidden-U",FALSE,TRUE,TRUE,FALSE,0.335505264506325,0.191854733616129,-0.143650530890196,TRUE,5000000,0.3357002,0.1919104,-0.1437898,0.000211189760982847,0.000176114053029189,0.000157073688495625
"G1Q1",0.6,1,1,TRUE,"factorial",NA,"deltaQ1",7,"s0.60-G1Q1-observed-U",TRUE,FALSE,FALSE,FALSE,0.335505264506325,0.191854733616129,-0.143650530890196,TRUE,5000000,0.3357002,0.1919104,-0.1437898,0.000211189760982847,0.000176114053029189,0.000157073688495625
"G1Q1",0.6,1,1,FALSE,"factorial",NA,"deltaQ1",8,"s0.60-G1Q1-hidden-U",FALSE,TRUE,FALSE,FALSE,0.335505264506325,0.191854733616129,-0.143650530890196,TRUE,5000000,0.3357002,0.1919104,-0.1437898,0.000211189760982847,0.000176114053029189,0.000157073688495625
"G0Q0",1,0,0,TRUE,"factorial",NA,"deltaQ0",9,"s1.00-G0Q0-observed-U",TRUE,FALSE,FALSE,TRUE,0.351979367015405,0.19197986066814,-0.159999506347264,TRUE,5000000,0.352332,0.1920768,-0.1602552,0.000213632470273599,0.000176172246907258,0.000164057000940319
"G0Q0",1,0,0,FALSE,"factorial",NA,"deltaQ0",10,"s1.00-G0Q0-hidden-U",FALSE,TRUE,FALSE,TRUE,0.351979367015405,0.19197986066814,-0.159999506347264,TRUE,5000000,0.352332,0.1920768,-0.1602552,0.000213632470273599,0.000176172246907258,0.000164057000940319
"G1Q0",1,1,0,TRUE,"factorial",NA,"deltaQ0",11,"s1.00-G1Q0-observed-U",FALSE,FALSE,TRUE,FALSE,0.351979367015405,0.19197986066814,-0.159999506347264,TRUE,5000000,0.352332,0.1920768,-0.1602552,0.000213632470273599,0.000176172246907258,0.000164057000940319
"G1Q0",1,1,0,FALSE,"factorial",NA,"deltaQ0",12,"s1.00-G1Q0-hidden-U",FALSE,TRUE,TRUE,FALSE,0.351979367015405,0.19197986066814,-0.159999506347264,TRUE,5000000,0.352332,0.1920768,-0.1602552,0.000213632470273599,0.000176172246907258,0.000164057000940319
"G0Q1",1,0,1,TRUE,"factorial",NA,"deltaQ1",13,"s1.00-G0Q1-observed-U",FALSE,FALSE,TRUE,FALSE,0.335505264506325,0.191854733616129,-0.143650530890196,TRUE,5000000,0.3357002,0.1919104,-0.1437898,0.000211189760982847,0.000176114053029189,0.000157073688495625
"G0Q1",1,0,1,FALSE,"factorial",NA,"deltaQ1",14,"s1.00-G0Q1-hidden-U",FALSE,TRUE,TRUE,FALSE,0.335505264506325,0.191854733616129,-0.143650530890196,TRUE,5000000,0.3357002,0.1919104,-0.1437898,0.000211189760982847,0.000176114053029189,0.000157073688495625
"G1Q1",1,1,1,TRUE,"factorial",NA,"deltaQ1",15,"s1.00-G1Q1-observed-U",TRUE,FALSE,FALSE,TRUE,0.335505264506325,0.191854733616129,-0.143650530890196,TRUE,5000000,0.3357002,0.1919104,-0.1437898,0.000211189760982847,0.000176114053029189,0.000157073688495625
"G1Q1",1,1,1,FALSE,"factorial",NA,"deltaQ1",16,"s1.00-G1Q1-hidden-U",FALSE,TRUE,FALSE,FALSE,0.335505264506325,0.191854733616129,-0.143650530890196,TRUE,5000000,0.3357002,0.1919104,-0.1437898,0.000211189760982847,0.000176114053029189,0.000157073688495625
"G0Q0",1.7,0,0,TRUE,"factorial",NA,"deltaQ0",17,"s1.70-G0Q0-observed-U",FALSE,FALSE,FALSE,TRUE,0.351979367015405,0.19197986066814,-0.159999506347264,TRUE,5000000,0.352332,0.1920768,-0.1602552,0.000213632470273599,0.000176172246907258,0.000164057000940319
"G0Q0",1.7,0,0,FALSE,"factorial",NA,"deltaQ0",18,"s1.70-G0Q0-hidden-U",FALSE,TRUE,FALSE,FALSE,0.351979367015405,0.19197986066814,-0.159999506347264,TRUE,5000000,0.352332,0.1920768,-0.1602552,0.000213632470273599,0.000176172246907258,0.000164057000940319
"G1Q0",1.7,1,0,TRUE,"factorial",NA,"deltaQ0",19,"s1.70-G1Q0-observed-U",FALSE,FALSE,TRUE,FALSE,0.351979367015405,0.19197986066814,-0.159999506347264,TRUE,5000000,0.352332,0.1920768,-0.1602552,0.000213632470273599,0.000176172246907258,0.000164057000940319
