"scenario","mortality_key","death_effect_key","outcome_effect_key","q_key","beta_DA","gamma","beta_YA","beta_YAC","horizon","total_risk_1","total_risk_0","net_risk_1","net_risk_0","total_rd","net_rd","displacement","absolute_displacement","total_rd_mcse","net_rd_mcse","displacement_mcse","displacement_ci_low","displacement_ci_high","absolute_displacement_ci_low","absolute_displacement_ci_high","direction_class","displacement_class","truth_batches","truth_n","truth_mcse_max","truth_elapsed_sec"
1,"low","harmful","null","none",0.510826,0,0,0,12,0.0446460112526586,0.0449144434077431,0.0453240698776696,0.0453240698776696,-0.000268432155084441,0,0.000268432155084441,0.000268432155084441,3.1713738648772e-07,0,3.1713738648772e-07,0.00026780677393973,0.000269057536229153,0.00026780677393973,0.000269057536229153,"joint-null","not-material",200,2000000,3.1713738648772e-07,0.947
1,"low","harmful","null","none",0.510826,0,0,0,36,0.1640781736169,0.167770248769365,0.173674105421568,0.173674105421568,-0.0036920751524646,0,0.0036920751524646,0.0036920751524646,3.57205448590384e-06,0,3.57205448590384e-06,0.0036850312162447,0.0036991190886845,0.0036850312162447,0.0036991190886845,"zero-versus-nonzero","not-material",200,2000000,3.57205448590384e-06,0.947
1,"low","harmful","null","none",0.510826,0,0,0,60,0.29479853170267,0.307009366001671,0.32760160390572,0.32760160390572,-0.0122108342990014,0,0.0122108342990014,0.0122108342990014,9.51147134008555e-06,0,9.51147134008555e-06,0.0121920780908469,0.012229590507156,0.0121920780908469,0.012229590507156,"zero-versus-nonzero","material",200,2000000,9.51147134008555e-06,0.947
2,"moderate","harmful","null","none",0.510826,0,0,0,12,0.0429857826261491,0.0438877237856662,0.0453240698776696,0.0453240698776696,-0.000901941159517087,0,0.000901941159517087,0.000901941159517087,9.81462612614009e-07,0,9.81462612614009e-07,0.000900005757895204,0.000903876561138969,0.000900005757895204,0.000903876561138969,"joint-null","not-material",200,2000000,9.81462612614009e-07,27.275
2,"moderate","harmful","null","none",0.510826,0,0,0,36,0.143291897430239,0.153935884744118,0.173674105421568,0.173674105421568,-0.0106439873138796,0,0.0106439873138796,0.0106439873138796,8.25956990426097e-06,0,8.25956990426097e-06,0.0106276998009542,0.010660274826805,0.0106276998009542,0.010660274826805,"zero-versus-nonzero","material",200,2000000,8.25956990426097e-06,27.275
2,"moderate","harmful","null","none",0.510826,0,0,0,60,0.233299720179376,0.26313492376648,0.32760160390572,0.32760160390572,-0.0298352035871039,0,0.0298352035871039,0.0298352035871039,1.72038046391086e-05,0,1.72038046391086e-05,0.0298012784319598,0.029869128742248,0.0298012784319598,0.029869128742248,"zero-versus-nonzero","material",200,2000000,1.72038046391086e-05,27.275
3,"high","harmful","null","none",0.510826,0,0,0,12,0.040468086703318,0.0422652040593303,0.0453240698776696,0.0453240698776696,-0.00179711735601223,0,0.00179711735601223,0.00179711735601223,1.74268876818595e-06,0,1.74268876818595e-06,0.00179368084949122,0.00180055386253325,0.00179368084949122,0.00180055386253325,"zero-versus-nonzero","not-material",200,2000000,1.74268876818595e-06,19.246
3,"high","harmful","null","none",0.510826,0,0,0,36,0.117746687630127,0.134789423366207,0.173674105421568,0.173674105421568,-0.0170427357360799,0,0.0170427357360799,0.0170427357360799,1.03498715270829e-05,0,1.03498715270829e-05,0.0170223262391899,0.0170631452329699,0.0170223262391899,0.0170631452329699,"zero-versus-nonzero","material",200,2000000,1.03498715270829e-05,19.246
3,"high","harmful","null","none",0.510826,0,0,0,60,0.171888239727732,0.211449350771267,0.32760160390572,0.32760160390572,-0.0395611110435345,0,0.0395611110435345,0.0395611110435345,1.63755240954637e-05,0,1.63755240954637e-05,0.0395288192216289,0.0395934028654401,0.0395288192216289,0.0395934028654401,"zero-versus-nonzero","material",200,2000000,1.63755240954637e-05,19.246
4,"low","neutral","null","none",0,0,0,0,12,0.0449144434077431,0.0449144434077431,0.0453240698776696,0.0453240698776696,0,0,0,0,0,0,0,0,0,0,0,"joint-null","not-material",200,2000000,0,22.557
