"scenario","n","event_target","K","effect","candidate","coverage","coverage_mcse","failure_probability","failure_mcse","truth_mcse","truth_draws","n_attempted","pass"
7,4000,35,16,"null","c45-h24",0.946,0.00505390937789747,0,0,0,2000000,2000,TRUE
8,8000,35,16,"null","c45-h24",0.95,0.00487339717240448,0,0,0,2000000,2000,TRUE
9,4000,70,16,"null","c45-h24",0.941,0.00526872849936301,0,0,0,2000000,2000,TRUE
10,8000,70,16,"null","c45-h24",0.9485,0.00494205169944629,0,0,0,2000000,2000,TRUE
11,4000,140,16,"null","c45-h24",0.957,0.00453602248671675,0,0,0,2000000,2000,TRUE
12,8000,140,16,"null","c45-h24",0.9475,0.00498717104178311,0,0,0,2000000,2000,TRUE
19,4000,35,16,"homogeneous","c45-h24",0.947,0.0050095408971282,0,0,9.80538712250005e-07,2000000,2000,TRUE
20,8000,35,16,"homogeneous","c45-h24",0.952,0.00477995815881269,0,0,5.25698259313039e-07,2000000,2000,TRUE
21,4000,70,16,"homogeneous","c45-h24",0.9515,0.00480352734977121,0,0,2.31037561888562e-06,2000000,2000,TRUE
22,8000,70,16,"homogeneous","c45-h24",0.9465,0.00503178646208283,0,0,1.02637278210029e-06,2000000,2000,TRUE
23,4000,140,16,"homogeneous","c45-h24",0.949,0.00491929873051028,0,0,3.832850569509e-06,2000000,2000,TRUE
24,8000,140,16,"homogeneous","c45-h24",0.949,0.00491929873051028,0,0,2.12181413224074e-06,2000000,2000,TRUE
31,4000,35,16,"heterogeneous","c45-h24",0.9515,0.00480352734977121,0,0,1.15650773378575e-06,2000000,2000,TRUE
32,8000,35,16,"heterogeneous","c45-h24",0.9545,0.00465992220965114,0,0,5.44461305382137e-07,2000000,2000,TRUE
33,4000,70,16,"heterogeneous","c45-h24",0.9515,0.00480352734977121,0,0,2.19701150536574e-06,2000000,2000,TRUE
34,8000,70,16,"heterogeneous","c45-h24",0.9435,0.00516273909857936,0,0,1.11735821608342e-06,2000000,2000,TRUE
35,4000,140,16,"heterogeneous","c45-h24",0.945,0.00509779364038993,0,0,3.98867167261621e-06,2000000,2000,TRUE
36,8000,140,16,"heterogeneous","c45-h24",0.955,0.00463546114210873,0,0,2.38493419638048e-06,2000000,2000,TRUE
7,4000,35,16,"null","c45-h36",0.953,0.00473238840333293,0,0,0,2000000,2000,TRUE
8,8000,35,16,"null","c45-h36",0.954,0.00468422885862764,0,0,0,2000000,2000,TRUE
9,4000,70,16,"null","c45-h36",0.949,0.00491929873051028,0,0,0,2000000,2000,TRUE
10,8000,70,16,"null","c45-h36",0.9465,0.00503178646208283,0,0,0,2000000,2000,TRUE
11,4000,140,16,"null","c45-h36",0.955,0.00463546114210873,0,0,0,2000000,2000,TRUE
12,8000,140,16,"null","c45-h36",0.953,0.00473238840333293,0,0,0,2000000,2000,TRUE
19,4000,35,16,"homogeneous","c45-h36",0.953,0.00473238840333293,0,0,1.45323957824651e-06,2000000,2000,TRUE
20,8000,35,16,"homogeneous","c45-h36",0.949,0.00491929873051028,0,0,7.83933509710461e-07,2000000,2000,TRUE
21,4000,70,16,"homogeneous","c45-h36",0.9525,0.00475624589355933,0,0,3.38311058020393e-06,2000000,2000,TRUE
22,8000,70,16,"homogeneous","c45-h36",0.941,0.00526872849936301,0,0,1.52072695757035e-06,2000000,2000,TRUE
23,4000,140,16,"homogeneous","c45-h36",0.9475,0.00498717104178311,0,0,5.4691868149668e-06,2000000,2000,TRUE
24,8000,140,16,"homogeneous","c45-h36",0.9515,0.00480352734977121,0,0,3.10583072366885e-06,2000000,2000,TRUE
31,4000,35,16,"heterogeneous","c45-h36",0.9505,0.0048502448391808,0,0,1.7207461808714e-06,2000000,2000,TRUE
32,8000,35,16,"heterogeneous","c45-h36",0.952,0.00477995815881269,0,0,8.13151367122658e-07,2000000,2000,TRUE
33,4000,70,16,"heterogeneous","c45-h36",0.9575,0.00451075104611194,0,0,3.24082204588544e-06,2000000,2000,TRUE
34,8000,70,16,"heterogeneous","c45-h36",0.945,0.00509779364038993,0,0,1.66212109809439e-06,2000000,2000,TRUE
35,4000,140,16,"heterogeneous","c45-h36",0.9445,0.00511955808639769,0,0,5.78400306440653e-06,2000000,2000,TRUE
36,8000,140,16,"heterogeneous","c45-h36",0.944,0.00514120608417908,0,0,3.51953186356696e-06,2000000,2000,TRUE
7,4000,35,16,"null","c45-h48",0.9535,0.00470838348055891,0,0,0,2000000,2000,TRUE
8,8000,35,16,"null","c45-h48",0.955,0.00463546114210873,0,0,0,2000000,2000,TRUE
9,4000,70,16,"null","c45-h48",0.9435,0.00516273909857936,0,0,0,2000000,2000,TRUE
10,8000,70,16,"null","c45-h48",0.9525,0.00475624589355933,0,0,0,2000000,2000,TRUE
11,4000,140,16,"null","c45-h48",0.956,0.00458606585212206,0,0,0,2000000,2000,TRUE
12,8000,140,16,"null","c45-h48",0.949,0.00491929873051028,0,0,0,2000000,2000,TRUE
19,4000,35,16,"homogeneous","c45-h48",0.9525,0.00475624589355933,0,0,1.91453150087853e-06,2000000,2000,TRUE
20,8000,35,16,"homogeneous","c45-h48",0.9515,0.00480352734977121,0,0,1.03913193936974e-06,2000000,2000,TRUE
21,4000,70,16,"homogeneous","c45-h48",0.948,0.00496467521596328,0,0,4.40357976000511e-06,2000000,2000,TRUE
22,8000,70,16,"homogeneous","c45-h48",0.95,0.00487339717240448,0,0,2.00286162252839e-06,2000000,2000,TRUE
23,4000,140,16,"homogeneous","c45-h48",0.942,0.00522666241496426,0,0,6.93804654435099e-06,2000000,2000,TRUE
24,8000,140,16,"homogeneous","c45-h48",0.956,0.00458606585212206,0,0,4.04113168910649e-06,2000000,2000,TRUE
31,4000,35,16,"heterogeneous","c45-h48",0.9545,0.00465992220965114,0,0,2.27590225683921e-06,2000000,2000,TRUE
32,8000,35,16,"heterogeneous","c45-h48",0.95,0.00487339717240448,0,0,1.07951693952118e-06,2000000,2000,TRUE
33,4000,70,16,"heterogeneous","c45-h48",0.947,0.0050095408971282,0,0,4.25010369258538e-06,2000000,2000,TRUE
34,8000,70,16,"heterogeneous","c45-h48",0.9465,0.00503178646208283,0,0,2.19785650730088e-06,2000000,2000,TRUE
35,4000,140,16,"heterogeneous","c45-h48",0.9485,0.00494205169944629,0,0,7.46118559669224e-06,2000000,2000,TRUE
36,8000,140,16,"heterogeneous","c45-h48",0.956,0.00458606585212206,0,0,4.6175601125292e-06,2000000,2000,TRUE
7,4000,35,16,"null","c45-h60",0.9505,0.0048502448391808,0,0,0,2000000,2000,TRUE
8,8000,35,16,"null","c45-h60",0.957,0.00453602248671675,0,0,0,2000000,2000,TRUE
9,4000,70,16,"null","c45-h60",0.946,0.00505390937789747,0,0,0,2000000,2000,TRUE
10,8000,70,16,"null","c45-h60",0.9585,0.00445969449626317,0,0,0,2000000,2000,TRUE
11,4000,140,16,"null","c45-h60",0.955,0.00463546114210873,0,0,0,2000000,2000,TRUE
12,8000,140,16,"null","c45-h60",0.952,0.00477995815881269,0,0,0,2000000,2000,TRUE
19,4000,35,16,"homogeneous","c45-h60",0.956,0.00458606585212206,0,0,2.36463626894895e-06,2000000,2000,TRUE
20,8000,35,16,"homogeneous","c45-h60",0.9515,0.00480352734977121,0,0,1.29132250889598e-06,2000000,2000,TRUE
21,4000,70,16,"homogeneous","c45-h60",0.945,0.00509779364038993,0,0,5.37371671047911e-06,2000000,2000,TRUE
22,8000,70,16,"homogeneous","c45-h60",0.9545,0.00465992220965114,0,0,2.47302186033934e-06,2000000,2000,TRUE
23,4000,140,16,"homogeneous","c45-h60",0.939,0.00535158854920668,0,0,8.25248017028161e-06,2000000,2000,TRUE
24,8000,140,16,"homogeneous","c45-h60",0.962,0.00427527776875375,0,0,4.92953592015683e-06,2000000,2000,TRUE
31,4000,35,16,"heterogeneous","c45-h60",0.9585,0.00445969449626317,0,0,2.82216551225821e-06,2000000,2000,TRUE
32,8000,35,16,"heterogeneous","c45-h60",0.948,0.00496467521596328,0,0,1.34358450215094e-06,2000000,2000,TRUE
33,4000,70,16,"heterogeneous","c45-h60",0.9405,0.00528960064655168,0,0,5.22622216278612e-06,2000000,2000,TRUE
34,8000,70,16,"heterogeneous","c45-h60",0.946,0.00505390937789747,0,0,2.72474610967974e-06,2000000,2000,TRUE
35,4000,140,16,"heterogeneous","c45-h60",0.9425,0.00520546587732549,0,0,9.02978671163837e-06,2000000,2000,TRUE
36,8000,140,16,"heterogeneous","c45-h60",0.9555,0.00461084319837489,0,0,5.6804371668832e-06,2000000,2000,TRUE
7,4000,35,16,"null","c50-h24",0.9455,0.00507591124823908,0,0,0,2000000,2000,TRUE
8,8000,35,16,"null","c50-h24",0.945,0.00509779364038993,0,0,0,2000000,2000,TRUE
9,4000,70,16,"null","c50-h24",0.9385,0.00537204569973116,0,0,0,2000000,2000,TRUE
10,8000,70,16,"null","c50-h24",0.9505,0.0048502448391808,0,0,0,2000000,2000,TRUE
11,4000,140,16,"null","c50-h24",0.9515,0.00480352734977121,0,0,0,2000000,2000,TRUE
12,8000,140,16,"null","c50-h24",0.948,0.00496467521596328,0,0,0,2000000,2000,TRUE
19,4000,35,16,"homogeneous","c50-h24",0.9445,0.00511955808639769,0,0,1.09956379392652e-06,2000000,2000,TRUE
