"candidate_1","candidate_2","correlation","scenario"
"c55-h36","c55-h36",1,1
"c55-h60","c55-h36",0.768055678368364,1
"c50-h36","c55-h36",0.898125190647315,1
"c50-h60","c55-h36",0.692386108827783,1
"c55-h36","c55-h60",0.768055678368364,1
"c55-h60","c55-h60",1,1
"c50-h36","c55-h60",0.69291501782717,1
"c50-h60","c55-h60",0.895693616341499,1
"c55-h36","c50-h36",0.898125190647315,1
"c55-h60","c50-h36",0.69291501782717,1
"c50-h36","c50-h36",1,1
"c50-h60","c50-h36",0.779179892434192,1
"c55-h36","c50-h60",0.692386108827783,1
"c55-h60","c50-h60",0.895693616341499,1
"c50-h36","c50-h60",0.779179892434192,1
"c50-h60","c50-h60",1,1
"c55-h60","c55-h60",1,2
"c50-h60","c55-h60",0.905906456807454,2
"c50-h36","c55-h60",0.709027673420113,2
"c55-h36","c55-h60",0.781712242071989,2
"c55-h60","c50-h60",0.905906456807454,2
"c50-h60","c50-h60",1,2
"c50-h36","c50-h60",0.786109043704625,2
"c55-h36","c50-h60",0.710164738423118,2
"c55-h60","c50-h36",0.709027673420113,2
"c50-h60","c50-h36",0.786109043704625,2
"c50-h36","c50-h36",1,2
"c55-h36","c50-h36",0.902721508496433,2
"c55-h60","c55-h36",0.781712242071989,2
"c50-h60","c55-h36",0.710164738423118,2
"c50-h36","c55-h36",0.902721508496433,2
"c55-h36","c55-h36",1,2
"c55-h60","c55-h60",1,3
"c55-h36","c55-h60",0.785592813662474,3
"c50-h36","c55-h60",0.713667511098197,3
"c50-h60","c55-h60",0.906603681677242,3
"c55-h60","c55-h36",0.785592813662474,3
"c55-h36","c55-h36",1,3
"c50-h36","c55-h36",0.907249099824344,3
"c50-h60","c55-h36",0.716154510684067,3
"c55-h60","c50-h36",0.713667511098197,3
"c55-h36","c50-h36",0.907249099824344,3
"c50-h36","c50-h36",1,3
"c50-h60","c50-h36",0.785571324637126,3
"c55-h60","c50-h60",0.906603681677242,3
"c55-h36","c50-h60",0.716154510684067,3
"c50-h36","c50-h60",0.785571324637126,3
"c50-h60","c50-h60",1,3
"c55-h36","c55-h36",1,4
"c55-h60","c55-h36",0.778940838919231,4
"c50-h60","c55-h36",0.708070601201447,4
"c50-h36","c55-h36",0.902779059013593,4
"c55-h36","c55-h60",0.778940838919231,4
"c55-h60","c55-h60",1,4
"c50-h60","c55-h60",0.902308146289272,4
"c50-h36","c55-h60",0.697578317875652,4
"c55-h36","c50-h60",0.708070601201447,4
"c55-h60","c50-h60",0.902308146289272,4
"c50-h60","c50-h60",1,4
"c50-h36","c50-h60",0.776577357891853,4
"c55-h36","c50-h36",0.902779059013593,4
"c55-h60","c50-h36",0.697578317875652,4
"c50-h60","c50-h36",0.776577357891853,4
"c50-h36","c50-h36",1,4
"c55-h36","c55-h36",1,5
"c55-h60","c55-h36",0.767791176698231,5
"c50-h36","c55-h36",0.897782301811198,5
"c50-h60","c55-h36",0.692299001686276,5
"c55-h36","c55-h60",0.767791176698231,5
"c55-h60","c55-h60",1,5
"c50-h36","c55-h60",0.687484079616295,5
"c50-h60","c55-h60",0.895454091568983,5
"c55-h36","c50-h36",0.897782301811198,5
"c55-h60","c50-h36",0.687484079616295,5
"c50-h36","c50-h36",1,5
"c50-h60","c50-h36",0.772968973504184,5
"c55-h36","c50-h60",0.692299001686276,5
"c55-h60","c50-h60",0.895454091568983,5
"c50-h36","c50-h60",0.772968973504184,5
"c50-h60","c50-h60",1,5
"c55-h36","c55-h36",1,6
"c55-h60","c55-h36",0.769464342781003,6
"c50-h60","c55-h36",0.686362692607164,6
"c50-h36","c55-h36",0.895881662988788,6
"c55-h36","c55-h60",0.769464342781003,6
"c55-h60","c55-h60",1,6
"c50-h60","c55-h60",0.890947613302526,6
"c50-h36","c55-h60",0.688550386958218,6
"c55-h36","c50-h60",0.686362692607164,6
"c55-h60","c50-h60",0.890947613302526,6
"c50-h60","c50-h60",1,6
"c50-h36","c50-h60",0.771144975024287,6
"c55-h36","c50-h36",0.895881662988788,6
"c55-h60","c50-h36",0.688550386958218,6
"c50-h60","c50-h36",0.771144975024287,6
"c50-h36","c50-h36",1,6
"c55-h36","c55-h36",1,7
"c55-h60","c55-h36",0.778295111149159,7
"c50-h36","c55-h36",0.901470674679329,7
"c50-h60","c55-h36",0.705718970125734,7
"c45-h36","c55-h36",0.85533962523761,7
"c45-h48","c55-h36",0.743857838390624,7
"c45-h60","c55-h36",0.670358217060962,7
"c60-h60","c55-h36",0.66935304918192,7
"c55-h24","c55-h36",0.822526473790064,7
"c55-h48","c55-h36",0.862119850733711,7
"c50-h24","c55-h36",0.740630224537167,7
"c50-h48","c55-h36",0.777999524054344,7
"c45-h24","c55-h36",0.702563350025794,7
"c60-h48","c55-h36",0.735694941299323,7
"c60-h24","c55-h36",0.71194917535951,7
"c60-h36","c55-h36",0.850213184894484,7
"c55-h36","c55-h60",0.778295111149159,7
"c55-h60","c55-h60",1,7
"c50-h36","c55-h60",0.693141391707694,7
"c50-h60","c55-h60",0.898501629001955,7
"c45-h36","c55-h60",0.658568830051248,7
"c45-h48","c55-h60",0.760042462330475,7
"c45-h60","c55-h60",0.853281379797837,7
"c60-h60","c55-h60",0.850377885676402,7
"c55-h24","c55-h60",0.633595029947425,7
"c55-h48","c55-h60",0.896103691700113,7
"c50-h24","c55-h60",0.566832562880533,7
"c50-h48","c55-h60",0.800204152060078,7
"c45-h24","c55-h60",0.538194001240309,7
"c60-h48","c55-h60",0.755695172181873,7
"c60-h24","c55-h60",0.54801163788565,7
"c60-h36","c55-h60",0.659237787111401,7
"c55-h36","c50-h36",0.901470674679329,7
"c55-h60","c50-h36",0.693141391707694,7
"c50-h36","c50-h36",1,7
"c50-h60","c50-h36",0.777166982857432,7
"c45-h36","c50-h36",0.945182228917176,7
"c45-h48","c50-h36",0.81943959939042,7
"c45-h60","c50-h36",0.732947881470854,7
"c60-h60","c50-h36",0.587999935574417,7
"c55-h24","c50-h36",0.745331884915227,7
"c55-h48","c50-h36",0.773687079908947,7
"c50-h24","c50-h36",0.820732280562514,7
"c50-h48","c50-h36",0.862858700408265,7
"c45-h24","c50-h36",0.773275817325666,7
"c60-h48","c50-h36",0.650460666032169,7
"c60-h24","c50-h36",0.636984100952839,7
"c60-h36","c50-h36",0.760516057710563,7
"c55-h36","c50-h60",0.705718970125734,7
"c55-h60","c50-h60",0.898501629001955,7
"c50-h36","c50-h60",0.777166982857432,7
"c50-h60","c50-h60",1,7
"c45-h36","c50-h60",0.732300316307915,7
"c45-h48","c50-h60",0.843362156493963,7
"c45-h60","c50-h60",0.943750272870299,7
"c60-h60","c50-h60",0.757985527282111,7
"c55-h24","c50-h60",0.578733935801545,7
"c55-h48","c50-h60",0.807580429186711,7
"c50-h24","c50-h60",0.635656764872564,7
"c50-h48","c50-h60",0.894054245503311,7
"c45-h24","c50-h60",0.597833780395895,7
"c60-h48","c50-h60",0.672666242357199,7
"c60-h24","c50-h60",0.491925301550533,7
"c60-h36","c50-h60",0.591941717439845,7
"c55-h36","c45-h36",0.85533962523761,7
"c55-h60","c45-h36",0.658568830051248,7
"c50-h36","c45-h36",0.945182228917176,7
"c50-h60","c45-h36",0.732300316307915,7
"c45-h36","c45-h36",1,7
"c45-h48","c45-h36",0.863774510804878,7
"c45-h60","c45-h36",0.773594163013879,7
"c60-h60","c45-h36",0.560455656058589,7
"c55-h24","c45-h36",0.713068149846395,7
"c55-h48","c45-h36",0.733129917867641,7
"c50-h24","c45-h36",0.782558250863239,7
"c50-h48","c45-h36",0.81203235262173,7
"c45-h24","c45-h36",0.818941023340888,7
"c60-h48","c45-h36",0.61870459774742,7
"c60-h24","c45-h36",0.612712564024884,7
"c60-h36","c45-h36",0.728019724944389,7
"c55-h36","c45-h48",0.743857838390624,7
"c55-h60","c45-h48",0.760042462330475,7
"c50-h36","c45-h48",0.81943959939042,7
"c50-h60","c45-h48",0.843362156493963,7
"c45-h36","c45-h48",0.863774510804878,7
"c45-h48","c45-h48",1,7
"c45-h60","c45-h48",0.889869992536362,7
"c60-h60","c45-h48",0.648936003446623,7
"c55-h24","c45-h48",0.615760937921081,7
"c55-h48","c45-h48",0.853021483939838,7
"c50-h24","c45-h48",0.678466185507183,7
"c50-h48","c45-h48",0.943876527451472,7
"c45-h24","c45-h48",0.709772014772962,7
"c60-h48","c45-h48",0.7181257559162,7
"c60-h24","c45-h48",0.527157775288068,7
"c60-h36","c45-h48",0.63013016859728,7
"c55-h36","c45-h60",0.670358217060962,7
"c55-h60","c45-h60",0.853281379797837,7
"c50-h36","c45-h60",0.732947881470854,7
"c50-h60","c45-h60",0.943750272870299,7
"c45-h36","c45-h60",0.773594163013879,7
"c45-h48","c45-h60",0.889869992536362,7
"c45-h60","c45-h60",1,7
"c60-h60","c45-h60",0.72366750201772,7
"c55-h24","c45-h60",0.554440474854502,7
"c55-h48","c45-h60",0.762615551502132,7
"c50-h24","c45-h60",0.606474841728703,7
"c50-h48","c45-h60",0.839365592603424,7
"c45-h24","c45-h60",0.634046790203277,7
"c60-h48","c45-h60",0.638152116582662,7
"c60-h24","c45-h60",0.475528112561776,7
"c60-h36","c45-h60",0.569454078233759,7
"c55-h36","c60-h60",0.66935304918192,7
