"truth_scenario","n","event_target","effect","candidate","c","h","score_key","lambda","expected_eligible","expected_treated","expected_control","expected_events","distance_from_70","population_r2","diagnostic_draws","scenario","K","analysis_scenario"
1,4000,35,"null","c50-h36",50,36,"higher",0.00030927963450513,NA,1366.00203752654,1435.84196247347,43.3155780335248,-26.6844219664752,0.00436578709361819,2000000,1,4,1
1,4000,35,"null","c50-h60",50,60,"higher",0.00030927963450513,NA,1366.00203752654,1435.84196247347,71.7042962253707,1.70429622537073,0.00721149193448875,2000000,1,4,1
1,4000,35,"null","c55-h36",55,36,"higher",0.00030927963450513,NA,1057.62194763893,942.64805236108,35.0116540231407,-34.9883459768593,0.00424492769146035,2000000,1,4,1
1,4000,35,"null","c55-h60",55,60,"higher",0.00030927963450513,NA,1057.62194763893,942.64805236108,57.9219283648,-12.0780716352,0.00701028539793882,2000000,1,4,1
1,4000,35,"null","c50-h36",50,36,"reduced",0.00030927963450513,NA,1366.00203752654,1435.84196247347,43.3155780335248,-26.6844219664752,0.0022003637441286,2000000,1,4,2
1,4000,35,"null","c50-h60",50,60,"reduced",0.00030927963450513,NA,1366.00203752654,1435.84196247347,71.7042962253707,1.70429622537073,0.00363076108623184,2000000,1,4,2
1,4000,35,"null","c55-h36",55,36,"reduced",0.00030927963450513,NA,1057.62194763893,942.64805236108,35.0116540231407,-34.9883459768593,0.00184562722501953,2000000,1,4,2
1,4000,35,"null","c55-h60",55,60,"reduced",0.00030927963450513,NA,1057.62194763893,942.64805236108,57.9219283648,-12.0780716352,0.0030435556517993,2000000,1,4,2
2,8000,35,"null","c50-h36",50,36,"higher",0.000153775122859788,NA,2732.00407505307,2871.68392494694,43.2953478856222,-26.7046521143778,0.00218540767063121,2000000,2,4,3
2,8000,35,"null","c50-h60",50,60,"higher",0.000153775122859788,NA,2732.00407505307,2871.68392494694,71.9146541080212,1.91465410802115,0.00362615027999467,2000000,2,4,3
2,8000,35,"null","c55-h36",55,36,"higher",0.000153775122859788,NA,2115.24389527785,1885.29610472216,35.0118305639458,-34.9881694360542,0.00212526133931118,2000000,2,4,3
2,8000,35,"null","c55-h60",55,60,"higher",0.000153775122859788,NA,2115.24389527785,1885.29610472216,58.1374123226874,-11.8625876773126,0.00352596692262785,2000000,2,4,3
2,8000,35,"null","c50-h36",50,36,"reduced",0.000153775122859788,NA,2732.00407505307,2871.68392494694,43.2953478856222,-26.7046521143778,0.00110233158142341,2000000,2,4,4
2,8000,35,"null","c50-h60",50,60,"reduced",0.000153775122859788,NA,2732.00407505307,2871.68392494694,71.9146541080212,1.91465410802115,0.00182808389927901,2000000,2,4,4
2,8000,35,"null","c55-h36",55,36,"reduced",0.000153775122859788,NA,2115.24389527785,1885.29610472216,35.0118305639458,-34.9881694360542,0.000925042583171992,2000000,2,4,4
2,8000,35,"null","c55-h60",55,60,"reduced",0.000153775122859788,NA,2115.24389527785,1885.29610472216,58.1374123226874,-11.8625876773126,0.00153360610113739,2000000,2,4,4
