"scenario","K","effective_library_size"
1,4,1.38757443001806
2,4,1.36247478751462
3,4,1.35558569287078
4,4,1.3729260659551
5,4,1.39209174299248
6,4,1.39656833393886
7,16,1.78103954787038
8,16,1.78264891242678
9,16,1.79952514818621
10,16,1.78526726128164
11,16,1.85114243029716
12,16,1.80714701571353
13,4,1.39073669629806
14,4,1.38299993658663
15,4,1.38381195068428
16,4,1.38450852239722
17,4,1.39671496254493
18,4,1.38190092651678
19,16,1.79240466946885
20,16,1.78790855694308
21,16,1.76846352612479
22,16,1.76964288961151
23,16,1.8002390951288
24,16,1.79320159988392
25,4,1.37573287352676
26,4,1.35658439620392
27,4,1.37790128032667
28,4,1.37295792623648
29,4,1.39680835567582
30,4,1.36494439439066
31,16,1.77747894963901
32,16,1.77744126081767
33,16,1.75463584741238
34,16,1.73247021417165
35,16,1.8080438534831
36,16,1.79634600697227
