"scenario","n","event_target","K","effect","coverage","coverage_mcse","failure_probability","n_attempted"
1,4000,35,4,"null",0.9675,0.0039650819663659,0,2000
2,8000,35,4,"null",0.966,0.00405240669232495,0,2000
3,4000,70,4,"null",0.9625,0.00424816136699161,0,2000
4,8000,70,4,"null",0.972,0.00368890227574544,0,2000
5,4000,140,4,"null",0.9715,0.0037207358143249,0,2000
6,8000,140,4,"null",0.9665,0.00402354010791492,0,2000
7,4000,35,16,"null",0.98,0.00313049516849971,0,2000
8,8000,35,16,"null",0.9785,0.00324328151722911,0,2000
9,4000,70,16,"null",0.976,0.00342227994179319,0,2000
10,8000,70,16,"null",0.9785,0.00324328151722911,0,2000
11,4000,140,16,"null",0.977,0.00335193973692845,0,2000
12,8000,140,16,"null",0.9815,0.00301311715670002,0,2000
13,4000,35,4,"homogeneous",0.9695,0.00384511053157123,0,2000
14,8000,35,4,"homogeneous",0.9695,0.00384511053157123,0,2000
15,4000,70,4,"homogeneous",0.966,0.00405240669232495,0,2000
16,8000,70,4,"homogeneous",0.978,0.00327993902382345,0,2000
17,4000,140,4,"homogeneous",0.9665,0.00402354010791492,0,2000
18,8000,140,4,"homogeneous",0.9655,0.00408103847078168,0,2000
19,4000,35,16,"homogeneous",0.9685,0.00390562094934979,0,2000
20,8000,35,16,"homogeneous",0.971,0.00375226598204339,0,2000
21,4000,70,16,"homogeneous",0.972,0.00368890227574546,0,2000
22,8000,70,16,"homogeneous",0.964,0.00416557318985035,0,2000
23,4000,140,16,"homogeneous",0.9745,0.00352489361541593,0,2000
24,8000,140,16,"homogeneous",0.978,0.00327993902382345,0,2000
25,4000,35,4,"heterogeneous",0.9685,0.0039056209493498,0,2000
26,8000,35,4,"heterogeneous",0.9635,0.00419331312925709,0,2000
27,4000,70,4,"heterogeneous",0.974,0.00355837041354607,0,2000
28,8000,70,4,"heterogeneous",0.9675,0.0039650819663659,0,2000
29,4000,140,4,"heterogeneous",0.9725,0.00365675744341897,0,2000
30,8000,140,4,"heterogeneous",0.976,0.00342227994179319,0,2000
31,4000,35,16,"heterogeneous",0.976,0.00342227994179319,0,2000
32,8000,35,16,"heterogeneous",0.9795,0.00316857617866448,0,2000
33,4000,70,16,"heterogeneous",0.983,0.00289058817544112,0,2000
34,8000,70,16,"heterogeneous",0.978,0.00327993902382345,0,2000
35,4000,140,16,"heterogeneous",0.9755,0.00345685912353975,0,2000
36,8000,140,16,"heterogeneous",0.982,0.002972877394041,0,2000
