"scenario","n","event_target","event_regime","K","effect","method","selector","candidate","mean_truth","bias","bias_mcse","empse","empse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","mse","mse_mcse","coverage","coverage_mcse","coverage_conditional","coverage_conditional_mcse","bias_eliminated_coverage","bias_eliminated_coverage_mcse","rejection","rejection_mcse","convergence","convergence_mcse","failure_probability","median_width","median_ess1","median_ess0","median_max_weight","n_used","n_attempted"
1,4000,35,"below",4,"null","bonferroni","effect_seeking",NA,0,-0.00290700729722957,0.000134534502844002,0.00601656587356654,9.51540507515502e-05,0.00652178473542683,2.95672969180329e-05,8.39713006517451,1.78338408613863,4.4631656804656e-05,1.47095957217715e-06,0.987,0.00253288373203351,0.987,0.00253288373203351,0.993,0.00186426929385215,0.013,0.00253288373203351,1,0,0,0.0313105212696259,1152.98550358694,1208.68766764577,6.63082728820165,2000,2000
2,8000,35,"below",4,"null","bonferroni","effect_seeking",NA,0,-0.00136734062925149,7.14445588521449e-05,0.00319509780431761,5.0531566514368e-05,0.00328323387165527,1.50215653854848e-05,2.75847791634314,1.691798537135,1.20731660505675e-05,3.98703080475914e-07,0.989,0.00233227356885937,0.989,0.00233227356885937,0.9885,0.00238408787589719,0.011,0.00233227356885937,1,0,0,0.0158258960105842,2360.07799061391,2482.51254402288,6.99815023955758,2000,2000
3,4000,70,"boundary",4,"null","bonferroni","effect_seeking",NA,0,-0.00435080649337182,0.000200536260027608,0.00896825418750609,0.000141836012775988,0.00904930525956753,3.64196176029683e-05,0.903755294696751,1.64668707132047,9.93188855229011e-05,3.47865583490564e-06,0.9795,0.00316857617866448,0.9795,0.00316857617866448,0.9885,0.00238408787589719,0.0205,0.00316857617866448,1,0,0,0.0438101981927289,1165.19869403013,1221.88406214204,6.62209515370114,2000,2000
4,8000,70,"boundary",4,"null","bonferroni","effect_seeking",NA,0,-0.0020904375564421,9.83449867551898e-05,0.00439812151261842,6.95577986541842e-05,0.00458085065833713,1.90944150119112e-05,4.15470889547849,1.70349440546578,2.37037302807206e-05,7.90900239189593e-07,0.9895,0.00227922684259377,0.9895,0.00227922684259377,0.9935,0.00179690706493129,0.0105,0.00227922684259378,1,0,0,0.0222323145908475,2361.24880591187,2492.66283531481,7.00772497055785,2000,2000
5,4000,140,"above",4,"null","bonferroni","effect_seeking",NA,0,-0.0051763834353208,0.000266513578486465,0.0119188495684492,0.000188500689690615,0.0123977520795437,4.64476108778493e-05,4.01802630651737,1.69060809487738,0.000168782891017267,5.48002196715355e-06,0.9885,0.00238408787589719,0.9885,0.00238408787589719,0.995,0.00157718102955875,0.0115,0.0023840878758972,1,0,0,0.0603470448434149,1129.75459738199,1190.63075044335,6.54617371916526,2000,2000
6,8000,140,"above",4,"null","bonferroni","effect_seeking",NA,0,-0.00296126424325589,0.000136243414567225,0.00609299072918001,9.63627360285907e-05,0.00638117000149509,2.50419005813475e-05,4.7296850614748,1.70656541843778,4.58750596762465e-05,1.60354963085971e-06,0.984,0.00280570846668003,0.984,0.00280570846668003,0.9905,0.00216907238237915,0.016,0.00280570846668003,1,0,0,0.0309370048906992,2056.67794143916,1797.83800321856,6.97530564939704,2000,2000
7,4000,35,"below",16,"null","bonferroni","effect_seeking",NA,0,-0.00573524893908269,0.000150582200910801,0.00673424074876165,0.000106504324800315,0.0072206068141035,6.46778484478583e-05,7.2222850873173,1.94885179552579,7.82204038562999e-05,2.95205989929281e-06,0.9965,0.00132055859392909,0.9965,0.00132055859392909,0.997,0.00122290637417588,0.0035,0.0013205585939291,1,0,0,0.0353611406415104,1006.7947960766,882.118894551806,6.80966216852599,2000,2000
8,8000,35,"below",16,"null","bonferroni","effect_seeking",NA,0,-0.00276211051180518,7.36125615481916e-05,0.00329205383239287,5.20649593185048e-05,0.00362295804469891,3.22399200781978e-05,10.0516039273124,1.99710586604752,1.84614541055796e-05,7.26845919625658e-07,0.996,0.00141138230115019,0.996,0.00141138230115019,0.999,0.000706753139363385,0.004,0.00141138230115019,1,0,0,0.0181284460915027,1985.32344300172,1734.49563564589,7.30300559235971,2000,2000
9,4000,70,"boundary",16,"null","bonferroni","effect_seeking",NA,0,-0.00790053975016364,0.000203951720896109,0.00912099824103529,0.000144251712317378,0.0098922979627565,8.2466931176329e-05,8.45630819498617,1.93897901303316,0.000145569540952428,5.31197030221066e-06,0.9945,0.00165374574829385,0.9945,0.00165374574829385,0.998,0.000998999499499375,0.0055,0.00165374574829385,1,0,0,0.04926714390621,1001.38843375447,875.222976033008,6.78320865278892,2000,2000
10,8000,70,"boundary",16,"null","bonferroni","effect_seeking",NA,0,-0.00409118392121662,0.000106134009865847,0.00474645721569336,7.50668471488734e-05,0.0050797074874485,4.29377430022234e-05,7.02103182671303,1.9191555663556,3.92553775495787e-05,1.56322085271876e-06,0.9945,0.00165374574829385,0.9945,0.00165374574829385,0.9985,0.000865375640979091,0.0055,0.00165374574829385,1,0,0,0.0253187348941462,1975.87416569541,1725.97915803323,7.26521031875274,2000,2000
