"candidate_1","candidate_2","correlation","scenario"
"c55-h36","c55-h36",1,1
"c55-h60","c55-h36",0.780309421373377,1
"c50-h36","c55-h36",0.903463609188085,1
"c50-h60","c55-h36",0.702028014755672,1
"c55-h36","c55-h60",0.780309421373377,1
"c55-h60","c55-h60",1,1
"c50-h36","c55-h60",0.701973822664211,1
"c50-h60","c55-h60",0.8985422463689,1
"c55-h36","c50-h36",0.903463609188085,1
"c55-h60","c50-h36",0.701973822664211,1
"c50-h36","c50-h36",1,1
"c50-h60","c50-h36",0.779155895186815,1
"c55-h36","c50-h60",0.702028014755672,1
"c55-h60","c50-h60",0.8985422463689,1
"c50-h36","c50-h60",0.779155895186815,1
"c50-h60","c50-h60",1,1
"c55-h60","c55-h60",1,2
"c50-h60","c55-h60",0.897624979873182,2
"c50-h36","c55-h60",0.684874028489314,2
"c55-h36","c55-h60",0.767154215279199,2
"c55-h60","c50-h60",0.897624979873182,2
"c50-h60","c50-h60",1,2
"c50-h36","c50-h60",0.770468203721075,2
"c55-h36","c50-h60",0.690897945710556,2
"c55-h60","c50-h36",0.684874028489314,2
"c50-h60","c50-h36",0.770468203721075,2
"c50-h36","c50-h36",1,2
"c55-h36","c50-h36",0.895976897457546,2
"c55-h60","c55-h36",0.767154215279199,2
"c50-h60","c55-h36",0.690897945710556,2
"c50-h36","c55-h36",0.895976897457546,2
"c55-h36","c55-h36",1,2
"c55-h36","c55-h36",1,3
"c55-h60","c55-h36",0.772790844557239,3
"c50-h36","c55-h36",0.899279929722789,3
"c50-h60","c55-h36",0.69399308637007,3
"c55-h36","c55-h60",0.772790844557239,3
"c55-h60","c55-h60",1,3
"c50-h36","c55-h60",0.703590227617689,3
"c50-h60","c55-h60",0.897573087754495,3
"c55-h36","c50-h36",0.899279929722789,3
"c55-h60","c50-h36",0.703590227617689,3
"c50-h36","c50-h36",1,3
"c50-h60","c50-h36",0.782346090159101,3
"c55-h36","c50-h60",0.69399308637007,3
"c55-h60","c50-h60",0.897573087754495,3
"c50-h36","c50-h60",0.782346090159101,3
"c50-h60","c50-h60",1,3
"c55-h36","c55-h36",1,4
"c55-h60","c55-h36",0.768639292594097,4
"c50-h60","c55-h36",0.68916239378146,4
"c50-h36","c55-h36",0.902984341494382,4
"c55-h36","c55-h60",0.768639292594097,4
"c55-h60","c55-h60",1,4
"c50-h60","c55-h60",0.906401331883399,4
"c50-h36","c55-h60",0.70399411704824,4
"c55-h36","c50-h60",0.68916239378146,4
"c55-h60","c50-h60",0.906401331883399,4
"c50-h60","c50-h60",1,4
"c50-h36","c50-h60",0.773953019091652,4
"c55-h36","c50-h36",0.902984341494382,4
"c55-h60","c50-h36",0.70399411704824,4
"c50-h60","c50-h36",0.773953019091652,4
"c50-h36","c50-h36",1,4
"c55-h36","c55-h36",1,5
