"scenario","K","effective_library_size"
1,4,1.373342945983
2,4,1.39444622809123
3,4,1.37924410629393
4,4,1.37995124768491
5,4,1.38096779848891
6,4,1.38537509604673
7,16,1.78491204575265
8,16,1.75871802216517
9,16,1.82717108436534
10,16,1.81138942497364
11,16,1.85059617465445
12,16,1.76171816032665
13,4,1.36487371884373
14,4,1.36502779179046
15,4,1.38219372530436
16,4,1.37510586487577
17,4,1.39178593704231
18,4,1.3858622679858
19,16,1.77888391085543
20,16,1.77475838528289
21,16,1.78211180506775
22,16,1.77515391431307
23,16,1.82635521652928
24,16,1.79805619761694
25,4,1.36421876404042
26,4,1.37708110647598
27,4,1.37674007547054
28,4,1.38110521932049
29,4,1.39299254135346
30,4,1.39911973061544
31,16,1.75893333246849
32,16,1.80156978213261
33,16,1.7514323568033
34,16,1.77848129014511
35,16,1.80469160363557
36,16,1.76166073374692
