"scenario","n","event_target","K","effect","coverage","coverage_mcse","failure_probability","n_attempted"
1,4000,35,4,"null",0.957,0.00453602248671675,0,2000
2,8000,35,4,"null",0.973,0.00362429303451031,0,2000
3,4000,70,4,"null",0.9685,0.00390562094934979,0,2000
4,8000,70,4,"null",0.9595,0.00440793318914885,0,2000
5,4000,140,4,"null",0.964,0.00416557318985035,0,2000
6,8000,140,4,"null",0.969,0.0038754999677461,0,2000
7,4000,35,16,"null",0.9745,0.00352489361541593,0,2000
8,8000,35,16,"null",0.974,0.00355837041354607,0,2000
9,4000,70,16,"null",0.982,0.002972877394041,0,2000
10,8000,70,16,"null",0.975,0.00349106001094223,0,2000
11,4000,140,16,"null",0.9765,0.00338731088032971,0,2000
12,8000,140,16,"null",0.975,0.00349106001094223,0,2000
13,4000,35,4,"homogeneous",0.9675,0.0039650819663659,0,2000
14,8000,35,4,"homogeneous",0.961,0.00432891441356837,0,2000
15,4000,70,4,"homogeneous",0.9705,0.00378350036342009,0,2000
16,8000,70,4,"homogeneous",0.9765,0.00338731088032971,0,2000
17,4000,140,4,"homogeneous",0.965,0.00410944035119138,0,2000
18,8000,140,4,"homogeneous",0.9695,0.00384511053157123,0,2000
19,4000,35,16,"homogeneous",0.9675,0.0039650819663659,0,2000
20,8000,35,16,"homogeneous",0.9715,0.00372073581432489,0,2000
21,4000,70,16,"homogeneous",0.974,0.00355837041354607,0,2000
22,8000,70,16,"homogeneous",0.97,0.00381444622455213,0,2000
23,4000,140,16,"homogeneous",0.9705,0.0037835003634201,0,2000
24,8000,140,16,"homogeneous",0.9825,0.00293204280323463,0,2000
25,4000,35,4,"heterogeneous",0.963,0.00422084114839685,0,2000
26,8000,35,4,"heterogeneous",0.9625,0.00424816136699162,0,2000
27,4000,70,4,"heterogeneous",0.964,0.00416557318985035,0,2000
28,8000,70,4,"heterogeneous",0.9765,0.0033873108803297,0,2000
29,4000,140,4,"heterogeneous",0.972,0.00368890227574545,0,2000
30,8000,140,4,"heterogeneous",0.9675,0.0039650819663659,0,2000
31,4000,35,16,"heterogeneous",0.9745,0.00352489361541592,0,2000
32,8000,35,16,"heterogeneous",0.976,0.00342227994179319,0,2000
33,4000,70,16,"heterogeneous",0.978,0.00327993902382345,0,2000
34,8000,70,16,"heterogeneous",0.9805,0.00309190475273739,0,2000
35,4000,140,16,"heterogeneous",0.984,0.00280570846668003,0,2000
36,8000,140,16,"heterogeneous",0.977,0.00335193973692845,0,2000
