"scenario","n","event_target","event_regime","K","effect","method","selector","candidate","mean_truth","bias","bias_mcse","empse","empse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","mse","mse_mcse","coverage","coverage_mcse","coverage_conditional","coverage_conditional_mcse","bias_eliminated_coverage","bias_eliminated_coverage_mcse","rejection","rejection_mcse","convergence","convergence_mcse","failure_probability","median_width","median_ess1","median_ess0","median_max_weight","n_used","n_attempted"
1,4000,35,"below",4,"null","bonferroni","effect_seeking",NA,0,-0.00285186546029427,0.000142073507841331,0.00635372042670129,0.000100486265528928,0.00659864588416396,2.96929774264826e-05,3.85483529356081,1.70768994030135,4.84827149826704e-05,1.69062648132023e-06,0.9845,0.00276222283677476,0.9845,0.00276222283677476,0.9895,0.00227922684259377,0.0155,0.00276222283677476,1,0,0,0.0315062204625294,1141.69559360574,1194.74211921815,6.61482278419719,2000,2000
2,8000,35,"below",4,"null","bonferroni","effect_seeking",NA,0,-0.00138080211734735,6.95430659503236e-05,0.00311006045657349,4.91866717233758e-05,0.003276869620553,1.49299165641292e-05,5.36353444920787,1.73413009353247,1.15742542927913e-05,3.74470998829702e-07,0.992,0.0019919839356782,0.992,0.0019919839356782,0.993,0.00186426929385215,0.008,0.0019919839356782,1,0,0,0.0157648880742093,2360.4834984655,2469.92514904518,7.0036030962878,2000,2000
3,4000,70,"boundary",4,"null","bonferroni","effect_seeking",NA,0,-0.00381795376340578,0.000190814323572722,0.00853347597178494,0.000134959846325927,0.0090291654517737,3.64336888813323e-05,5.80876399755155,1.72700903481763,8.73605729944546e-05,2.98773960622705e-06,0.9865,0.00258047960658479,0.9865,0.00258047960658479,0.994,0.0017268468374468,0.0135,0.00258047960658479,1,0,0,0.0437719351123006,1143.38967976344,1205.31189088955,6.60207251104717,2000,2000
4,8000,70,"boundary",4,"null","bonferroni","effect_seeking",NA,0,-0.00197146273921167,9.861790043859e-05,0.00441032658357987,6.97508260332735e-05,0.00460247338806364,1.90908161932573e-05,4.3567477564848,1.70625844494138,2.33279204156444e-05,8.21526310285162e-07,0.9845,0.00276222283677476,0.9845,0.00276222283677476,0.9905,0.00216907238237915,0.0155,0.00276222283677476,1,0,0,0.0222816624887286,2358.64503126361,2483.70405006882,6.99738358758509,2000,2000
5,4000,140,"above",4,"null","bonferroni","effect_seeking",NA,0,-0.00567814969564891,0.000267937467670153,0.0119825278285923,0.000189507783192914,0.0123141594235602,4.5707284814874e-05,2.76762632819958,1.66946720123595,0.000175750566642605,6.01821596602596e-06,0.9795,0.00316857617866448,0.9795,0.00316857617866448,0.989,0.00233227356885937,0.0205,0.00316857617866448,1,0,0,0.0599731499850255,1158.24887630434,1216.54505247771,6.59634432256174,2000,2000
6,8000,140,"above",4,"null","bonferroni","effect_seeking",NA,0,-0.00288593703453461,0.000133932718872154,0.0059896532761901,9.47284188029556e-05,0.00638304391513172,2.49318928159995e-05,6.5678365808822,1.73604716747411,4.41866409630887e-05,1.47460320780742e-06,0.985,0.00271799558498538,0.985,0.00271799558498538,0.99,0.0022248595461287,0.015,0.00271799558498538,1,0,0,0.0310588937903765,2357.1925402696,2481.93425660115,6.99212762425823,2000,2000
7,4000,35,"below",16,"null","bonferroni","effect_seeking",NA,0,-0.00546682910602839,0.000145228919526248,0.00649483472719074,0.000102718036541282,0.0072146198527049,6.38271393852406e-05,11.0824240453843,2.01299311737494,7.20480071689752e-05,2.68009788758491e-06,0.9955,0.00149662119455792,0.9955,0.00149662119455792,0.999,0.000706753139363385,0.0045,0.00149662119455793,1,0,0,0.036017397097303,999.591524885125,869.949116919457,6.86149960357134,2000,2000
8,8000,35,"below",16,"null","bonferroni","effect_seeking",NA,0,-0.00284559095113577,7.6624629784133e-05,0.00342675761896153,5.41953458567614e-05,0.0036326569799976,3.41155207071187e-05,6.00857673436705,1.94987310020091,1.98341843064071e-05,8.38471379152505e-07,0.995,0.00157718102955875,0.995,0.00157718102955875,0.9935,0.00179690706493129,0.005,0.00157718102955875,1,0,0,0.017388721946809,2019.52113862174,1779.68922953434,7.28211184224437,2000,2000
9,4000,70,"boundary",16,"null","bonferroni","effect_seeking",NA,0,-0.00790881892638277,0.000205511651108449,0.00919076044093424,0.000145355025411462,0.0099481332212958,8.29475804055297e-05,8.24058885256473,1.93519940941786,0.000146977259254211,5.66087458526498e-06,0.9945,0.00165374574829385,0.9945,0.00165374574829385,0.998,0.000998999499499375,0.0055,0.00165374574829385,1,0,0,0.0500781505071846,995.087863863019,872.273371909232,6.84138826048627,2000,2000
10,8000,70,"boundary",16,"null","bonferroni","effect_seeking",NA,0,-0.00402818740043309,0.000102505846064103,0.00458420079780925,7.25007063059815e-05,0.00504307867695165,4.2915499243122e-05,10.0099864596178,1.97571764110358,3.72306832391656e-05,1.38258545611195e-06,0.994,0.0017268468374468,0.994,0.0017268468374468,0.9985,0.000865375640979091,0.006,0.0017268468374468,1,0,0,0.0251167045676396,1989.7882462799,1738.08193449135,7.2716369639238,2000,2000
