"scenario","n","event_target","K","effect","method","selector","candidate","frequency","count","denominator"
7,4000,35,16,"null","bonferroni","effect_seeking","c45-h24",0.0945,189,2000
8,8000,35,16,"null","bonferroni","effect_seeking","c45-h24",0.1065,213,2000
9,4000,70,16,"null","bonferroni","effect_seeking","c45-h24",0.097,194,2000
10,8000,70,16,"null","bonferroni","effect_seeking","c45-h24",0.096,192,2000
11,4000,140,16,"null","bonferroni","effect_seeking","c45-h24",0.087,174,2000
12,8000,140,16,"null","bonferroni","effect_seeking","c45-h24",0.0805,161,2000
19,4000,35,16,"homogeneous","bonferroni","effect_seeking","c45-h24",0.078,156,2000
20,8000,35,16,"homogeneous","bonferroni","effect_seeking","c45-h24",0.075,150,2000
21,4000,70,16,"homogeneous","bonferroni","effect_seeking","c45-h24",0.0775,155,2000
22,8000,70,16,"homogeneous","bonferroni","effect_seeking","c45-h24",0.0715,143,2000
23,4000,140,16,"homogeneous","bonferroni","effect_seeking","c45-h24",0.054,108,2000
24,8000,140,16,"homogeneous","bonferroni","effect_seeking","c45-h24",0.0505,101,2000
31,4000,35,16,"heterogeneous","bonferroni","effect_seeking","c45-h24",0.108,216,2000
32,8000,35,16,"heterogeneous","bonferroni","effect_seeking","c45-h24",0.127,254,2000
33,4000,70,16,"heterogeneous","bonferroni","effect_seeking","c45-h24",0.124,248,2000
34,8000,70,16,"heterogeneous","bonferroni","effect_seeking","c45-h24",0.133,266,2000
35,4000,140,16,"heterogeneous","bonferroni","effect_seeking","c45-h24",0.11,220,2000
36,8000,140,16,"heterogeneous","bonferroni","effect_seeking","c45-h24",0.1145,229,2000
7,4000,35,16,"null","naive","effect_seeking","c45-h24",0.0945,189,2000
8,8000,35,16,"null","naive","effect_seeking","c45-h24",0.1065,213,2000
9,4000,70,16,"null","naive","effect_seeking","c45-h24",0.097,194,2000
10,8000,70,16,"null","naive","effect_seeking","c45-h24",0.096,192,2000
11,4000,140,16,"null","naive","effect_seeking","c45-h24",0.087,174,2000
12,8000,140,16,"null","naive","effect_seeking","c45-h24",0.0805,161,2000
19,4000,35,16,"homogeneous","naive","effect_seeking","c45-h24",0.078,156,2000
20,8000,35,16,"homogeneous","naive","effect_seeking","c45-h24",0.075,150,2000
21,4000,70,16,"homogeneous","naive","effect_seeking","c45-h24",0.0775,155,2000
22,8000,70,16,"homogeneous","naive","effect_seeking","c45-h24",0.0715,143,2000
23,4000,140,16,"homogeneous","naive","effect_seeking","c45-h24",0.054,108,2000
24,8000,140,16,"homogeneous","naive","effect_seeking","c45-h24",0.0505,101,2000
31,4000,35,16,"heterogeneous","naive","effect_seeking","c45-h24",0.108,216,2000
