"scenario","n","event_target","K","effect","method","selector","mean_target_movement","probability_abs_gt_001"
1,4000,35,4,"null","bonferroni","effect_seeking",0,0
2,8000,35,4,"null","bonferroni","effect_seeking",0,0
3,4000,70,4,"null","bonferroni","effect_seeking",0,0
4,8000,70,4,"null","bonferroni","effect_seeking",0,0
5,4000,140,4,"null","bonferroni","effect_seeking",0,0
6,8000,140,4,"null","bonferroni","effect_seeking",0,0
7,4000,35,16,"null","bonferroni","effect_seeking",0,0
8,8000,35,16,"null","bonferroni","effect_seeking",0,0
9,4000,70,16,"null","bonferroni","effect_seeking",0,0
10,8000,70,16,"null","bonferroni","effect_seeking",0,0
11,4000,140,16,"null","bonferroni","effect_seeking",0,0
12,8000,140,16,"null","bonferroni","effect_seeking",0,0
13,4000,35,4,"homogeneous","bonferroni","effect_seeking",0.00145914987846395,0
14,8000,35,4,"homogeneous","bonferroni","effect_seeking",0.000737244097394625,0
15,4000,70,4,"homogeneous","bonferroni","effect_seeking",0.00260058325642673,0
16,8000,70,4,"homogeneous","bonferroni","effect_seeking",0.00130984668781168,0
17,4000,140,4,"homogeneous","bonferroni","effect_seeking",0.0043206010655779,0.161
18,8000,140,4,"homogeneous","bonferroni","effect_seeking",0.00235199898387175,0
19,4000,35,16,"homogeneous","bonferroni","effect_seeking",0.00202118427506591,0
20,8000,35,16,"homogeneous","bonferroni","effect_seeking",0.00100957974384989,0
21,4000,70,16,"homogeneous","bonferroni","effect_seeking",0.00383459625943655,0
22,8000,70,16,"homogeneous","bonferroni","effect_seeking",0.00187893915858137,0
23,4000,140,16,"homogeneous","bonferroni","effect_seeking",0.00646735931208943,0.2145
24,8000,140,16,"homogeneous","bonferroni","effect_seeking",0.0034375299237134,0
25,4000,35,4,"heterogeneous","bonferroni","effect_seeking",-0.000208419831365155,0
26,8000,35,4,"heterogeneous","bonferroni","effect_seeking",-9.76706044302415e-05,0
27,4000,70,4,"heterogeneous","bonferroni","effect_seeking",-0.000490385109705811,0
28,8000,70,4,"heterogeneous","bonferroni","effect_seeking",-0.000274866496293036,0
29,4000,140,4,"heterogeneous","bonferroni","effect_seeking",-0.0015031640495175,0
30,8000,140,4,"heterogeneous","bonferroni","effect_seeking",-0.000767744760462872,0
31,4000,35,16,"heterogeneous","bonferroni","effect_seeking",3.03021246572251e-05,0
32,8000,35,16,"heterogeneous","bonferroni","effect_seeking",1.60535227235953e-05,0
33,4000,70,16,"heterogeneous","bonferroni","effect_seeking",-0.000306529654909484,0
