"scenario","selector","median_within_candidate_width_ratio","q25","q75","n"
1,"prognostic_high",1.41954914887607,1.33506066451143,1.49902896129554,2000
2,"prognostic_high",1.41649224899924,1.32816490348793,1.49440611143499,2000
3,"prognostic_high",1.42164483349606,1.36535863356514,1.47057595406283,2000
4,"prognostic_high",1.4201209730555,1.36087413341114,1.47209645858092,2000
5,"prognostic_high",1.41718444635637,1.38179569465193,1.45080632531941,2000
6,"prognostic_high",1.41863931698077,1.37906660401113,1.45333448535765,2000
7,"prognostic_high",1.42092919989268,1.32097359908024,1.50863239977636,2000
8,"prognostic_high",1.42122019895904,1.3157896333509,1.50714587222988,2000
9,"prognostic_high",1.42279143751332,1.36365168718352,1.47420122433143,2000
10,"prognostic_high",1.42196189623036,1.35753430894722,1.48177651940833,2000
11,"prognostic_high",1.41491949573743,1.38002430401908,1.45161911220836,2000
12,"prognostic_high",1.41732160635485,1.3769499220717,1.45897671231929,2000
13,"prognostic_high",1.42087578997919,1.31944691986214,1.49962637423081,2000
14,"prognostic_high",1.41676250775063,1.32606034586895,1.50715299182235,2000
15,"prognostic_high",1.41407311871452,1.35600036612105,1.47430533401339,2000
16,"prognostic_high",1.41517978664813,1.3534540342149,1.47528417914835,2000
17,"prognostic_high",1.41511821481659,1.37670658646241,1.45208564938285,2000
18,"prognostic_high",1.41622441968466,1.37583726642061,1.45499762758686,2000
19,"prognostic_high",1.41601005117079,1.30367822732213,1.51686308581935,2000
20,"prognostic_high",1.41795958630499,1.30947947949197,1.50719603598181,1999
21,"prognostic_high",1.41935316129804,1.35078767880517,1.48121351589622,2000
22,"prognostic_high",1.41292776484668,1.3448302804679,1.48314209653326,2000
23,"prognostic_high",1.42019021626873,1.37500749900499,1.46159217094586,2000
24,"prognostic_high",1.41704624464336,1.37242281328377,1.46116898143246,2000
25,"prognostic_high",1.42241377475366,1.33535469557354,1.50024189397781,2000
26,"prognostic_high",1.4132003209139,1.32599949176849,1.49796173000027,2000
27,"prognostic_high",1.41578406346114,1.36197571413417,1.47055230840338,2000
28,"prognostic_high",1.41624083809379,1.35841731979084,1.46926450774599,2000
29,"prognostic_high",1.41376792338762,1.37942304419357,1.45156560538365,2000
30,"prognostic_high",1.41542784018343,1.3784688773037,1.45428749248304,2000
31,"prognostic_high",1.41113887570217,1.31811525301216,1.50334118994763,2000
32,"prognostic_high",1.41055532797935,1.3083723832626,1.5046811950709,2000
33,"prognostic_high",1.41001217577303,1.35087370519739,1.47218682129815,2000
34,"prognostic_high",1.41513592028919,1.35049028926714,1.47867583815846,2000
35,"prognostic_high",1.41848222513398,1.37885726874627,1.45497978253979,2000
36,"prognostic_high",1.41914085468567,1.37679893429515,1.46027552192503,2000
1,"prognostic_low",1.41857513462721,1.33443793363952,1.50031677986925,2000
2,"prognostic_low",1.41849553328133,1.32698398518557,1.50179566042419,2000
3,"prognostic_low",1.41984800790559,1.36518191997771,1.4723337334933,2000
4,"prognostic_low",1.41911106652747,1.35945071002048,1.47679121238446,2000
5,"prognostic_low",1.41749916496649,1.3806470472497,1.45169964589807,2000
6,"prognostic_low",1.41775863402921,1.37870675660574,1.45265939598006,2000
7,"prognostic_low",1.42599985826173,1.32782303606714,1.52257286377924,2000
8,"prognostic_low",1.4217090306852,1.31540107464765,1.51869409438502,2000
9,"prognostic_low",1.42356119592091,1.36278040719445,1.47668281543515,2000
10,"prognostic_low",1.4223443267407,1.35824040331245,1.48312317155252,2000
11,"prognostic_low",1.41472553106183,1.38208030298096,1.45208404070477,2000
12,"prognostic_low",1.41945870327773,1.38262377989892,1.45904601032874,2000
13,"prognostic_low",1.42232190220769,1.31648003432204,1.50713169958618,2000
14,"prognostic_low",1.42130324660254,1.32779579291057,1.51396281977748,2000
15,"prognostic_low",1.41425833176902,1.35524710042728,1.47732585677755,2000
16,"prognostic_low",1.41520926130516,1.3534540342149,1.47912334602839,2000
17,"prognostic_low",1.41496352837684,1.37608919543354,1.45330169664127,2000
18,"prognostic_low",1.4161656673624,1.3753130259815,1.45789106576652,2000
19,"prognostic_low",1.41988676474105,1.31096952247725,1.52498459677072,2000
20,"prognostic_low",1.42012690726357,1.31649811822714,1.52808235958722,1999
21,"prognostic_low",1.42021223667833,1.35296873241108,1.48919880271621,2000
22,"prognostic_low",1.41755132442154,1.34538116233554,1.48656627025068,2000
23,"prognostic_low",1.42272128094316,1.38028006839458,1.46316300929288,2000
24,"prognostic_low",1.41862446145878,1.37610935397008,1.4630440976181,2000
25,"prognostic_low",1.4231350345119,1.33219564536859,1.5020732165648,2000
26,"prognostic_low",1.4153593189978,1.33021477086966,1.49758932466685,2000
27,"prognostic_low",1.41693106726765,1.36250416621431,1.47166120827408,2000
28,"prognostic_low",1.41749394812452,1.35963840484979,1.47098680941621,2000
29,"prognostic_low",1.4141254827587,1.37875162953888,1.45130273063182,2000
30,"prognostic_low",1.4161320022394,1.37933786642193,1.4543964388282,2000
31,"prognostic_low",1.41893376029318,1.32206740014027,1.5046783284406,2000
32,"prognostic_low",1.41598309832756,1.3144058312487,1.51829517308658,2000
33,"prognostic_low",1.41599029388793,1.35355958261162,1.47743708342061,2000
34,"prognostic_low",1.41825123887179,1.35557456141373,1.48341249795696,2000
35,"prognostic_low",1.41872470422113,1.38057801440677,1.45393881101311,2000
36,"prognostic_low",1.42004897002185,1.37992792226048,1.45826196888546,2000
1,"workability",1.41378221772828,1.33476128543202,1.48767484525894,2000
2,"workability",1.41127396361832,1.32957376221588,1.48603510594209,2000
3,"workability",1.41093410373877,1.3426369073044,1.47123678442085,2000
4,"workability",1.40824796157654,1.34116488697659,1.47260537022373,2000
5,"workability",1.41384612748038,1.36441987243656,1.46269821731353,2000
6,"workability",1.41676111760604,1.35993783188067,1.46677955131622,2000
7,"workability",1.40956531505173,1.32765506916003,1.48121899061109,2000
8,"workability",1.4045274787994,1.32303645284142,1.47936783918971,2000
9,"workability",1.40678705403288,1.33725247485044,1.47256952534037,2000
10,"workability",1.40741459182571,1.32575031105585,1.47936657795127,2000
11,"workability",1.40649818536266,1.33682486427703,1.46803298328407,2000
12,"workability",1.41320822675489,1.34005784805599,1.47741178790704,2000
13,"workability",1.41917037333116,1.3279565564092,1.49055450029919,2000
14,"workability",1.41774374368709,1.33415421397545,1.4960239820213,2000
15,"workability",1.40926361370904,1.34382315049944,1.47565304018438,2000
16,"workability",1.40755103549446,1.33902671414635,1.47452004575481,2000
17,"workability",1.41046914140033,1.35608796937248,1.46585341265982,2000
18,"workability",1.41656678534041,1.35833123009282,1.46996056500312,2000
19,"workability",1.40996227663172,1.33249575538858,1.48891106794115,2000
20,"workability",1.41080812927908,1.33450868163992,1.47900649946523,2000
21,"workability",1.40885717429445,1.32901201175657,1.47618782866613,2000
22,"workability",1.4045306584942,1.32941328645313,1.47653260830117,2000
23,"workability",1.41281944318821,1.34407486442522,1.48075794819408,2000
24,"workability",1.40886655343039,1.33761623997516,1.47901947971868,2000
