"scenario","n","event_target","K","effect","method","selector","candidate","frequency","count","denominator"
7,4000,35,16,"null","bonferroni","effect_seeking","c45-h24",0.087,174,2000
8,8000,35,16,"null","bonferroni","effect_seeking","c45-h24",0.099,198,2000
9,4000,70,16,"null","bonferroni","effect_seeking","c45-h24",0.0895,179,2000
10,8000,70,16,"null","bonferroni","effect_seeking","c45-h24",0.0865,173,2000
11,4000,140,16,"null","bonferroni","effect_seeking","c45-h24",0.082,164,2000
12,8000,140,16,"null","bonferroni","effect_seeking","c45-h24",0.091,182,2000
19,4000,35,16,"homogeneous","bonferroni","effect_seeking","c45-h24",0.074,148,2000
20,8000,35,16,"homogeneous","bonferroni","effect_seeking","c45-h24",0.069,138,2000
21,4000,70,16,"homogeneous","bonferroni","effect_seeking","c45-h24",0.0615,123,2000
22,8000,70,16,"homogeneous","bonferroni","effect_seeking","c45-h24",0.067,134,2000
23,4000,140,16,"homogeneous","bonferroni","effect_seeking","c45-h24",0.049,98,2000
24,8000,140,16,"homogeneous","bonferroni","effect_seeking","c45-h24",0.041,82,2000
31,4000,35,16,"heterogeneous","bonferroni","effect_seeking","c45-h24",0.1285,257,2000
32,8000,35,16,"heterogeneous","bonferroni","effect_seeking","c45-h24",0.131,262,2000
33,4000,70,16,"heterogeneous","bonferroni","effect_seeking","c45-h24",0.119,238,2000
34,8000,70,16,"heterogeneous","bonferroni","effect_seeking","c45-h24",0.1415,283,2000
35,4000,140,16,"heterogeneous","bonferroni","effect_seeking","c45-h24",0.1165,233,2000
36,8000,140,16,"heterogeneous","bonferroni","effect_seeking","c45-h24",0.1205,241,2000
7,4000,35,16,"null","naive","effect_seeking","c45-h24",0.087,174,2000
8,8000,35,16,"null","naive","effect_seeking","c45-h24",0.099,198,2000
9,4000,70,16,"null","naive","effect_seeking","c45-h24",0.0895,179,2000
10,8000,70,16,"null","naive","effect_seeking","c45-h24",0.0865,173,2000
11,4000,140,16,"null","naive","effect_seeking","c45-h24",0.082,164,2000
12,8000,140,16,"null","naive","effect_seeking","c45-h24",0.091,182,2000
19,4000,35,16,"homogeneous","naive","effect_seeking","c45-h24",0.074,148,2000
20,8000,35,16,"homogeneous","naive","effect_seeking","c45-h24",0.069,138,2000
21,4000,70,16,"homogeneous","naive","effect_seeking","c45-h24",0.0615,123,2000
22,8000,70,16,"homogeneous","naive","effect_seeking","c45-h24",0.067,134,2000
23,4000,140,16,"homogeneous","naive","effect_seeking","c45-h24",0.049,98,2000
24,8000,140,16,"homogeneous","naive","effect_seeking","c45-h24",0.041,82,2000
31,4000,35,16,"heterogeneous","naive","effect_seeking","c45-h24",0.1285,257,2000
32,8000,35,16,"heterogeneous","naive","effect_seeking","c45-h24",0.131,262,2000
33,4000,70,16,"heterogeneous","naive","effect_seeking","c45-h24",0.119,238,2000
34,8000,70,16,"heterogeneous","naive","effect_seeking","c45-h24",0.1415,283,2000
35,4000,140,16,"heterogeneous","naive","effect_seeking","c45-h24",0.1165,233,2000
36,8000,140,16,"heterogeneous","naive","effect_seeking","c45-h24",0.1205,241,2000
7,4000,35,16,"null","bonferroni","prognostic_high","c45-h24",0.0025,5,2000
8,8000,35,16,"null","bonferroni","prognostic_high","c45-h24",0.001,2,2000
9,4000,70,16,"null","bonferroni","prognostic_high","c45-h24",5e-04,1,2000
19,4000,35,16,"homogeneous","bonferroni","prognostic_high","c45-h24",0.0055,11,2000
20,8000,35,16,"homogeneous","bonferroni","prognostic_high","c45-h24",0.0035,7,2000
21,4000,70,16,"homogeneous","bonferroni","prognostic_high","c45-h24",0.001,2,2000
31,4000,35,16,"heterogeneous","bonferroni","prognostic_high","c45-h24",5e-04,1,2000
32,8000,35,16,"heterogeneous","bonferroni","prognostic_high","c45-h24",0.003,6,2000
7,4000,35,16,"null","naive","prognostic_high","c45-h24",0.0025,5,2000
8,8000,35,16,"null","naive","prognostic_high","c45-h24",0.001,2,2000
9,4000,70,16,"null","naive","prognostic_high","c45-h24",5e-04,1,2000
19,4000,35,16,"homogeneous","naive","prognostic_high","c45-h24",0.0055,11,2000
20,8000,35,16,"homogeneous","naive","prognostic_high","c45-h24",0.0035,7,2000
21,4000,70,16,"homogeneous","naive","prognostic_high","c45-h24",0.001,2,2000
31,4000,35,16,"heterogeneous","naive","prognostic_high","c45-h24",5e-04,1,2000
32,8000,35,16,"heterogeneous","naive","prognostic_high","c45-h24",0.003,6,2000
7,4000,35,16,"null","split","prognostic_high","c45-h24",0.0035,7,2000
8,8000,35,16,"null","split","prognostic_high","c45-h24",0.0065,13,2000
9,4000,70,16,"null","split","prognostic_high","c45-h24",0.0035,7,2000
10,8000,70,16,"null","split","prognostic_high","c45-h24",0.0015,3,2000
11,4000,140,16,"null","split","prognostic_high","c45-h24",5e-04,1,2000
12,8000,140,16,"null","split","prognostic_high","c45-h24",0.001,2,2000
19,4000,35,16,"homogeneous","split","prognostic_high","c45-h24",0.011,22,2000
20,8000,35,16,"homogeneous","split","prognostic_high","c45-h24",0.015,30,2000
21,4000,70,16,"homogeneous","split","prognostic_high","c45-h24",0.003,6,2000
22,8000,70,16,"homogeneous","split","prognostic_high","c45-h24",0.0035,7,2000
23,4000,140,16,"homogeneous","split","prognostic_high","c45-h24",5e-04,1,2000
24,8000,140,16,"homogeneous","split","prognostic_high","c45-h24",0.001,2,2000
31,4000,35,16,"heterogeneous","split","prognostic_high","c45-h24",0.0045,9,2000
32,8000,35,16,"heterogeneous","split","prognostic_high","c45-h24",0.0065,13,2000
33,4000,70,16,"heterogeneous","split","prognostic_high","c45-h24",0.002,4,2000
35,4000,140,16,"heterogeneous","split","prognostic_high","c45-h24",5e-04,1,2000
7,4000,35,16,"null","bonferroni","prognostic_low","c45-h24",0.0145,29,2000
8,8000,35,16,"null","bonferroni","prognostic_low","c45-h24",0.0125,25,2000
9,4000,70,16,"null","bonferroni","prognostic_low","c45-h24",0.0025,5,2000
10,8000,70,16,"null","bonferroni","prognostic_low","c45-h24",0.0035,7,2000
11,4000,140,16,"null","bonferroni","prognostic_low","c45-h24",0.0015,3,2000
12,8000,140,16,"null","bonferroni","prognostic_low","c45-h24",5e-04,1,2000
19,4000,35,16,"homogeneous","bonferroni","prognostic_low","c45-h24",0.017,34,2000
20,8000,35,16,"homogeneous","bonferroni","prognostic_low","c45-h24",0.0165,33,2000
21,4000,70,16,"homogeneous","bonferroni","prognostic_low","c45-h24",0.0055,11,2000
22,8000,70,16,"homogeneous","bonferroni","prognostic_low","c45-h24",0.006,12,2000
23,4000,140,16,"homogeneous","bonferroni","prognostic_low","c45-h24",0.0015,3,2000
24,8000,140,16,"homogeneous","bonferroni","prognostic_low","c45-h24",5e-04,1,2000
31,4000,35,16,"heterogeneous","bonferroni","prognostic_low","c45-h24",0.0085,17,2000
32,8000,35,16,"heterogeneous","bonferroni","prognostic_low","c45-h24",0.008,16,2000
34,8000,70,16,"heterogeneous","bonferroni","prognostic_low","c45-h24",0.001,2,2000
7,4000,35,16,"null","naive","prognostic_low","c45-h24",0.0145,29,2000
8,8000,35,16,"null","naive","prognostic_low","c45-h24",0.0125,25,2000
9,4000,70,16,"null","naive","prognostic_low","c45-h24",0.0025,5,2000
10,8000,70,16,"null","naive","prognostic_low","c45-h24",0.0035,7,2000
11,4000,140,16,"null","naive","prognostic_low","c45-h24",0.0015,3,2000
12,8000,140,16,"null","naive","prognostic_low","c45-h24",5e-04,1,2000
19,4000,35,16,"homogeneous","naive","prognostic_low","c45-h24",0.017,34,2000
20,8000,35,16,"homogeneous","naive","prognostic_low","c45-h24",0.0165,33,2000
21,4000,70,16,"homogeneous","naive","prognostic_low","c45-h24",0.0055,11,2000
