"scenario","n","event_target","K","effect","method","selector","mean_target_movement","probability_abs_gt_001"
1,4000,35,4,"null","bonferroni","effect_seeking",0,0
2,8000,35,4,"null","bonferroni","effect_seeking",0,0
3,4000,70,4,"null","bonferroni","effect_seeking",0,0
4,8000,70,4,"null","bonferroni","effect_seeking",0,0
5,4000,140,4,"null","bonferroni","effect_seeking",0,0
6,8000,140,4,"null","bonferroni","effect_seeking",0,0
7,4000,35,16,"null","bonferroni","effect_seeking",0,0
8,8000,35,16,"null","bonferroni","effect_seeking",0,0
9,4000,70,16,"null","bonferroni","effect_seeking",0,0
10,8000,70,16,"null","bonferroni","effect_seeking",0,0
11,4000,140,16,"null","bonferroni","effect_seeking",0,0
12,8000,140,16,"null","bonferroni","effect_seeking",0,0
13,4000,35,4,"homogeneous","bonferroni","effect_seeking",0.0014585040658934,0
14,8000,35,4,"homogeneous","bonferroni","effect_seeking",0.000726259494710581,0
15,4000,70,4,"homogeneous","bonferroni","effect_seeking",0.0024799604225388,0
16,8000,70,4,"homogeneous","bonferroni","effect_seeking",0.0013536078321093,0
17,4000,140,4,"homogeneous","bonferroni","effect_seeking",0.00429718095324027,0.163
18,8000,140,4,"homogeneous","bonferroni","effect_seeking",0.00230996147867411,0
19,4000,35,16,"homogeneous","bonferroni","effect_seeking",0.00200283118650574,0
20,8000,35,16,"homogeneous","bonferroni","effect_seeking",0.00101452641469101,0
21,4000,70,16,"homogeneous","bonferroni","effect_seeking",0.00372446804549984,0
22,8000,70,16,"homogeneous","bonferroni","effect_seeking",0.00190486900931593,0
23,4000,140,16,"homogeneous","bonferroni","effect_seeking",0.00636569568604736,0.204
24,8000,140,16,"homogeneous","bonferroni","effect_seeking",0.00331640243605559,0
25,4000,35,4,"heterogeneous","bonferroni","effect_seeking",-0.000209552030535503,0
26,8000,35,4,"heterogeneous","bonferroni","effect_seeking",-0.000105874470169259,0
27,4000,70,4,"heterogeneous","bonferroni","effect_seeking",-0.000549860143642189,0
28,8000,70,4,"heterogeneous","bonferroni","effect_seeking",-0.000265161219199826,0
29,4000,140,4,"heterogeneous","bonferroni","effect_seeking",-0.00140546801406758,0
30,8000,140,4,"heterogeneous","bonferroni","effect_seeking",-0.000713101557386155,0
31,4000,35,16,"heterogeneous","bonferroni","effect_seeking",3.86048936961035e-05,0
32,8000,35,16,"heterogeneous","bonferroni","effect_seeking",1.02030467821338e-05,0
33,4000,70,16,"heterogeneous","bonferroni","effect_seeking",-0.000400678464896291,0
