"scenario","selector","median_within_candidate_width_ratio","q25","q75","n"
1,"prognostic_high",1.41330937986077,1.33437222600128,1.49595437973749,2000
2,"prognostic_high",1.41913576729762,1.32460576971211,1.49686640139223,2000
3,"prognostic_high",1.41555208011587,1.36171969837101,1.4727370956493,2000
4,"prognostic_high",1.41423292362699,1.36024980633089,1.47093570967407,2000
5,"prognostic_high",1.41664919155973,1.38457973860745,1.4506080652786,2000
6,"prognostic_high",1.41439096476587,1.37691559082054,1.45322554470263,2000
7,"prognostic_high",1.41858615634678,1.3258506381043,1.51613451595658,1999
8,"prognostic_high",1.42190580930252,1.32654530277189,1.50940430787738,1998
9,"prognostic_high",1.41565724492309,1.35582499109304,1.47694508158439,2000
10,"prognostic_high",1.42081947210919,1.35689615363525,1.48271718132861,2000
11,"prognostic_high",1.41747575042175,1.38063195270463,1.45294239049803,2000
12,"prognostic_high",1.41670168543991,1.37694493162123,1.4564079469409,2000
13,"prognostic_high",1.41869111055727,1.32498063435139,1.50419466022945,2000
14,"prognostic_high",1.41996045857638,1.31995623830391,1.51287020214744,2000
15,"prognostic_high",1.41766580445579,1.3574117370212,1.47423231533262,2000
16,"prognostic_high",1.41794676118111,1.35780717144767,1.47492725568657,2000
17,"prognostic_high",1.41818788273067,1.37891343977198,1.45480486431218,2000
18,"prognostic_high",1.4137902721703,1.37360376314094,1.45583323713184,2000
19,"prognostic_high",1.41562038662391,1.31196931714729,1.51844042214635,2000
20,"prognostic_high",1.41355491836764,1.29800023797353,1.5104356591345,2000
21,"prognostic_high",1.41404895902562,1.34879967902865,1.48018392564205,2000
22,"prognostic_high",1.41574741258766,1.34363912192192,1.48156038166202,2000
23,"prognostic_high",1.41749106137933,1.3756518074777,1.4567869674717,2000
24,"prognostic_high",1.41684688622637,1.37141451899592,1.46252538255852,2000
25,"prognostic_high",1.4216225516267,1.32721460119772,1.50152599954771,2000
26,"prognostic_high",1.41172631606009,1.32477848289204,1.49529119205026,2000
27,"prognostic_high",1.4141960816305,1.36110883681331,1.46799753727494,2000
28,"prognostic_high",1.41487155754539,1.35555097913485,1.46919448921061,2000
29,"prognostic_high",1.41672308735879,1.37975143650054,1.44918368677901,2000
30,"prognostic_high",1.41613294263514,1.37592822343396,1.45495748653253,2000
31,"prognostic_high",1.40711877569341,1.30942869451974,1.50132526738685,2000
32,"prognostic_high",1.41882894075552,1.32029153175902,1.50964432979354,2000
33,"prognostic_high",1.41978927219213,1.35645697913154,1.47711385765684,2000
34,"prognostic_high",1.41702819591666,1.3528225155877,1.4809868269472,2000
35,"prognostic_high",1.41595868583543,1.376634094822,1.45212727277717,2000
36,"prognostic_high",1.41928962346185,1.37374797402806,1.46046333883078,2000
1,"prognostic_low",1.41716055622942,1.33468637845403,1.50298642183666,2000
2,"prognostic_low",1.41967142580155,1.32570232913964,1.50028748042678,2000
3,"prognostic_low",1.41736439674898,1.36164322986242,1.47388532774053,2000
4,"prognostic_low",1.41500344887194,1.36135223089666,1.4725833053182,2000
5,"prognostic_low",1.4173021213542,1.38592490092198,1.449705802415,2000
6,"prognostic_low",1.41285185193906,1.37687112249846,1.45225546341013,2000
7,"prognostic_low",1.4273103450145,1.32938685599979,1.52047872145418,1999
8,"prognostic_low",1.4256179937693,1.32836118167696,1.51591521971303,2000
9,"prognostic_low",1.42073162820889,1.35899137018137,1.48290962866259,2000
10,"prognostic_low",1.42013186793027,1.3619628767771,1.48602411890048,2000
11,"prognostic_low",1.41768442581499,1.38311214260522,1.45418466412868,2000
12,"prognostic_low",1.41787874925376,1.3807920515589,1.4561948275334,2000
13,"prognostic_low",1.42060733510482,1.32706905129912,1.51154168598288,2000
14,"prognostic_low",1.41898126293617,1.31853653226763,1.51301114374783,2000
15,"prognostic_low",1.41719182183613,1.35724554882306,1.47655801751696,2000
16,"prognostic_low",1.4190544812155,1.35676204577881,1.47991769435415,2000
17,"prognostic_low",1.41809312096096,1.37901910881827,1.45742368620835,2000
18,"prognostic_low",1.41536238075576,1.37476120581654,1.4579063088103,2000
19,"prognostic_low",1.41619247513944,1.30885970600478,1.52241123481745,2000
20,"prognostic_low",1.41633392483754,1.30796592918507,1.52840196818203,2000
21,"prognostic_low",1.41811385876273,1.35220302584405,1.48675302401345,2000
22,"prognostic_low",1.42171789314896,1.3477893638976,1.48356488722628,2000
23,"prognostic_low",1.41843247243897,1.3764007435575,1.45832636424119,2000
24,"prognostic_low",1.41942241626859,1.37355194468164,1.46370064120253,2000
25,"prognostic_low",1.4261197374971,1.3286242515644,1.50688311471573,2000
26,"prognostic_low",1.41261899717306,1.32440142972391,1.49835104876675,2000
27,"prognostic_low",1.41618978169563,1.35874229830166,1.47146464909644,2000
28,"prognostic_low",1.41435600934337,1.35593926833966,1.47166590579088,2000
29,"prognostic_low",1.41611340142758,1.38014807816714,1.44895917595422,2000
30,"prognostic_low",1.41537551619326,1.37577570378555,1.45532623061786,2000
31,"prognostic_low",1.4153443083448,1.32240747046891,1.50839275489063,2000
32,"prognostic_low",1.42610784245013,1.32463233964709,1.52220409022064,2000
33,"prognostic_low",1.41867353409913,1.35829412189307,1.47920358980865,2000
34,"prognostic_low",1.4211654149463,1.35382924344294,1.48210490170187,2000
35,"prognostic_low",1.41807798357138,1.38126014277331,1.45385676592983,2000
36,"prognostic_low",1.41900681063934,1.37563542694396,1.46045092614465,2000
1,"workability",1.41100917190835,1.33427424644499,1.48781648138976,2000
