"scenario","method","estimand","start","truth","bias","bias_mcse","empse","empse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","mse","mse_mcse","coverage","coverage_mcse","becoverage","becoverage_mcse","rejection","rejection_mcse","convergence","n_used","n_attempted","fixed_modse","fixed_to_linearized","bootstrap_to_linearized","h_key","h_label","a","adoption","b","background","sentinel","theta_equal"
1,"calendar_omitted","theta_equal",NA,-0.0763887486809071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE,-0.0763887486809071
1,"calendar_quadratic","theta_equal",NA,-0.0763887486809071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE,-0.0763887486809071
1,"equal_flexible","theta_equal",NA,-0.0763887486809071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE,-0.0763887486809071
2,"calendar_quadratic","theta_equal",NA,-0.0778538096999161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0,"none",0,"none",FALSE,-0.0778538096999161
2,"calendar_omitted","theta_equal",NA,-0.0778538096999161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0,"none",0,"none",FALSE,-0.0778538096999161
2,"equal_flexible","theta_equal",NA,-0.0778538096999161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0,"none",0,"none",FALSE,-0.0778538096999161
3,"equal_flexible","theta_equal",NA,-0.0775649770627947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0,"none",0,"none",FALSE,-0.0775649770627947
3,"calendar_quadratic","theta_equal",NA,-0.0775649770627947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0,"none",0,"none",FALSE,-0.0775649770627947
3,"calendar_omitted","theta_equal",NA,-0.0775649770627947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0,"none",0,"none",FALSE,-0.0775649770627947
4,"calendar_omitted","theta_equal",NA,-0.0786112508681089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0.8,"strong",0,"none",FALSE,-0.0786112508681089
