"scenario","method","estimand","start","truth","bias","bias_mcse","empse","empse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","mse","mse_mcse","coverage","coverage_mcse","becoverage","becoverage_mcse","rejection","rejection_mcse","convergence","n_used","n_attempted","fixed_modse","fixed_to_linearized","bootstrap_to_linearized","h_key","h_label","a","adoption","b","background","sentinel","projection","projection_lo","projection_hi","projection_minus_theta_equal","sampling_bias_to_projection"
1,"calendar_omitted","theta_equal",NA,-0.0763887486809071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE,NA,NA,NA,NA,NA
1,"calendar_quadratic","theta_equal",NA,-0.0763887486809071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE,NA,NA,NA,NA,NA
1,"equal_common","theta_equal",NA,-0.0763887486809071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE,NA,NA,NA,NA,NA
1,"package_like","theta_equal",NA,-0.0763887486809071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE,NA,NA,NA,NA,NA
10,"calendar_omitted","theta_equal",NA,-0.0884346880387105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0.8,"strong",0.35,"strong",TRUE,NA,NA,NA,NA,NA
10,"calendar_quadratic","theta_equal",NA,-0.0884346880387105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0.8,"strong",0.35,"strong",TRUE,NA,NA,NA,NA,NA
10,"equal_common","theta_equal",NA,-0.0884346880387105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0.8,"strong",0.35,"strong",TRUE,NA,NA,NA,NA,NA
10,"package_like","theta_equal",NA,-0.0884346880387105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0.8,"strong",0.35,"strong",TRUE,NA,NA,NA,NA,NA
11,"calendar_omitted","theta_equal",NA,-0.087629358865105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0.8,"strong",0.35,"strong",TRUE,NA,NA,NA,NA,NA
11,"calendar_quadratic","theta_equal",NA,-0.087629358865105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0.8,"strong",0.35,"strong",TRUE,NA,NA,NA,NA,NA
11,"equal_common","theta_equal",NA,-0.087629358865105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0.8,"strong",0.35,"strong",TRUE,NA,NA,NA,NA,NA
11,"package_like","theta_equal",NA,-0.087629358865105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0.8,"strong",0.35,"strong",TRUE,NA,NA,NA,NA,NA
12,"calendar_omitted","theta_equal",NA,-0.0886016662326515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0.8,"strong",0.35,"strong",TRUE,NA,NA,NA,NA,NA
12,"calendar_quadratic","theta_equal",NA,-0.0886016662326515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0.8,"strong",0.35,"strong",TRUE,NA,NA,NA,NA,NA
12,"equal_common","theta_equal",NA,-0.0886016662326515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0.8,"strong",0.35,"strong",TRUE,NA,NA,NA,NA,NA
12,"package_like","theta_equal",NA,-0.0886016662326515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0.8,"strong",0.35,"strong",TRUE,NA,NA,NA,NA,NA
2,"calendar_omitted","theta_equal",NA,-0.0778538096999161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0,"none",0,"none",FALSE,NA,NA,NA,NA,NA
2,"calendar_quadratic","theta_equal",NA,-0.0778538096999161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0,"none",0,"none",FALSE,NA,NA,NA,NA,NA
2,"equal_common","theta_equal",NA,-0.0778538096999161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0,"none",0,"none",FALSE,NA,NA,NA,NA,NA
2,"package_like","theta_equal",NA,-0.0778538096999161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0,"none",0,"none",FALSE,NA,NA,NA,NA,NA
3,"calendar_omitted","theta_equal",NA,-0.0775649770627947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0,"none",0,"none",FALSE,NA,NA,NA,NA,NA
3,"calendar_quadratic","theta_equal",NA,-0.0775649770627947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0,"none",0,"none",FALSE,NA,NA,NA,NA,NA
3,"equal_common","theta_equal",NA,-0.0775649770627947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0,"none",0,"none",FALSE,NA,NA,NA,NA,NA
