"scenario","method","estimand","start","truth","bias","bias_mcse","empse","empse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","mse","mse_mcse","coverage","coverage_mcse","becoverage","becoverage_mcse","rejection","rejection_mcse","convergence","n_used","n_attempted","fixed_modse","fixed_to_linearized","bootstrap_to_linearized","h_key","h_label","a","adoption","b","background","sentinel"
1,"calendar_quadratic","rd_k",20,-0.0635888277917673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,"equal_flexible","rd_k",16,-0.0687396910240876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,"start_saturated","rd_k",12,-0.0729675580697694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,"equal_common","rd_k",22,-0.0622880936908428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,"package_like","rd_k",18,-0.0665329750085986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,"calendar_omitted","rd_k",16,-0.0687396910240876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,"equal_flexible","rd_k",12,-0.0729675580697694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,"start_saturated","rd_k",8,-0.0785731237250395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,"calendar_quadratic","rd_k",6,-0.0823064055679717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,"equal_flexible","rd_k",2,-0.0912893885674645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,"equal_common","rd_k",20,-0.0635888277917673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,"package_like","rd_k",16,-0.0687396910240876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,"calendar_omitted","rd_k",14,-0.0707221845278482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,"equal_flexible","rd_k",22,-0.0622880936908428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,"start_saturated","rd_k",18,-0.0665329750085986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,"calendar_quadratic","rd_k",16,-0.0687396910240876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,"package_like","rd_k",12,-0.0729675580697694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,"calendar_omitted","rd_k",10,-0.0757144160978398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0,"none",TRUE
