"scenario","method","projection","projection_lo","projection_hi"
1,"package_like",NA,NA,NA
1,"equal_common",NA,NA,NA
1,"calendar_omitted",NA,NA,NA
1,"calendar_quadratic",NA,NA,NA
2,"package_like",NA,NA,NA
2,"equal_common",NA,NA,NA
2,"calendar_omitted",NA,NA,NA
2,"calendar_quadratic",NA,NA,NA
3,"package_like",NA,NA,NA
3,"equal_common",NA,NA,NA
3,"calendar_omitted",NA,NA,NA
3,"calendar_quadratic",NA,NA,NA
4,"package_like",NA,NA,NA
4,"equal_common",NA,NA,NA
4,"calendar_omitted",NA,NA,NA
4,"calendar_quadratic",NA,NA,NA
5,"package_like",NA,NA,NA
5,"equal_common",NA,NA,NA
5,"calendar_omitted",NA,NA,NA
5,"calendar_quadratic",NA,NA,NA
6,"package_like",NA,NA,NA
6,"equal_common",NA,NA,NA
6,"calendar_omitted",NA,NA,NA
6,"calendar_quadratic",NA,NA,NA
7,"package_like",NA,NA,NA
7,"equal_common",NA,NA,NA
7,"calendar_omitted",NA,NA,NA
7,"calendar_quadratic",NA,NA,NA
8,"package_like",NA,NA,NA
8,"equal_common",NA,NA,NA
8,"calendar_omitted",NA,NA,NA
8,"calendar_quadratic",NA,NA,NA
9,"package_like",NA,NA,NA
9,"equal_common",NA,NA,NA
9,"calendar_omitted",NA,NA,NA
9,"calendar_quadratic",NA,NA,NA
10,"package_like",NA,NA,NA
10,"equal_common",NA,NA,NA
10,"calendar_omitted",NA,NA,NA
10,"calendar_quadratic",NA,NA,NA
11,"package_like",NA,NA,NA
11,"equal_common",NA,NA,NA
11,"calendar_omitted",NA,NA,NA
11,"calendar_quadratic",NA,NA,NA
12,"package_like",NA,NA,NA
12,"equal_common",NA,NA,NA
12,"calendar_omitted",NA,NA,NA
12,"calendar_quadratic",NA,NA,NA
