"scenario","theta_equal","theta_equal_lo","theta_equal_hi","theta_pt","theta_pt_lo","theta_pt_hi","delta_rd","delta_lo","delta_hi","truth_class","n_chunks","n_truth","truth_seconds","at_cap","h_key","h_label","a","adoption","b","background","sentinel"
1,-0.0763887486809071,-0.0765061296781642,-0.0762686701596877,-0.0806490352884465,-0.0807618051250239,-0.0805450092409566,0.0351959063091572,0.0344250753292176,0.0360442693196841,"material",20,2e+06,76.099,FALSE,"none","no conditional effect modification",0,"none",0,"none",TRUE
2,-0.0778538096999161,-0.0779711122318508,-0.0777356962274657,-0.0891111503858413,-0.0892638193230398,-0.0889598078646436,0.0928373809369084,0.0922481177334614,0.0935198820331424,"material",20,2e+06,74.755,FALSE,"monotone","monotone conditional effect modification",0,"none",0,"none",FALSE
3,-0.0775649770627947,-0.0777055540754894,-0.0774257902246957,-0.0847511734931786,-0.0849036292771755,-0.0846051326793951,0.0855154235450416,0.0849987331271414,0.086041827183476,"material",20,2e+06,68.149,FALSE,"cosine","transient loss of benefit",0,"none",0,"none",FALSE
4,-0.0786112508681089,-0.0787158544170013,-0.0784957221533508,-0.0829488454356535,-0.0830660816151891,-0.0828436927315092,0.0365654600132212,0.0357664922082083,0.0374224112120266,"material",20,2e+06,89.4149999999999,FALSE,"none","no conditional effect modification",0.8,"strong",0,"none",FALSE
5,-0.0802608270529319,-0.0803666594607301,-0.0801518632022652,-0.0915536274364129,-0.0916948425930639,-0.0914094348743378,0.0936785724964613,0.0930256746245488,0.0944105870269947,"material",20,2e+06,105.246,FALSE,"monotone","monotone conditional effect modification",0.8,"strong",0,"none",FALSE
6,-0.079363354363743,-0.0795005328716955,-0.0792267627608929,-0.0856936353582959,-0.0858444132262478,-0.0855439984629235,0.0834403083506695,0.0829143225201254,0.0839920643860248,"material",20,2e+06,93.5320000000001,FALSE,"cosine","transient loss of benefit",0.8,"strong",0,"none",FALSE
7,-0.0860519354933056,-0.0861990763465202,-0.0859126900909747,-0.0865895055398589,-0.0867253190339019,-0.0864795992616308,0.00764218490435356,0.00699282430741956,0.00832124468015441,"indifference",20,2e+06,67.0430000000001,FALSE,"none","no conditional effect modification",0,"none",0.35,"strong",FALSE
8,-0.0850380213129957,-0.085199476416267,-0.0848913062830461,-0.0929989578053374,-0.0931610497695592,-0.0928591706229473,0.0694621170741169,0.0688456278849269,0.0700676932336789,"material",20,2e+06,84.0360000000004,FALSE,"monotone","monotone conditional effect modification",0,"none",0.35,"strong",FALSE
9,-0.086669876849463,-0.0868355015469915,-0.0865064843915194,-0.0891407268177555,-0.089286593016096,-0.0890062687361186,0.0640264943932046,0.0635917105093065,0.0646564142726609,"material",20,2e+06,231.995,FALSE,"cosine","transient loss of benefit",0,"none",0.35,"strong",FALSE
10,-0.0884346880387105,-0.0885588964610617,-0.0883133238906303,-0.089216826032489,-0.0893407818504669,-0.0891099282863402,0.0111407755027756,0.0105313389001314,0.0120734099907173,"indifference",20,2e+06,243.121,FALSE,"none","no conditional effect modification",0.8,"strong",0.35,"strong",TRUE
11,-0.087629358865105,-0.0877682855764851,-0.0875079826522945,-0.0959003461749466,-0.0960430261579546,-0.0957749116178089,0.0702454275959737,0.069624252283479,0.0708557245479961,"material",20,2e+06,252.938,FALSE,"monotone","monotone conditional effect modification",0.8,"strong",0.35,"strong",TRUE
12,-0.0886016662326515,-0.0887549676902868,-0.0884444365373084,-0.0902995017045491,-0.0904367847091778,-0.0901705523275207,0.061652360533108,0.0611875224573937,0.0623465456595874,"material",20,2e+06,216.165,FALSE,"cosine","transient loss of benefit",0.8,"strong",0.35,"strong",TRUE
