"scenario","start","p_eligible","risk1","risk0","rd","rd_lo","rd_hi","h_key","h_label","a","adoption","b","background","sentinel"
1,0,1,0.145465,0.242949,-0.097484,-0.0981852229460558,-0.0967827770539442,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,2,0.8584185,0.13385836861624,0.225147757183705,-0.0912893885674645,-0.0921160423393396,-0.0904627347955894,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,4,0.7477765,0.122988620262873,0.209446940362528,-0.0864583200996555,-0.087092656664249,-0.0858239835350619,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,6,0.658193,0.114805231900066,0.197111637468038,-0.0823064055679717,-0.0831720264291829,-0.0814407847067606,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,8,0.5835965,0.107600885200648,0.186174008925688,-0.0785731237250395,-0.0792590375920934,-0.0778872098579856,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,10,0.5204425,0.101655802514207,0.177370218612046,-0.0757144160978398,-0.0765314006484036,-0.074897431547276,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,12,0.46668,0.0966775949258593,0.169645152995629,-0.0729675580697694,-0.0736580440388313,-0.0722770721007076,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,14,0.420045,0.0921734576057327,0.162895642133581,-0.0707221845278482,-0.0715847816048801,-0.0698595874508163,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,16,0.3792205,0.0884116233167774,0.157151314340865,-0.0687396910240876,-0.0696239481792043,-0.0678554338689708,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,18,0.343078,0.0852765260378106,0.151809501046409,-0.0665329750085986,-0.0671532772361373,-0.06591267278106,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,20,0.311344,0.0830094686263426,0.14659829641811,-0.0635888277917673,-0.0648188781648913,-0.0623587774186433,"none","no conditional effect modification",0,"none",0,"none",TRUE
1,22,0.283144,0.078216384595824,0.140504478286667,-0.0622880936908428,-0.0633072469356285,-0.0612689404460571,"none","no conditional effect modification",0,"none",0,"none",TRUE
2,0,1,0.1126095,0.242949,-0.1303395,-0.131084612019286,-0.129594387980714,"monotone","monotone conditional effect modification",0,"none",0,"none",FALSE
2,2,0.8584185,0.108249647462164,0.225147757183705,-0.11689810972154,-0.117878471275063,-0.115917748168018,"monotone","monotone conditional effect modification",0,"none",0,"none",FALSE
2,4,0.7477765,0.10432194646395,0.209446940362528,-0.105124993898578,-0.105896117346636,-0.10435387045052,"monotone","monotone conditional effect modification",0,"none",0,"none",FALSE
2,6,0.658193,0.101742194158856,0.197111637468038,-0.0953694433091814,-0.0962715712500405,-0.0944673153683222,"monotone","monotone conditional effect modification",0,"none",0,"none",FALSE
2,8,0.5835965,0.100037440251955,0.186174008925688,-0.0861365686737326,-0.0869285584303429,-0.0853445789171224,"monotone","monotone conditional effect modification",0,"none",0,"none",FALSE
2,10,0.5204425,0.0991713782022029,0.177370218612046,-0.0781988404098436,-0.0790632276598505,-0.0773344531598366,"monotone","monotone conditional effect modification",0,"none",0,"none",FALSE
2,12,0.46668,0.0990325276420674,0.169645152995629,-0.0706126253535613,-0.0712629735587181,-0.0699622771484045,"monotone","monotone conditional effect modification",0,"none",0,"none",FALSE
2,14,0.420045,0.0992667452296778,0.162895642133581,-0.0636288969039032,-0.0643675834537049,-0.0628902103541014,"monotone","monotone conditional effect modification",0,"none",0,"none",FALSE
2,16,0.3792205,0.100195005280569,0.157151314340865,-0.0569563090602961,-0.0577227186114122,-0.0561898995091799,"monotone","monotone conditional effect modification",0,"none",0,"none",FALSE
2,18,0.343078,0.101529389818059,0.151809501046409,-0.0502801112283504,-0.0507570540204901,-0.0498031684362107,"monotone","monotone conditional effect modification",0,"none",0,"none",FALSE
2,20,0.311344,0.103400097641194,0.14659829641811,-0.0431981987769156,-0.0441266237657352,-0.042269773788096,"monotone","monotone conditional effect modification",0,"none",0,"none",FALSE
2,22,0.283144,0.103002359223575,0.140504478286667,-0.0375021190630916,-0.0381806728068033,-0.0368235653193798,"monotone","monotone conditional effect modification",0,"none",0,"none",FALSE
3,0,1,0.1126095,0.242949,-0.1303395,-0.131062949239193,-0.129616050760807,"cosine","transient loss of benefit",0,"none",0,"none",FALSE
