"cell","process_scenario","visit_key","pressure_key","profile","G","delta","rd_full","rd_full_mcse","rd_panel","rd_panel_mcse","rd_panel_oracle","rd_panel_oracle_mcse","approximation_error","approximation_error_mcse","oracle_approximation_error","oracle_approximation_error_mcse","delta_g","delta_g_mcse","truth_n","truth_batches","precision_met","population_models_valid"
1,1,"frequent","lower","exact-null",4,1,0,0,0.00220878642860883,0.00311301353286825,0.00220878642861028,0.00311301353286803,0.00220878642860883,0.00311301353286825,0.00220878642861028,0.00311301353286803,0,0,500000,2,TRUE,TRUE
1,1,"frequent","lower","exact-null",4,2,0,0,-6.16266706300328e-05,0.000667141210803024,0.000179427097842577,0.000973897148531466,-6.16266706300328e-05,0.000667141210803024,0.000179427097842577,0.000973897148531466,0,0,500000,2,TRUE,TRUE
1,1,"frequent","lower","exact-null",4,4,0,0,-0.000858191205993508,0.000191427580538917,0.000282405606064629,0.000598501751207903,-0.000858191205993508,0.000191427580538917,0.000282405606064629,0.000598501751207903,0,0,500000,2,TRUE,TRUE
1,1,"frequent","lower","exact-null",4,8,0,0,0.0823416374598845,0.00118620687372473,0.000282405606064129,0.000598501751208069,0.0823416374598845,0.00118620687372473,0.000282405606064129,0.000598501751208069,0,0,500000,2,TRUE,TRUE
2,2,"sparse","lower","exact-null",4,1,0,0,0.00180677606405738,0.00274647005697209,0.0018067760640576,0.00274647005697209,0.00180677606405738,0.00274647005697209,0.0018067760640576,0.00274647005697209,0,0,500000,2,TRUE,TRUE
2,2,"sparse","lower","exact-null",4,2,0,0,-0.000148879139404146,0.000402953694767338,0.000731815034916705,0.000566613931107462,-0.000148879139404146,0.000402953694767338,0.000731815034916705,0.000566613931107462,0,0,500000,2,TRUE,TRUE
2,2,"sparse","lower","exact-null",4,4,0,0,-0.00265788586566407,0.000679463196563423,-0.000743153841895661,0.000682376137907614,-0.00265788586566407,0.000679463196563423,-0.000743153841895661,0.000682376137907614,0,0,500000,2,TRUE,TRUE
2,2,"sparse","lower","exact-null",4,8,0,0,0.0781461047270637,0.000646717200278535,-0.000743153841896049,0.000682376137907781,0.0781461047270637,0.000646717200278535,-0.000743153841896049,0.000682376137907781,0,0,500000,2,TRUE,TRUE
3,3,"frequent","higher","exact-null",4,1,0,0,0.00293220506252084,0.000728715996639206,0.0029322050625194,0.000728715996639206,0.00293220506252084,0.000728715996639206,0.0029322050625194,0.000728715996639206,0,0,500000,2,TRUE,TRUE
3,3,"frequent","higher","exact-null",4,2,0,0,-0.0247202402778878,0.00503962681108971,0.00150322800328001,0.00060518630110179,-0.0247202402778878,0.00503962681108971,0.00150322800328001,0.00060518630110179,0,0,500000,2,TRUE,TRUE
3,3,"frequent","higher","exact-null",4,4,0,0,0.131068992957756,0.00346491619914607,0.00056075739143352,0.000286031306746037,0.131068992957756,0.00346491619914607,0.00056075739143352,0.000286031306746037,0,0,500000,2,TRUE,TRUE
3,3,"frequent","higher","exact-null",4,8,0,0,-0.254679826158923,0.000577618652786605,0.000560757391433575,0.000286031306745982,-0.254679826158923,0.000577618652786605,0.000560757391433575,0.000286031306745982,0,0,500000,2,TRUE,TRUE
4,4,"sparse","higher","exact-null",4,1,0,0,0.000433693992928863,9.96216212363898e-05,0.000433693992927697,9.96216212363343e-05,0.000433693992928863,9.96216212363898e-05,0.000433693992927697,9.96216212363343e-05,0,0,500000,2,TRUE,TRUE
4,4,"sparse","higher","exact-null",4,2,0,0,-0.0862151018312818,0.00136148863112967,-0.000357318557486108,0.00131280596072902,-0.0862151018312818,0.00136148863112967,-0.000357318557486108,0.00131280596072902,0,0,500000,2,TRUE,TRUE
4,4,"sparse","higher","exact-null",4,4,0,0,-0.480151922372102,0.000516395719056761,0.000699728795535814,0.000240091801441689,-0.480151922372102,0.000516395719056761,0.000699728795535814,0.000240091801441689,0,0,500000,2,TRUE,TRUE
4,4,"sparse","higher","exact-null",4,8,0,0,0.142923775801795,5.19434965652876e-05,0.000699728795535925,0.0002400918014418,0.142923775801795,5.19434965652876e-05,0.000699728795535925,0.0002400918014418,0,0,500000,2,TRUE,TRUE
5,1,"frequent","lower","immediate-benefit",4,1,-0.0238007187619623,7.91839644440073e-06,-0.0215529734812733,0.0028965063070896,-0.0215529734812722,0.0028965063070891,0.00224774528068905,0.0028885879106452,0.00224774528069011,0.0028885879106447,-0.00066749212425217,1.48888963469734e-05,500000,2,TRUE,TRUE
5,1,"frequent","lower","immediate-benefit",4,2,-0.0238007187619623,7.91839644440073e-06,-0.0229952207138176,0.00052949230113769,-0.0227695576299112,0.000771468103900663,0.000805498048144726,0.00052157390469329,0.0010311611320511,0.000763549707456262,-0.00066749212425217,1.48888963469734e-05,500000,2,TRUE,TRUE
5,1,"frequent","lower","immediate-benefit",4,4,-0.0238007187619623,7.91839644440073e-06,-0.0226843841290083,8.40759068748698e-06,-0.0215527118478913,0.000303039512700942,0.00111633463295407,1.63259871318877e-05,0.00224800691407101,0.000295121116256541,-0.00066749212425217,1.48888963469734e-05,500000,2,TRUE,TRUE
5,1,"frequent","lower","immediate-benefit",4,8,-0.0238007187619623,7.91839644440073e-06,0.0537727094025413,0.00108604975529103,-0.0215527118478913,0.000303039512701053,0.0775734281645036,0.00107813135884663,0.00224800691407101,0.000295121116256652,-0.00066749212425217,1.48888963469734e-05,500000,2,TRUE,TRUE
6,2,"sparse","lower","immediate-benefit",4,1,-0.0254671271605755,3.11136415703239e-05,-0.0236882950452548,0.00185944214335587,-0.0236882950452545,0.00185944214335587,0.00177883211532068,0.00182832850178555,0.00177883211532101,0.00182832850178555,-0.00055397718610159,2.13721726717853e-05,500000,2,TRUE,TRUE
6,2,"sparse","lower","immediate-benefit",4,2,-0.0254671271605755,3.11136415703239e-05,-0.0249615629488814,3.20233772959644e-05,-0.0241467296233949,0.000196037925696668,0.000505564211694148,9.09735725640459e-07,0.00132039753718058,0.000164924284126344,-0.00055397718610159,2.13721726717853e-05,500000,2,TRUE,TRUE
6,2,"sparse","lower","immediate-benefit",4,4,-0.0254671271605755,3.11136415703239e-05,-0.0261432968125972,0.000351342299522939,-0.024327775721033,0.000351035858447257,-0.000676169652021691,0.000320228657952615,0.0011393514395425,0.000319922216876933,-0.00055397718610159,2.13721726717853e-05,500000,2,TRUE,TRUE
6,2,"sparse","lower","immediate-benefit",4,8,-0.0254671271605755,3.11136415703239e-05,0.0477462729565772,0.000351740379195109,-0.0243277757210327,0.000351035858447146,0.0732134001171527,0.000320626737624785,0.00113935143954283,0.000319922216876822,-0.00055397718610159,2.13721726717853e-05,500000,2,TRUE,TRUE
7,3,"frequent","higher","immediate-benefit",4,1,-0.00922485388444401,2.25268767220926e-05,-0.00636678750172709,0.000805196349388082,-0.00636678750172875,0.000805196349387971,0.00285806638271692,0.000782669472665989,0.00285806638271525,0.000782669472665878,-0.00289282930349921,2.01801790651046e-05,500000,2,TRUE,TRUE
7,3,"frequent","higher","immediate-benefit",4,2,-0.00922485388444401,2.25268767220926e-05,-0.025351184965753,0.000281180639252643,-0.00686002477087427,0.000433415988858876,-0.0161263310813089,0.00025865376253055,0.00236482911356974,0.000455942865580969,-0.00289282930349921,2.01801790651046e-05,500000,2,TRUE,TRUE
7,3,"frequent","higher","immediate-benefit",4,4,-0.00922485388444401,2.25268767220926e-05,0.0884491915289615,0.00262495795207962,-0.00651198931193331,0.000190831262507296,0.0976740454134055,0.00264748482880171,0.0027128645725107,0.000213358139229389,-0.00289282930349921,2.01801790651046e-05,500000,2,TRUE,TRUE
7,3,"frequent","higher","immediate-benefit",4,8,-0.00922485388444401,2.25268767220926e-05,-0.248812050387135,0.000475843557740219,-0.00651198931193347,0.000190831262507019,-0.239587196502691,0.000498370434462311,0.00271286457251053,0.000213358139229111,-0.00289282930349921,2.01801790651046e-05,500000,2,TRUE,TRUE
8,4,"sparse","higher","immediate-benefit",4,1,-0.0101176508172581,7.86232531244102e-06,-0.00954840762005038,0.000205084978189829,-0.00954840762005144,0.000205084978190218,0.000569243197207719,0.00021294730350227,0.000569243197206665,0.000212947303502659,-0.00276944835543225,1.37889746548714e-05,500000,2,TRUE,TRUE
8,4,"sparse","higher","immediate-benefit",4,2,-0.0101176508172581,7.86232531244102e-06,-0.0380663326596532,0.000390020387845524,-0.00959121330064328,0.00135995306618275,-0.0279486818423951,0.000382158062533083,0.000526437516614825,0.00135209074087031,-0.00276944835543225,1.37889746548714e-05,500000,2,TRUE,TRUE
8,4,"sparse","higher","immediate-benefit",4,4,-0.0101176508172581,7.86232531244102e-06,-0.4889741666199,0.000474611983419526,-0.0074570062779652,0.000209598315293213,-0.478856515802641,0.000482474308731967,0.00266064453929291,0.000217460640605654,-0.00276944835543225,1.37889746548714e-05,500000,2,TRUE,TRUE
8,4,"sparse","higher","immediate-benefit",4,8,-0.0101176508172581,7.86232531244102e-06,0.132205801804545,7.79295378117162e-07,-0.0074570062779652,0.000209598315293436,0.142323452621803,8.64162069055818e-06,0.00266064453929291,0.000217460640605877,-0.00276944835543225,1.37889746548714e-05,500000,2,TRUE,TRUE
9,1,"frequent","lower","biphasic",4,1,-0.0282718489956918,5.69273797701442e-06,-0.0259027588450873,0.00287280341496343,-0.0259027588450862,0.00287280341496315,0.00236909015060446,0.00286711067698642,0.00236909015060552,0.00286711067698614,-0.000522370297642336,1.71087171972478e-05,500000,2,TRUE,TRUE
9,1,"frequent","lower","biphasic",4,2,-0.0282718489956918,5.69273797701442e-06,-0.0281571384261354,0.000540146960881727,-0.0279953584935907,0.000779995110262499,0.000114710569556392,0.000534454222904712,0.000276490502101073,0.000774302372285485,-0.000522370297642336,1.71087171972478e-05,500000,2,TRUE,TRUE
9,1,"frequent","lower","biphasic",4,4,-0.0282718489956918,5.69273797701442e-06,-0.0289682382358168,1.66878505938883e-05,-0.0279721133181213,0.000317433952770396,-0.000696389240125023,1.09951126168739e-05,0.00029973567757044,0.000311741214793382,-0.000522370297642336,1.71087171972478e-05,500000,2,TRUE,TRUE
9,1,"frequent","lower","biphasic",4,8,-0.0282718489956918,5.69273797701442e-06,0.0457498060137924,0.00107848746218259,-0.0279721133181212,0.000317433952770396,0.0740216550094841,0.00107279472420557,0.000299735677570551,0.000311741214793382,-0.000522370297642336,1.71087171972478e-05,500000,2,TRUE,TRUE
10,2,"sparse","lower","biphasic",4,1,-0.0299552293513211,4.63919471170165e-05,-0.0281756746152682,0.00179847070229439,-0.028175674615268,0.00179847070229433,0.00177955473605292,0.00175207875517737,0.00177955473605308,0.00175207875517731,-0.00037888685859401,2.87614683370102e-05,500000,2,TRUE,TRUE
10,2,"sparse","lower","biphasic",4,2,-0.0299552293513211,4.63919471170165e-05,-0.030240737148529,3.38040619745072e-05,-0.0294784267007154,0.000199356836567244,-0.000285507797207915,1.25878851425093e-05,0.000476802650605693,0.000152964889450227,-0.00037888685859401,2.87614683370102e-05,500000,2,TRUE,TRUE
10,2,"sparse","lower","biphasic",4,4,-0.0299552293513211,4.63919471170165e-05,-0.0325497696581903,0.000359806679971431,-0.0308514533102248,0.000364416493169484,-0.00259454030686916,0.000313414732854414,-0.000896223958903694,0.000318024546052467,-0.00037888685859401,2.87614683370102e-05,500000,2,TRUE,TRUE
10,2,"sparse","lower","biphasic",4,8,-0.0299552293513211,4.63919471170165e-05,0.0397067951935122,0.0003710786749338,-0.0308514533102249,0.000364416493169706,0.0696620245448333,0.000324686727816784,-0.000896223958903805,0.000318024546052689,-0.00037888685859401,2.87614683370102e-05,500000,2,TRUE,TRUE
11,3,"frequent","higher","biphasic",4,1,-0.0113762502741079,2.43514164439268e-05,-0.00844570859468402,0.000793170112035113,-0.00844570859468541,0.000793170112034946,0.00293054167942385,0.000768818695591186,0.00293054167942246,0.00076881869559102,-0.00324660220648945,2.09701742001078e-05,500000,2,TRUE,TRUE
11,3,"frequent","higher","biphasic",4,2,-0.0113762502741079,2.43514164439268e-05,-0.034154796999702,0.000245271341812348,-0.00974917816685006,0.000436844919620705,-0.0227785467255941,0.000220919925368421,0.00162707210725781,0.000461196336064632,-0.00324660220648945,2.09701742001078e-05,500000,2,TRUE,TRUE
11,3,"frequent","higher","biphasic",4,4,-0.0113762502741079,2.43514164439268e-05,0.0801942128386578,0.0027856565391966,-0.0098857220261423,0.000181563573457832,0.0915704631127657,0.00281000795564053,0.00149052824796557,0.000205914989901759,-0.00324660220648945,2.09701742001078e-05,500000,2,TRUE,TRUE
11,3,"frequent","higher","biphasic",4,8,-0.0113762502741079,2.43514164439268e-05,-0.247048219235584,0.000455819924667644,-0.00988572202614224,0.000181563573457555,-0.235671968961476,0.000480171341111571,0.00149052824796563,0.000205914989901482,-0.00324660220648945,2.09701742001078e-05,500000,2,TRUE,TRUE
12,4,"sparse","higher","biphasic",4,1,-0.0123186990467229,4.17779460530621e-06,-0.0117200294731685,0.000217702002602738,-0.0117200294731692,0.000217702002603071,0.000598669573554325,0.000221879797208044,0.000598669573553659,0.000221879797208377,-0.00308205804135589,1.41358704503769e-05,500000,2,TRUE,TRUE
12,4,"sparse","higher","biphasic",4,2,-0.0123186990467229,4.17779460530621e-06,-0.0442998016364772,0.000190527622509373,-0.0125590488696015,0.00134886021354225,-0.0319811025897543,0.000186349827904067,-0.000240349822878669,0.00134468241893694,-0.00308205804135589,1.41358704503769e-05,500000,2,TRUE,TRUE
12,4,"sparse","higher","biphasic",4,4,-0.0123186990467229,4.17779460530621e-06,-0.484245171419467,0.000433855441336894,-0.0110042499733555,0.000201489820923439,-0.471926472372744,0.000438033235942215,0.00131444907336732,0.000205667615528746,-0.00308205804135589,1.41358704503769e-05,500000,2,TRUE,TRUE
12,4,"sparse","higher","biphasic",4,8,-0.0123186990467229,4.17779460530621e-06,0.122645375017112,1.04928256124959e-05,-0.0110042499733555,0.000201489820923439,0.134964074063835,6.31503100718966e-06,0.00131444907336732,0.000205667615528746,-0.00308205804135589,1.41358704503769e-05,500000,2,TRUE,TRUE
13,1,"frequent","lower","delayed-smooth",4,1,-0.024093112934276,5.47549079658871e-06,-0.0217649675661112,0.00293656413065541,-0.0217649675661095,0.00293656413065518,0.00232814536816482,0.00293108863985882,0.00232814536816649,0.00293108863985859,-0.000496344830594936,1.31188268692739e-05,500000,2,TRUE,TRUE
13,1,"frequent","lower","delayed-smooth",4,2,-0.024093112934276,5.47549079658871e-06,-0.0235617757788962,0.000552201063636681,-0.0233769276963703,0.000801255271124124,0.000531337155379771,0.000546725572840093,0.000716185237905717,0.000795779780327535,-0.000496344830594936,1.31188268692739e-05,500000,2,TRUE,TRUE
13,1,"frequent","lower","delayed-smooth",4,4,-0.024093112934276,5.47549079658871e-06,-0.0238027836172883,1.76437123904916e-05,-0.0227546592445022,0.000335282345765853,0.000290329316987678,1.21682215939029e-05,0.00133845368977385,0.000329806854969264,-0.000496344830594936,1.31188268692739e-05,500000,2,TRUE,TRUE
13,1,"frequent","lower","delayed-smooth",4,8,-0.024093112934276,5.47549079658871e-06,0.0534313939759706,0.0010983039459232,-0.0227546592445023,0.000335282345765575,0.0775245069102466,0.00109282845512661,0.00133845368977369,0.000329806854968986,-0.000496344830594936,1.31188268692739e-05,500000,2,TRUE,TRUE
14,2,"sparse","lower","delayed-smooth",4,1,-0.0255793174114892,3.79410655158841e-05,-0.0237749850967107,0.00189654602182521,-0.0237749850967104,0.00189654602182526,0.00180433231477853,0.00185860495630932,0.00180433231477881,0.00185860495630938,-0.000378706994173597,2.42823052554048e-05,500000,2,TRUE,TRUE
14,2,"sparse","lower","delayed-smooth",4,2,-0.0255793174114892,3.79410655158841e-05,-0.0253795885236303,5.06494913256605e-05,-0.024582213156643,0.000218844490870007,0.000199728887858991,1.27084258097765e-05,0.000997104254846198,0.000180903425354123,-0.000378706994173597,2.42823052554048e-05,500000,2,TRUE,TRUE
